business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NEW MOBILE MALL,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 70045 42243,N/A,4.9,,"Station Rd, near Hanuman mandir, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.349729699999997,86.0765795,ChIJk_D0bdnN7TkRJbbGDGJydFY,https://www.google.com/maps/place/?q=place_id:ChIJk_D0bdnN7TkRJbbGDGJydFY,part_395,2026-09-20 20:44:07
Indian Mobile House,Mobile Accessories Wholesaler,Electronics store,Electronics store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 89102 99286,https://indianmobilehouse.wuaze.com/,5.0,,"Station mohalla road, Surat Ganj, Madhubani, Bihar 847211",Surat Ganj,26.3499193,86.0766854,ChIJT_r_22PN7TkRKRlW8LLoHYg,https://www.google.com/maps/place/?q=place_id:ChIJT_r_22PN7TkRKRlW8LLoHYg,part_395,2026-09-20 20:44:07
SABA HARDWARE AND MOBILE,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Hardware store",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 80840 04127,N/A,4.1,,"Village Gadhiya Post Rathous, PS, Bisfi, Bihar 847304",847102,26.364477599999997,85.8827453,ChIJyyDt2YVL7DkR0Hj3DjtCAz4,https://www.google.com/maps/place/?q=place_id:ChIJyyDt2YVL7DkR0Hj3DjtCAz4,part_395,2026-09-20 20:44:07
The mobile house,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,5.0,,"Mahila College Rd, Madhubani, Bihar 847211",847102,26.3504608,86.0732092,ChIJGc3BgozN7TkRloRy_6gU6G4,https://www.google.com/maps/place/?q=place_id:ChIJGc3BgozN7TkRloRy_6gU6G4,part_395,2026-09-20 20:44:07
Harishankar Mobile Store,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 91999 33321,N/A,4.4,,"Phulparas - Khutauna Rd, Siswar, Bihar 847409",847102,26.427666799999997,86.4581046,ChIJCZTXYL-J7jkROJeKUBYnmw0,https://www.google.com/maps/place/?q=place_id:ChIJCZTXYL-J7jkROJeKUBYnmw0,part_395,2026-09-20 20:44:07
Bikram Mobile,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 97988 99986,N/A,3.7,,"Mahila College Rd, Madhubani, Bihar 847211",847102,26.3506675,86.073685,ChIJjVD0e0fN7TkRfO6DlUIzewY,https://www.google.com/maps/place/?q=place_id:ChIJjVD0e0fN7TkRfO6DlUIzewY,part_395,2026-09-20 20:44:07
D.S. MOBILE Accessories,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 97986 74759,N/A,3.5,,"Station Rd, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.3484676,86.07642969999999,ChIJsWF_pUDN7TkRij5_6PfObDU,https://www.google.com/maps/place/?q=place_id:ChIJsWF_pUDN7TkRij5_6PfObDU,part_395,2026-09-20 20:44:07
Bittu Communication & General Store,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Book store, General store, Electronics Accessories Wholesaler, Indian grocery store, Printing equipment supplier",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,4.7,,"Taraiya panchayat, Taraiya, Pirokhar, Bihar 843319",847102,26.480630899999998,85.800838,ChIJn85Sgp9P7DkR95FiiG87N-8,https://www.google.com/maps/place/?q=place_id:ChIJn85Sgp9P7DkR95FiiG87N-8,part_395,2026-09-20 20:44:07
Mobile World,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 73628 49271,N/A,4.3,,"Karak Patti, Ward No.6, Madhubani, Bihar 847213",Ward No.6,26.3562893,86.0710252,ChIJz1jspzfN7TkRYu5EjPrBMCE,https://www.google.com/maps/place/?q=place_id:ChIJz1jspzfN7TkRYu5EjPrBMCE,part_395,2026-09-20 20:44:08
VIP MOBILES ACCESSORIES,Mobile Accessories Wholesaler,Wholesaler,"Wholesaler, Cell phone store",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 76675 07368,N/A,4.8,,"Gandhi chowk, Pool road, Mahua, Bihar 844122",847102,25.8131663,85.39723959999999,ChIJi-ZfVABv7TkR5In-HRW-fWQ,https://www.google.com/maps/place/?q=place_id:ChIJi-ZfVABv7TkR5In-HRW-fWQ,part_395,2026-09-20 20:44:08
MB MOBILE STORE,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,4.3,,"college road, Ghoghardiha, Bihar 847402",847102,26.2833367,86.4677932,ChIJPyWcvodj7jkRTTdMhb4qQjI,https://www.google.com/maps/place/?q=place_id:ChIJPyWcvodj7jkRTTdMhb4qQjI,part_395,2026-09-20 20:44:08
Sansar Mobile,Mobile Accessories Wholesaler,Mobile phone repair shop,"Mobile phone repair shop, Electronics store",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 90065 66710,N/A,3.4,,"732F+34G, Pandaul, Bihar 847234",847102,26.2501963,86.0728403,ChIJ_RpP0GrO7TkRrdBOqlIBDok,https://www.google.com/maps/place/?q=place_id:ChIJ_RpP0GrO7TkRrdBOqlIBDok,part_395,2026-09-20 20:44:08
Aryan Mobile and Electronic,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 87095 19331,N/A,5.0,,"Basopatti Main Rd, near by Durga Mandir, Basopatti, Bihar 847225",847102,26.5755184,86.00239909999999,ChIJO_y_3gU57DkRlIFrdLTHw-Y,https://www.google.com/maps/place/?q=place_id:ChIJO_y_3gU57DkRlIFrdLTHw-Y,part_395,2026-09-20 20:44:08
Satkar Mobile,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 94708 78761,N/A,4.0,,"Benipatti Lohiya Chowk Benipatti Road, Ke Pass, near by Police Station, Madhubani, Bihar 847223",847102,26.4448364,85.9078184,ChIJnWpvw8ZL7DkR6O0qtzXtxeA,https://www.google.com/maps/place/?q=place_id:ChIJnWpvw8ZL7DkR6O0qtzXtxeA,part_395,2026-09-20 20:44:08
