business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SANJIT ASSOCIATE,Tax and GST Consultant,Tax attorney,Tax attorney,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 94706 54020,N/A,5.0,,"83R9+7MX, Bijli Office Road, Tirhut Colony, Madhubani, Bihar 847212",Tirhut Colony,26.340749799999998,86.0692224,ChIJGS_AFwDN7TkR8v-m190viGg,https://www.google.com/maps/place/?q=place_id:ChIJGS_AFwDN7TkR8v-m190viGg,part_395,2026-09-20 20:44:08
GST SOLUTION,Tax and GST Consultant,Tax consultant,"Tax consultant, Accountant, Accounting firm, Certified public accountant, Tax collector's office",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 83681 09289,N/A,5.0,,"Ranti Chowk PNB Bank Upper Floor of PNB Bank, Bihar 847211",847102,26.351297,86.0887766,ChIJe2NDFWvR7TkRrj2e8brdD1o,https://www.google.com/maps/place/?q=place_id:ChIJe2NDFWvR7TkRrj2e8brdD1o,part_395,2026-09-20 20:44:08
PERFECT TAX SOLUTION SERVICES,Tax and GST Consultant,Tax consultant,"Tax consultant, Tax collector's office, Tax department, Tax preparation service",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 84341 29799,N/A,4.5,,"Shankar Chowk, near D.G HOTEL, Madhubani, Bihar 847213",847102,26.3562236,86.07195689999999,ChIJQ0Ad-0bN7TkR2V8ZBIZIPq0,https://www.google.com/maps/place/?q=place_id:ChIJQ0Ad-0bN7TkR2V8ZBIZIPq0,part_395,2026-09-20 20:44:08
"Dr. Niraj kumar (Advocate,Gst and income Tax consultant)",Tax and GST Consultant,Tax attorney,Tax attorney,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 70918 73704,N/A,4.9,,"Thana Chowk, Madhepura, Bihar 852113",847102,25.9201688,86.7916202,ChIJYVkdM3I37jkRJDOVniDulEc,https://www.google.com/maps/place/?q=place_id:ChIJYVkdM3I37jkRJDOVniDulEc,part_395,2026-09-20 20:44:08
Taxzard: Income tax & GST solutions consultants,Tax and GST Consultant,Tax preparation service,"Tax preparation service, Consultant, Financial consultant, Income tax help association, Tax attorney, Tax preparation",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,5.0,,"NH 31, near DC Sigh Pump, Kaushal Colony, Kapasiya, Harrakh, Begusarai, Bihar 851101","Kaushal Colony, Kapasiya",25.4219226,86.1231553,ChIJEbK1ngIb8jkRy035KrqNRhU,https://www.google.com/maps/place/?q=place_id:ChIJEbK1ngIb8jkRy035KrqNRhU,part_395,2026-09-20 20:44:08
TAX CONSULTANCY SERVICES,Tax and GST Consultant,Tax attorney,"Tax attorney, Corporate office",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 72610 94059,N/A,5.0,,"Hajipur, Bihar 844101",847102,25.6915297,85.2201369,ChIJnQSVIQBd7TkRSErnMEEEJgs,https://www.google.com/maps/place/?q=place_id:ChIJnQSVIQBd7TkRSErnMEEEJgs,part_395,2026-09-20 20:44:08
Accounts & Tax Consultancy,Tax and GST Consultant,Tax consultant,Tax consultant,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 87570 44938,N/A,4.9,,"PS, near Shiv Mandir, Saidpur, Shahkund, Bihar 813108",847102,25.173098099999997,86.8359933,ChIJ56q6lHu18TkRlc819C9A8Ds,https://www.google.com/maps/place/?q=place_id:ChIJ56q6lHu18TkRlc819C9A8Ds,part_395,2026-09-20 20:44:08
Kumar Mishra and company,Tax and GST Consultant,Certified public accountant,"Certified public accountant, Corporate office",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 93866 62137,N/A,4.8,,"In front of bhawani petrol pump, near paswan chowk land mark bhawani swazik, Bihar 844101",847102,25.691122999999997,85.22931229999999,ChIJhcS0XtNd7TkRn0ba4Y5nfXE,https://www.google.com/maps/place/?q=place_id:ChIJhcS0XtNd7TkRn0ba4Y5nfXE,part_395,2026-09-20 20:44:08
Income tax return and GST,Tax and GST Consultant,Accountant,Accountant,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 78731 67482,N/A,4.7,13.0,"Talasahi bramani patna, Singhpur, Odisha 755016",847102,20.7012252,86.5077903,ChIJB4I9wmLrGzoRHUhEgTmJUrU,https://www.google.com/maps/place/?q=place_id:ChIJB4I9wmLrGzoRHUhEgTmJUrU,part_395,2026-09-20 20:44:09
Accounting And Tax Solutions Pvt.ltd,Tax and GST Consultant,Tax consultant,"Tax consultant, Service establishment",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,5.0,1.0,"Accounting And Tax Solutions Pvt.ltd, 847102, India",847102,28.397454999999997,84.1301506,ChIJXZcokNpqsIwRu5SxQsnhKKU,https://www.google.com/maps/place/?q=place_id:ChIJXZcokNpqsIwRu5SxQsnhKKU,part_395,2026-09-20 20:44:09
