business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A TO Z ELECTRICAL,Electrician,Electrical products wholesaler,Electrical products wholesaler,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 74881 12542,N/A,4.8,32.0,"Bauka chowk, Maine Road, Bharwara, Bihar 847104",847104,26.247277699999998,85.73541209999999,ChIJGYboeGWu7TkRuA0Yk19W_Rg,https://www.google.com/maps/place/?q=place_id:ChIJGYboeGWu7TkRuA0Yk19W_Rg,part_395,2026-09-20 20:45:09
Kas4R,Electrician,Electrician,Electrician,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,,,"Ward no, school ke pass, Shaikh Mohalla Rd, Shankar Pur, Bihar 847104",847104,26.2486878,85.7243967,ChIJDT4fPtSv7TkR3r3eM1GzM3c,https://www.google.com/maps/place/?q=place_id:ChIJDT4fPtSv7TkR3r3eM1GzM3c,part_395,2026-09-20 20:45:09
Raza Electric Works,Electrician,Electrician,Electrician,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 98195 76182,N/A,,,"6PVP+H32, Bharwara, Bihar 847104",847104,26.243887299999997,85.735145,ChIJdX2DIwCv7TkRoWtJLjsT1P4,https://www.google.com/maps/place/?q=place_id:ChIJdX2DIwCv7TkRoWtJLjsT1P4,part_395,2026-09-20 20:45:09
Rahul mandal,Electrician,Electrician,Electrician,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,,,"6Q62+QH4, Bhawanipur, Bihar 847104",847104,26.2118818,85.7514664,ChIJ-aPGBgCv7TkRyefaczqRp5s,https://www.google.com/maps/place/?q=place_id:ChIJ-aPGBgCv7TkRyefaczqRp5s,part_395,2026-09-20 20:45:09
BAIDHNATH ELECTRIC,Electrician,Electronics store,Electronics store,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 95465 06926,N/A,4.2,6.0,"Dosimna Chauk, Bharwara, Bihar 847307",847104,26.2530556,85.73668169999999,ChIJscywPEiv7TkRRf8h5VYBpEA,https://www.google.com/maps/place/?q=place_id:ChIJscywPEiv7TkRRf8h5VYBpEA,part_395,2026-09-20 20:45:09
SIKINDAR ELECTRIC,Electrician,Electrician,Electrician,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 80846 40730,N/A,,,"01,Village Katasa Post Katasa Near Jio Tower Jale, Road, Bharwara, Bihar 847123",847104,26.204252099999998,85.73598439999999,ChIJl1ksdpev7TkRiRCYmwD9ARY,https://www.google.com/maps/place/?q=place_id:ChIJl1ksdpev7TkRiRCYmwD9ARY,part_395,2026-09-20 20:45:09
Avinash Sahu electrician,Electrician,Apartment building,Apartment building,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,,,"5PRJ+HXV, Singhwara, Bihar 847123",847104,26.1914795,85.7324362,ChIJfYYmKgCv7TkRrllFJAN7X7o,https://www.google.com/maps/place/?q=place_id:ChIJfYYmKgCv7TkRrllFJAN7X7o,part_395,2026-09-20 20:45:09
THAKUR ELECTRIC AND ELECTRONICS,Electrician,Electronics store,Electronics store,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 88775 52170,N/A,3.6,7.0,"1 BHARWARA, DOSHIMANA CHOWK, Singhwara, Bihar 847104",DOSHIMANA CHOWK,26.2521672,85.7365305,ChIJdwdPixev7TkRJTlACP7GPi8,https://www.google.com/maps/place/?q=place_id:ChIJdwdPixev7TkRJTlACP7GPi8,part_395,2026-09-20 20:45:09
MAA BHAGWATI ELECTRONICS,Electrician,Electronics store,Electronics store,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 80104 23649,N/A,5.0,1.0,"5, SINGHWARA, Kaligaon, Nista, Bihar 846001",SINGHWARA,26.2571618,85.7697081,ChIJ-wTiwL-x7TkR213EHkE9Srg,https://www.google.com/maps/place/?q=place_id:ChIJ-wTiwL-x7TkR213EHkE9Srg,part_395,2026-09-20 20:45:09
Rocky Electric,Electrician,Electronics store,Electronics store,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 93046 67136,N/A,5.0,1.0,"Pradeep, Shop No. 4, Sikindra Bhwan, Ward No. 7 Kakta Road, Chowk, Sara Mohanpur, Bihar 847307",847104,26.2667862,85.7633721,ChIJD_cGGn6t7TkRXUNRwdx5uIM,https://www.google.com/maps/place/?q=place_id:ChIJD_cGGn6t7TkRXUNRwdx5uIM,part_395,2026-09-20 20:45:09
