business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Agyaspur chowk,Exhibitions,Village hall,Village hall,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,4.1,20.0,"6P96+JRG, Agyaspur, Mankauli, Bihar 847104",Agyaspur,26.218799999999998,85.7120841,ChIJsR17CgCv7TkRCj-WzesD94s,https://www.google.com/maps/place/?q=place_id:ChIJsR17CgCv7TkRCj-WzesD94s,part_395,2026-09-20 20:45:24
प्रवीण झा भू मापक अमीन एवं CSC सेंटर,Exhibitions,Community center,Community center,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",+91 95255 10319,N/A,4.7,6.0,"6QWF+W87, Unnamed Road, Kaligaon, Bihar 847104",847104,26.2472849,85.7732983,ChIJayOp5Bqx7TkRACrwM_nM6yo,https://www.google.com/maps/place/?q=place_id:ChIJayOp5Bqx7TkRACrwM_nM6yo,part_395,2026-09-20 20:45:24
CIRC ASTHUA,Exhibitions,Educational institution,"Educational institution, Community center",847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,3.7,12.0,"Asthua, Bihar 847104",847104,26.238687,85.761617,ChIJlaZK_yGu7TkRqukpwpB6O6I,https://www.google.com/maps/place/?q=place_id:ChIJlaZK_yGu7TkRqukpwpB6O6I,part_395,2026-09-20 20:45:24
कोभी चौक KobhiChowk,Exhibitions,Village hall,Village hall,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,4.0,4.0,"6PMP+FC7, Jale - Atarwel Path, Mankauli, Bishunathpatti, Bihar 847104",847104,26.2336577,85.7360465,ChIJiVggXP2v7TkRleO6g4bY0zA,https://www.google.com/maps/place/?q=place_id:ChIJiVggXP2v7TkRleO6g4bY0zA,part_395,2026-09-20 20:45:24
KHUNIYA TOL,Exhibitions,Night club,Night club,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,4.4,14.0,"6QM3+26P, Korauni, Bihar 847104",847104,26.232589299999997,85.75307629999999,ChIJV33thEqv7TkRWfTdSFZh7oQ,https://www.google.com/maps/place/?q=place_id:ChIJV33thEqv7TkRWfTdSFZh7oQ,part_395,2026-09-20 20:45:24
Stadium,Exhibitions,Stadium,Stadium,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,3.8,13.0,"7QFC+24J, Dahsil, Bihar 847307",847104,26.2725951,85.7702602,ChIJu4hMOR2z7TkR7QMJ7KO9Z3s,https://www.google.com/maps/place/?q=place_id:ChIJu4hMOR2z7TkR7QMJ7KO9Z3s,part_395,2026-09-20 20:45:24
Niraj,Exhibitions,Community center,Community center,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,,,"6PWM+XR3, Bharwara, Bihar 847104",847104,26.247398699999998,85.7345488,ChIJCayFTwCv7TkRSHBIXpzhp14,https://www.google.com/maps/place/?q=place_id:ChIJCayFTwCv7TkRSHBIXpzhp14,part_395,2026-09-20 20:45:24
"Chanchal Bhawan, Sanahpur",Exhibitions,Conference center,Conference center,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,4.0,30.0,"7P9G+32C, Yajuar - Bharwara Rd, Sanahpur, Bihar 847307",847104,26.2676998,85.7250296,ChIJv70fpiys7TkRh9bRdy9_WQw,https://www.google.com/maps/place/?q=place_id:ChIJv70fpiys7TkRh9bRdy9_WQw,part_395,2026-09-20 20:45:24
PREM PHOTOSHOP & KIRANA STORE,Exhibitions,Community center,Community center,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,4.0,1.0,"Ward No 5, Madhopatti Raghauli, Darbhanga, Bihar 847306",847104,26.2322226,85.8307059,ChIJX5xzT6ax7TkRKda6pSDvR6U,https://www.google.com/maps/place/?q=place_id:ChIJX5xzT6ax7TkRKda6pSDvR6U,part_395,2026-09-20 20:45:24
Sarpanch House Manoj Jha,Exhibitions,Community center,Community center,847104,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharwara SO, Ashthua BO, Bhawanipur BO",N/A,N/A,,,"6QVG+W36 Adarsh toll, Kaligaon, Bihar 847104",847104,26.245671299999998,85.77523389999999,ChIJIzCCIQCx7TkRMlhoMK1d21U,https://www.google.com/maps/place/?q=place_id:ChIJIzCCIQCx7TkRMlhoMK1d21U,part_395,2026-09-20 20:45:24
