business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adarsh Books & Stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Copy shop, Gift shop",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 98358 63825,N/A,4.3,10.0,"Yadav Nagar Rd, Yadav Nagar, Swami Shajanand Colony, Muzaffarpur, Bihar 842001","Yadav Nagar, Swami Shajanand Colony",26.120730899999998,85.35434529999999,ChIJ-5vlpTIX7TkR4QpPxSAmDzE,https://www.google.com/maps/place/?q=place_id:ChIJ-5vlpTIX7TkR4QpPxSAmDzE,part_395,2026-09-20 20:47:01
R.S. Stationery Evam Book Centre,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 93864 36146,N/A,4.8,6.0,"Attardah, Kacchi Pakki Road, Patepur, Muzaffarpur, Bihar 842002","Attardah, Bhikanpur Dih, Patepur",26.0965156,85.3891381,ChIJbQKwcg8R7TkRkyRYSi0KBs8,https://www.google.com/maps/place/?q=place_id:ChIJbQKwcg8R7TkRkyRYSi0KBs8,part_395,2026-09-20 20:47:01
Prince Raj Book Fair,Bookstore and Stationery Shop,Book store,Book store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 98350 73543,N/A,4.2,375.0,"pen len Mai asthan, sah, Motijheel Rd, near shreeleather, Muzaffarpur, Bihar 842001","Sutapatti, Pokhraira",26.119751299999997,85.3866774,ChIJR9nGWvoQ7TkRQBrNyCk2gHQ,https://www.google.com/maps/place/?q=place_id:ChIJR9nGWvoQ7TkRQBrNyCk2gHQ,part_395,2026-09-20 20:47:01
Aditya Stationery House,Bookstore and Stationery Shop,Book store,Book store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 78080 05511,N/A,5.0,2.0,"Mr. Suman ji, Baligarh Gdn Rd, Mahammadpur Kazi, Jagdishpuri, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Jagdishpuri",26.109177,85.39637499999999,ChIJfVWLUAAR7TkREXvqxi4zM6o,https://www.google.com/maps/place/?q=place_id:ChIJfVWLUAAR7TkREXvqxi4zM6o,part_395,2026-09-20 20:47:01
Jagdamba Stationery,Bookstore and Stationery Shop,Stationery store,Stationery store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 94305 45121,N/A,4.5,28.0,"00, Rajendra Nagar Rahua Road, Kanhauli, Muzaffarpur, Bihar 842002",Kanhauli,26.1001011,85.421339,ChIJqSPQuSYR7TkRIZ2zmbP7p-8,https://www.google.com/maps/place/?q=place_id:ChIJqSPQuSYR7TkRIZ2zmbP7p-8,part_395,2026-09-20 20:47:01
Sri Gyan Ganga Books & Form Center,Bookstore and Stationery Shop,Book store,"Book store, Aadhaar center, Internet cafe",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 92343 61457,https://chat.whatsapp.com/DWFwPberKW615mqry1i2vR,4.0,46.0,"BANARAS BANK ROAD NEAR MSKB HIGH SCHOOL NEAR INFRONT OF NALA ROAD, Balughat Rd, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.1274078,85.39661559999999,ChIJ2xTvqVgQ7TkRG-5zDNEBXYQ,https://www.google.com/maps/place/?q=place_id:ChIJ2xTvqVgQ7TkRG-5zDNEBXYQ,part_395,2026-09-20 20:47:01
Ankit Pustak Bhandar,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 87570 64349,N/A,4.8,5.0,"Yadav Nagar Rd, Yadav Nagar, Muzaffarpur, Bihar 842001",Yadav Nagar,26.1207779,85.35440489999999,ChIJm-7KqDIX7TkRAAAAMEW-NEE,https://www.google.com/maps/place/?q=place_id:ChIJm-7KqDIX7TkRAAAAMEW-NEE,part_395,2026-09-20 20:47:01
Maa Jagdamba Pustak Bhandar,Bookstore and Stationery Shop,Book store,Book store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 99395 32393,N/A,4.2,12.0,"Purani road, Benibad, Chak Balua, Bihar 847107",847107,26.1460623,85.6910403,ChIJXdw95-al7TkR7-D3MAGOuG4,https://www.google.com/maps/place/?q=place_id:ChIJXdw95-al7TkR7-D3MAGOuG4,part_395,2026-09-20 20:47:01
Shiva Books And Stationers,Bookstore and Stationery Shop,Book store,Book store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 96087 79900,N/A,4.4,,"498H+P9M, Kalambagh Rd, Near L.S. College, Pokhraira, Muzaffarpur, Bihar 842001",Pokhraira,26.1168473,85.3784232,ChIJZ_Ri4OYQ7TkRUrzGHemRBgA,https://www.google.com/maps/place/?q=place_id:ChIJZ_Ri4OYQ7TkRUrzGHemRBgA,part_395,2026-09-20 20:47:02
The Student's Friends,Bookstore and Stationery Shop,Book store,"Book store, Books Wholesaler, Stationery store",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 77177 83252,N/A,5.0,,"Bali Sadan, Madnanilane Near City Life Mall, Mithanpura, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Mithanpura",26.1108375,85.3974326,ChIJmQkfM0sR7TkR5R2wwhw56DQ,https://www.google.com/maps/place/?q=place_id:ChIJmQkfM0sR7TkR5R2wwhw56DQ,part_395,2026-09-20 20:47:02
