business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Safe Digital Solution,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising Photographer, Service establishment, Graphic designer, Advertising agency, Web hosting company, Website designer",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 87970 06044,N/A,,,"Safe Digital Solution, 847107, India",847107,21.0680074,82.7525294,ChIJI1u00wE1YCkRwh6oJ1krh9c,https://www.google.com/maps/place/?q=place_id:ChIJI1u00wE1YCkRwh6oJ1krh9c,part_395,2026-09-20 20:47:10
Digital Aadil | Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,Marketing agency,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",N/A,N/A,5.0,,"EB Star market, Chowk, Mahammadpur Kazi, Mithanpura, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Mithanpura",26.1061333,85.3978527,ChIJz-MIwEkR7TkRVRk9zG-a5IM,https://www.google.com/maps/place/?q=place_id:ChIJz-MIwEkR7TkRVRk9zG-a5IM,part_395,2026-09-20 20:47:10
Aarush digital - Digital Marketing Agency Muzaffarpur,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Graphic designer, Internet marketing service, Marketing consultant, Website designer",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 86749 45789,http://aarushdigital.in/,5.0,,"Road, near Real Public School, Sherpur, Narayanpur Anant, Muzaffarpur, Bihar 842002","Sherpur, Narayanpur Anant",26.0988005,85.4013962,ChIJf1nrev0R7TkR9ga5wxRK_RQ,https://www.google.com/maps/place/?q=place_id:ChIJf1nrev0R7TkR9ga5wxRK_RQ,part_395,2026-09-20 20:47:10
"Fusion Digital: Premier digital marketing company, in Muzaffarpur, Bihar, experts in Advertising, Social Media, SEO, and PPC.",Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Direct mail advertising, Graphic designer, Internet marketing service, Marketing consultant, Media company, Web hosting company, Website designer",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 70702 09604,https://www.facebook.com/fusio9digital/,4.9,,"4th Floor, Infront Of Zila School, Om Shanti Complex, Amar Cinema Road, Ramna, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Ramna",26.1154902,85.3966571,ChIJNTegiPgQ7TkROnllI3XXhY8,https://www.google.com/maps/place/?q=place_id:ChIJNTegiPgQ7TkROnllI3XXhY8,part_395,2026-09-20 20:47:10
Digital Era Advertising - Best Digital Marketing Agency in Muzaffarpur,Digital Marketing Agencies,Advertising agency,Advertising agency,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 98520 15935,N/A,4.7,,"Banaras Bank Chowk, Mahammadpur Kazi, Musahri, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.127434899999997,85.39475039999999,ChIJuztYSyER7TkRWVGxJaemn78,https://www.google.com/maps/place/?q=place_id:ChIJuztYSyER7TkRWVGxJaemn78,part_395,2026-09-20 20:47:10
Thakur Tech Services - Digital Marketing Agency Muzaffarpur,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Computer support and services",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 93044 64501,N/A,5.0,,"Mahammadpur Kazi, Aghoria Bazar, Chowk, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Aghoria Bazar, Chowk",26.107202899999997,85.38888349999999,ChIJ0QGCozAR7TkR17FiG0Wo4XY,https://www.google.com/maps/place/?q=place_id:ChIJ0QGCozAR7TkR17FiG0Wo4XY,part_395,2026-09-20 20:47:10
Digital Kumbh Pvt. Ltd.,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Marketing agency, Software company, Software Training Institute",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 82989 59995,http://digitalkumbh.in/,5.0,,"Ramdayalu Nagar - Hajipur Rd, Mahammadpur Kazi, Satsang Vihar, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Satsang Vihar",26.1066063,85.3884966,ChIJGbNwbTAR7TkRlDmhac-uuxU,https://www.google.com/maps/place/?q=place_id:ChIJGbNwbTAR7TkRlDmhac-uuxU,part_395,2026-09-20 20:47:10
Digital RAB,Digital Marketing Agencies,Marketing agency,Marketing agency,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 80026 34846,http://www.digitalrab.com/,5.0,,"Moti mohan prasad, Khadi Bhandar Rd, Shastri Nagar, Muzaffarpur, Bihar 842002","Shastri Nagar, New Shastri Nagar",26.111807,85.4124757,ChIJZTS4iTIR7TkRs6NvHg8JOzA,https://www.google.com/maps/place/?q=place_id:ChIJZTS4iTIR7TkRs6NvHg8JOzA,part_395,2026-09-20 20:47:10
Grow Macro | Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Clothes market, Graphic designer, Internet marketing service, Marketing consultant",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 88731 72039,http://growmacro.in/,5.0,,"Chowk, near pizza hut, Haji Nagar Colony, Mithanpura, Muzaffarpur, Bihar 842002","Haji Nagar Colony, Mithanpura",26.1043557,85.3992002,ChIJt6wf3SYR7TkR3_sKPcxTriE,https://www.google.com/maps/place/?q=place_id:ChIJt6wf3SYR7TkR3_sKPcxTriE,part_395,2026-09-20 20:47:10
DigitalCare | SEO | WEBSITE DESIGNING | DIGITAL MARKETING & ADVERTISING AGENCY,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Website designer",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 99603 96018,https://digitalcares.in/,5.0,,"in front of kendriya Vidyalaya, Shree Vihar Colony, Gannipur, Muzaffarpur, Bihar 842002","Shree Vihar Colony, Gannipur",26.105709899999997,85.3846341,ChIJwb_EH0wR7TkR73geKg7p_yM,https://www.google.com/maps/place/?q=place_id:ChIJwb_EH0wR7TkR73geKg7p_yM,part_395,2026-09-20 20:47:10
