business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"BlueStone Jewellery Kalambagh, Muzaffarpur",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Goldsmith, Jeweler, Jewelry repair service",847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 90046 70832,https://www.bluestone.com/stores/kalambaug-muzaffarpur-reslnk-TWpRdw%3D%3D/catalog.html?utm_source=Google_GMB&utm_medium=GMB_Organic_Store&utm_campaign=GMB_local,4.9,339.0,"Shop No. 1, Mata jee Complex, Kalambagh Rd, Rajendra Puri, Muzaffarpur, Bihar 842001",Rajendra Puri,26.113381,85.38194399999999,ChIJyRK_-ggR7TkRzEkoO1IlobQ,https://www.google.com/maps/place/?q=place_id:ChIJyRK_-ggR7TkRzEkoO1IlobQ,part_395,2026-09-20 20:46:43
"Hira Panna Jewellers Pvt Ltd - Sonarpatti, Muzaffarpur",Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",N/A,http://www.hirapannajewellers.in/,4.5,218.0,"Purani Bazar, Sonarpatti Rd, Muzaffarpur, Bihar 842001","Purani Bazar, Musahri",26.123715299999997,85.39350499999999,ChIJCVceCfcQ7TkRFK1N7KQx7ds,https://www.google.com/maps/place/?q=place_id:ChIJCVceCfcQ7TkRFK1N7KQx7ds,part_395,2026-09-20 20:46:43
Murli thakur madhusudan thakur & sons,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 99349 79801,http://www.murlithakur.com/,4.6,40.0,"Garib Asthan Rd, Mahammadpur Kazi, Musahri, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.124353499999998,85.3918568,ChIJozTrI_cQ7TkRXCz4vgN1el4,https://www.google.com/maps/place/?q=place_id:ChIJozTrI_cQ7TkRXCz4vgN1el4,part_395,2026-09-20 20:46:43
Goberdhanram Ramashish Prasad & Company Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 98350 63928,N/A,4.2,729.0,"Purani Bazar Rd, Purani Bazar, Musahri, Muzaffarpur, Bihar 842001","Purani Bazar, Musahri",26.123751199999997,85.39325339999999,ChIJdSO8I_cQ7TkRqm29PmK9cuk,https://www.google.com/maps/place/?q=place_id:ChIJdSO8I_cQ7TkRqm29PmK9cuk,part_395,2026-09-20 20:46:43
Gopi Kishan And Company Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 87978 59201,https://www.gopikishanjewellers.com/,4.3,69.0,"Purani Bazar Rd, Mahammadpur Kazi, Musahri, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.123606199999998,85.3935664,ChIJE2N_p_cQ7TkRAN7NQOgE8DM,https://www.google.com/maps/place/?q=place_id:ChIJE2N_p_cQ7TkRAN7NQOgE8DM,part_395,2026-09-20 20:46:43
Mahendra Kumar Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 94310 07034,N/A,4.8,12.0,"Purani Bazar, Sonapatti, Muzaffarpur, Bihar 842001","Purani Bazar, Sonapatti",26.1237818,85.39375989999999,ChIJY3RvCPcQ7TkRBk52pihg6nc,https://www.google.com/maps/place/?q=place_id:ChIJY3RvCPcQ7TkRBk52pihg6nc,part_395,2026-09-20 20:46:43
Mani Alankar,Gold and Diamond Jewellery Showroom,Jeweler,Jeweler,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",N/A,N/A,4.4,51.0,"Mahammadpur Kazi, Musahri, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.1236365,85.39218079999999,ChIJmeOhEQAR7TkRYCySHHe3cbQ,https://www.google.com/maps/place/?q=place_id:ChIJmeOhEQAR7TkRYCySHHe3cbQ,part_395,2026-09-20 20:46:43
Ramchandra sah Jewellery House,Gold and Diamond Jewellery Showroom,Watch store,Watch store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 99052 47287,N/A,4.8,5.0,"Amgola Rd, Aghoria Bazar, Saadpur, Muzaffarpur, Bihar 842002","Aghoria Bazar, Saadpur",26.109378799999998,85.3895799,ChIJC9sJdAIR7TkR9RxwXM66MT0,https://www.google.com/maps/place/?q=place_id:ChIJC9sJdAIR7TkR9RxwXM66MT0,part_395,2026-09-20 20:46:43
AASHIRWAD ALANKAR,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 94305 75898,http://www.aashirwadalankar.com/,4.0,8.0,"NH527C, Bhusara Bazar NH527C, CHOWK, Bhusra, Bihar 843103",847107,26.1846191,85.59451179999999,ChIJb_vV_PIH7TkRP9Rzc74ODZs,https://www.google.com/maps/place/?q=place_id:ChIJb_vV_PIH7TkRP9Rzc74ODZs,part_395,2026-09-20 20:46:43
"Malabar Gold and Diamonds - Hathwa market, Patna",Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,847107,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keotsa Baruari SO, Balour BO, Baruary BO",+91 612 267 7916,https://www.malabargoldanddiamonds.com/stores/india/bihar/patna,4.8,2091.0,"Shop No. M1, Urban Plaza, Pirbahore Police Station, M2 M3, Bari Path, Hathwa Market, Bakarganj, Patna, Bihar 800004","Hathwa Market, Bakarganj",25.6151201,85.1532295,ChIJoXJSF5hZ7TkRgkuELA0_iVY,https://www.google.com/maps/place/?q=place_id:ChIJoXJSF5hZ7TkRgkuELA0_iVY,part_395,2026-09-20 20:46:43
