business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bihar Advertising,Advertisement Agency,Advertising agency,Advertising agency,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 92419 90629,http://www.biharadvertising.com/,5.0,16.0,"Ratanpura, Bhairopatti, Abdullahpur, Darbhanga, Bihar 846009","Ratanpura, Bhairopatti",26.1376897,85.93240759999999,ChIJZanB2G_H7TkR9fm5kXXKc-U,https://www.google.com/maps/place/?q=place_id:ChIJZanB2G_H7TkR9fm5kXXKc-U,part_396,2026-09-20 20:19:27,4712
Meen 360 Marketing Pvt Ltd,Advertisement Agency,Marketing agency,Marketing agency,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 79824 33043,http://meenmarketing.com/,,,"Mahamadpur, Ghoraghatata Ward No. 2, Darbhanga Sadar, 36, Sonki, Bihar 847239",847115,26.143551199999997,86.0102222,ChIJj83yiTPH7TkRj5nWwvP-dR0,https://www.google.com/maps/place/?q=place_id:ChIJj83yiTPH7TkRj5nWwvP-dR0,part_396,2026-09-20 20:19:27,4713
Total display,Advertisement Agency,Advertising agency,Advertising agency,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 99874 15702,https://totaldisplay.co.in/,4.0,1.0,"Biraul Bazar - Kumai Rd, patna Road, Darbhanga, Bihar 846010",patna Road,26.0008125,86.2493125,ChIJbQ8b85rf7TkRvLE0OsGRRxQ,https://www.google.com/maps/place/?q=place_id:ChIJbQ8b85rf7TkRvLE0OsGRRxQ,part_396,2026-09-20 20:19:27,4714
|| EDITING ||,Advertisement Agency,Media house,Media house,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"Jiwachhghat, darbhanga, Khajuri, Bihar 847115",Jiwachhghat,26.1938574,85.9939191,ChIJ5YodceTJ7TkR8Mn9QICcgyw,https://www.google.com/maps/place/?q=place_id:ChIJ5YodceTJ7TkR8Mn9QICcgyw,part_396,2026-09-20 20:19:27,4715
Brand Forge,Advertisement Agency,Website designer,Website designer,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.0,1.0,"Belwa, Bihar 847115",847115,26.1641983,86.0051027,ChIJP-Q0e17H7TkRVptqaQpCLn0,https://www.google.com/maps/place/?q=place_id:ChIJP-Q0e17H7TkRVptqaQpCLn0,part_396,2026-09-20 20:19:27,4716
Sign World,Advertisement Agency,Sign shop,Sign shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 77952 75745,N/A,5.0,1.0,"near IndianOil, Patrol, Khirma, Pathra, Bihar 847121",Patrol,26.2547347,85.9150684,ChIJmfYRaje37TkRWwrI8eKtv18,https://www.google.com/maps/place/?q=place_id:ChIJmfYRaje37TkRWwrI8eKtv18,part_396,2026-09-20 20:20:12,7481
Bisfi Farmer Producer Company Limited,Advertisement Agency,Marketing consultant,Marketing consultant,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 82944 27272,N/A,4.0,1.0,"Farmer Producer Company Limited, Bisfi, Bihar 847122",847121,26.3244312,85.88076799999999,ChIJ6egOc8O17TkRataY3aD2ylA,https://www.google.com/maps/place/?q=place_id:ChIJ6egOc8O17TkRataY3aD2ylA,part_396,2026-09-20 20:20:12,7482
SA LOVE STOR,Advertisement Agency,Marketing consultant,Marketing consultant,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 93547 22534,N/A,,,"Shop No 9, Jama masjid, House As Family, Kakorwa, Darbhanga, Bihar 847121",847121,26.3242981,85.917813,ChIJn0Y0W5e17TkRpFyxTXmvCf0,https://www.google.com/maps/place/?q=place_id:ChIJn0Y0W5e17TkRpFyxTXmvCf0,part_396,2026-09-20 20:20:12,7483
Anand Advertising Service,Advertisement Agency,Advertising agency,Advertising agency,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,,,"Postapur, Muhammadpur (Chandi, Mahamadpur, Bihar 847306",Muhammadpur (Chandi,26.2358987,85.85935529999999,ChIJu0pKzRW37TkRDnIEorIa7mQ,https://www.google.com/maps/place/?q=place_id:ChIJu0pKzRW37TkRDnIEorIa7mQ,part_396,2026-09-20 20:20:12,7484
Zixick | Best Branding Agency in Bihar,Advertisement Agency,Marketing agency,Marketing agency,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 89863 33011,http://zixick.com/,4.8,25.0,"Savita Sadan, N-6, Professor Colony, Jogipur, Kankarbagh, Bankman Colony, Patna, Bihar 800020","Professor Colony, Jogipur, Kankarbagh, Bankman Colony",25.5992209,85.1629126,ChIJMTvywdBZ7TkRblJZZDGu44w,https://www.google.com/maps/place/?q=place_id:ChIJMTvywdBZ7TkRblJZZDGu44w,part_396,2026-09-20 20:20:13,7485
Sri Garima Publicity Private Limited,Advertisement Agency,Advertising agency,"Advertising agency, Event management company",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 78708 08888,http://www.srigarima.com/,4.8,36.0,"NRI Plaza, 201, Rd Number 0, Rajeev Nagar, Digha Ghat, Patna, Bihar 800024","Rajeev Nagar, Digha Ghat",25.6308562,85.09893389999999,ChIJUzgwc_kQ7TkRZyDzoHOrSCA,https://www.google.com/maps/place/?q=place_id:ChIJUzgwc_kQ7TkRZyDzoHOrSCA,part_396,2026-09-20 20:20:13,7486
Blue Whistle Advertising,Advertisement Agency,Advertising agency,Advertising agency,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 81025 98797,http://bluewhistle.co.in/,4.8,54.0,"Anand Tower, 4A, Exhibition Rd, beside Store, Patna, Bihar 800001","Ali Nagar Colony, Salimpur Ahra, Golambar",25.6108467,85.1432774,ChIJx7aTecVZ7TkRwWRn09XKj7s,https://www.google.com/maps/place/?q=place_id:ChIJx7aTecVZ7TkRwWRn09XKj7s,part_396,2026-09-20 20:20:13,7487
Imagine World Services,Advertisement Agency,Advertising agency,"Advertising agency, Consultant, Event management company, Interior Decorator, Market researcher, Marketing agency, Media Consultant",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,https://businessvolunteers.online/,4.6,38.0,"1st Floor, Ram Lakhan Bhawan, Patliputra Kurji Rd, near Bank of Baroda, Kurji, Patna, Bihar 800010",Kurji,25.636685,85.1088333,ChIJ29uGRtZZ7TkRnpE-MimK6Y0,https://www.google.com/maps/place/?q=place_id:ChIJ29uGRtZZ7TkRnpE-MimK6Y0,part_396,2026-09-20 20:20:13,7488
