business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vishal Jewellers,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93047 36899,N/A,4.7,,"K. K road, Tower Chowk, near bata showroom, Hassan Chak, Bada Bazar, Lal Bagh, Darbhanga, Bihar 846004","Hassan Chak, Bada Bazar, Lal Bagh",26.1555349,85.8922509,ChIJW6dDmDO47TkR7C_L5ZohDjs,https://www.google.com/maps/place/?q=place_id:ChIJW6dDmDO47TkR7C_L5ZohDjs,part_396,2026-09-20 20:18:52,936
RR shoping complex Nadhiyami,Artificial Jewellery and Accessories,Jeweler,Jeweler,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 63931 74898,N/A,5.0,,"Nadiyami, beside Ghoghardiha - Durgasthan Road, Darbhanga, kanakpur, Bihar 847239",847115,26.211805299999998,86.05458929999999,ChIJU8LF4LHP7TkR3wDJ3TCQUrk,https://www.google.com/maps/place/?q=place_id:ChIJU8LF4LHP7TkR3wDJ3TCQUrk,part_396,2026-09-20 20:18:52,937
Naaz Bangles,Artificial Jewellery and Accessories,Bangle Shop,Bangle Shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95720 74954,N/A,4.9,,"Ward No .05 Sakari, Sakari Overbrige Ke Pas Jhanjharpur Road, Bihar 847239",847115,26.217272599999998,86.08180999999999,ChIJ7wTpC4PP7TkROuayreZeaUY,https://www.google.com/maps/place/?q=place_id:ChIJ7wTpC4PP7TkROuayreZeaUY,part_396,2026-09-20 20:18:52,938
Shobha Jewellers,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Shopping mall",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95724 53053,N/A,4.1,,"Sidhouli - Surhachatti Rd, Sidhouli, Singhauli, Bihar 847101",847115,26.0475943,85.94668759999999,ChIJj8a3xZPA7TkRuXaWgXb96yA,https://www.google.com/maps/place/?q=place_id:ChIJj8a3xZPA7TkRuXaWgXb96yA,part_396,2026-09-20 20:18:52,939
"Indriya - Aditya Birla Jewellery - Mirzapur Road, Darbhanga",Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 8071 500 075,https://www.indriya.com/jewellery-stores/darbhanga/mirzapur-road-darbhanga/catalog?utm_source=store_locator&utm_medium=brand_website,4.7,70.0,"Sidhu Complex, Mirzapur Road, near LIC office, in front of Louis Philippe Store, Rajkumarganj, Kathalbari, Darbhanga, Bihar 846004","Rajkumarganj, Kathalbari",26.155089699999998,85.8988802,ChIJ86U2mrG57TkROo-qCkwgQvI,https://www.google.com/maps/place/?q=place_id:ChIJ86U2mrG57TkROo-qCkwgQvI,part_396,2026-09-20 20:18:52,940
BANGLE STORE,Artificial Jewellery and Accessories,Bangle Shop,Bangle Shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,1.0,"Benta - Ayachi Nagar Rd, near Dr.Shushila Thakur Hospital, Benta, Laheriasarai, Darbhanga, Bihar 846001","Benta, Laheriasarai",26.1312367,85.9023201,ChIJZxDM6Wy57TkR5c4frerSew4,https://www.google.com/maps/place/?q=place_id:ChIJZxDM6Wy57TkR5c4frerSew4,part_396,2026-09-20 20:18:52,941
Shruti sringar and jewellers श्रूति शृंगार एंड ज्वेलर्स,Artificial Jewellery and Accessories,Costume jewelry shop,Costume jewelry shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70617 22160,N/A,5.0,6.0,"Road No. 9, Chappki Parri, Lakshmisagar, Darbhanga, Padri, Bihar 846009","Chappki Parri, Lakshmisagar",26.161051399999998,85.9164799,ChIJbRvw0sy57TkRU9uSfeBwQqY,https://www.google.com/maps/place/?q=place_id:ChIJbRvw0sy57TkRU9uSfeBwQqY,part_396,2026-09-20 20:18:53,942
YASH CREATION--An Artificial Jewellery Store,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 80845 78107,N/A,4.7,3.0,"Sonarpatti Rd, near SBI ATM, Purani Bazar, Musahri, Muzaffarpur, Bihar 842001","Purani Bazar, Musahri",26.123637,85.3939833,ChIJ5QmFX7gR7TkRrpUFuXvnFGU,https://www.google.com/maps/place/?q=place_id:ChIJ5QmFX7gR7TkRrpUFuXvnFGU,part_396,2026-09-20 20:18:53,943
Aarush Jewels,Artificial Jewellery and Accessories,Costume jewelry shop,"Costume jewelry shop, Showroom",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70047 19376,http://www.aarushjewels.com/,4.7,197.0,"inside Alankar Place, near Boring Road, Chauraha, Kidwaipuri, Patna, Bihar 800001","Chauraha, Kidwaipuri",25.6115076,85.1193601,ChIJMXhQQqBZ7TkR68NVYigjFF4,https://www.google.com/maps/place/?q=place_id:ChIJMXhQQqBZ7TkR68NVYigjFF4,part_396,2026-09-20 20:18:53,944
Thakur Jewellers,Artificial Jewellery and Accessories,Goldsmith,Goldsmith,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 86760 16124,N/A,5.0,,"قبرستان, Aunsi Zero Mile कब्रिस्तान, Bichla Tola, Bihar 847121",847121,26.3169704,85.9615432,ChIJN2Ybx2vL7TkR5F8nySQic6s,https://www.google.com/maps/place/?q=place_id:ChIJN2Ybx2vL7TkR5F8nySQic6s,part_396,2026-09-20 20:19:39,5381
