business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shubh knights banquet and hotel,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Resort hotel",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 80838 01116,N/A,4.5,373.0,"Sakri road, opposite HP petrol pump, Gangwara, Darbhanga, Padri, Bihar 846005",Gangwara,26.1700865,85.9154753,ChIJ4xJYtUm57TkR0IwHAOq60bg,https://www.google.com/maps/place/?q=place_id:ChIJ4xJYtUm57TkR0IwHAOq60bg,part_396,2026-09-20 20:19:08,2973
"Leela Krishna Bhavan, Resthouse and Banquet Hall",Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Hotel",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93041 59419,N/A,3.6,141.0,"Sundarpur, Darbhanga, Bihar 846004",Sundarpur,26.169565499999997,85.897176,ChIJn5Hzoym47TkRrpDqAF8UXhU,https://www.google.com/maps/place/?q=place_id:ChIJn5Hzoym47TkRrpDqAF8UXhU,part_396,2026-09-20 20:19:08,2974
Darbar Banquet,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Concert hall, Event venue, Party planner, Wedding venue",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70912 28747,N/A,4.7,128.0,"Ward No-48, Nehru Stadium, Road, behind Adarsh Madhya Vidyalaya, Housing Board Colony, Laheriasarai, Darbhanga, Barheta, Bihar 846001","Housing Board Colony, Laheriasarai",26.1123665,85.89756709999999,ChIJ1RxUVlK57TkR1_uM4kae02o,https://www.google.com/maps/place/?q=place_id:ChIJ1RxUVlK57TkR1_uM4kae02o,part_396,2026-09-20 20:19:08,2975
Bhupa Greens,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Caterer, Conference center, Event venue, Party planner, Wedding planner, Wedding service, Wedding venue",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70500 58800,https://bhupagreens.com/,4.3,561.0,"NH57, opposite Swami Vivekanand Superspecility Cancer Hospital, Mabbi Belauna, Bastauli, Bihar 846005",847115,26.1796778,85.8486927,ChIJebLUD-u37TkRe9imhthC6yg,https://www.google.com/maps/place/?q=place_id:ChIJebLUD-u37TkRe9imhthC6yg,part_396,2026-09-20 20:19:08,2976
Salil Vatika - Hotel and Banquet,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Hotel, Wedding venue",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 90313 10696,https://www.salilvatika.com/,4.6,376.0,"Kalidham, Barhetta Rd, Chitragupta Nagar, Laheriasarai, Darbhanga, Bihar 846001","Chitragupta Nagar, Laheriasarai",26.1174601,85.8934088,ChIJjT3qozK57TkRzcqH3Uo7EHw,https://www.google.com/maps/place/?q=place_id:ChIJjT3qozK57TkRzcqH3Uo7EHw,part_396,2026-09-20 20:19:08,2977
Anukul Vivah Bhawan,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 99314 87975,N/A,4.2,53.0,"Chitragupta Nagar, Sundarpur, Darbhanga, Bihar 846004","Chitragupta Nagar, Sundarpur",26.173551099999997,85.8915071,ChIJ5VheXYC37TkRKG4aTLzjb_Q,https://www.google.com/maps/place/?q=place_id:ChIJ5VheXYC37TkRKG4aTLzjb_Q,part_396,2026-09-20 20:19:08,2978
Suraj Banquets And Garden,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Wedding venue",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 79031 40005,N/A,4.5,427.0,"Ekmi Rd, Shastri Nagar, Laheriasarai, Darbhanga, Barheta, Bihar 846001","Shastri Nagar, Laheriasarai",26.1177928,85.8845425,ChIJGa_8zXe57TkRFq8o-omcM6s,https://www.google.com/maps/place/?q=place_id:ChIJGa_8zXe57TkRFq8o-omcM6s,part_396,2026-09-20 20:19:08,2979
Utsav Vivah Bhawan,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93043 66033,N/A,4.2,82.0,"Shri Santosh Jha, C/o, GM Road, in front of RELIANCE JEWELLERS, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1574308,85.9022086,ChIJ_RFUsqS57TkRngZ8MP-ms8Y,https://www.google.com/maps/place/?q=place_id:ChIJ_RFUsqS57TkRngZ8MP-ms8Y,part_396,2026-09-20 20:19:08,2980
Janki Vivah Bhawan,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 98350 04505,https://jankivivahbhawan.in/,3.9,79.0,"SH 50, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.159968799999998,85.905345,ChIJH2q9rjy47TkRCquCSh2HquQ,https://www.google.com/maps/place/?q=place_id:ChIJH2q9rjy47TkRCquCSh2HquQ,part_396,2026-09-20 20:19:08,2981
VIDYAPATI VIVAH BHAWAN,Marriage Hall / Kalyana Mandapam,Function room facility,Function room facility,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82007 52129,N/A,4.0,38.0,"Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1595697,85.90584539999999,ChIJd2mqr1i57TkRN4vMI_fnKvY,https://www.google.com/maps/place/?q=place_id:ChIJd2mqr1i57TkRN4vMI_fnKvY,part_396,2026-09-20 20:19:08,2982
