business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Reliance Smart Point Biraul,Multi-location Retail Chains,Grocery store,Grocery store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.1,102.0,"Supaul Bazar, Biraul, Bihar 847203",847115,25.941632199999997,86.2455863,ChIJqaqvQNLh7TkRtX0AT0INn0s,https://www.google.com/maps/place/?q=place_id:ChIJqaqvQNLh7TkRtX0AT0INn0s,part_396,2026-09-20 20:19:30,4846
RCM Bazar darbhanga,Multi-location Retail Chains,Store,Store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 80837 18047,N/A,4.5,11.0,"Sharma Tent House, Sharma vibha bhavan, Rahamganj, Darbhanga, Bihar 846004","Banker's Colony, Rahamganj",26.1373543,85.8972141,ChIJGQIOJ3S57TkRKWLWXnxeLwY,https://www.google.com/maps/place/?q=place_id:ChIJGQIOJ3S57TkRKWLWXnxeLwY,part_396,2026-09-20 20:19:30,4847
Monte Carlo Exclusive Showroom,Multi-location Retail Chains,Clothing store,"Clothing store, Men's clothing store",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 79 4272 7021,https://stores.montecarlo.in/monte-carlo-exclusive-showroom-maa-kamakhya-enterprises-fashion-designer-laheriasarai-darbhanga-492354/Home?utm_source=locator&utm_medium=googleplaces,4.2,100.0,"VIP Road, Laheriasarai Commercial Chowk, Near Sweet Home, Ward No 42, Bihar 846001","Gudri Bazar, Mogalpura, Laheriasarai",26.1200096,85.90017639999999,ChIJuxAtWve47TkRdCygcuZNXx4,https://www.google.com/maps/place/?q=place_id:ChIJuxAtWve47TkRdCygcuZNXx4,part_396,2026-09-20 20:19:30,4848
Maa Shyama Stores,Multi-location Retail Chains,Store,Store,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 98352 71323,N/A,4.0,,"Shivdhara, A 26, Bazaar Samiti Rd, Sundarpur, Darbhanga, Bela Dullah, Bihar 846004",Sundarpur,26.1808217,85.8798185,ChIJO4Qx13q37TkRrwUnAnhYwik,https://www.google.com/maps/place/?q=place_id:ChIJO4Qx13q37TkRrwUnAnhYwik,part_396,2026-09-20 20:20:16,7532
Sati(Satiyari Chowk),Multi-location Retail Chains,Grocery store,Grocery store,847122,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bisfi SO, Bhatraghat BO, CQuaztola BO",N/A,N/A,4.4,78.0,"X5F2+R4X, Parari Kanhouli Rd, Padri, Bihar 847202",847122,25.9746049,86.1503607,ChIJX5k_Omnn7TkRc-NbS4Cja-8,https://www.google.com/maps/place/?q=place_id:ChIJX5k_Omnn7TkRc-NbS4Cja-8,part_396,2026-09-20 20:21:01,10028
Maa Family Shop,Multi-location Retail Chains,Shopping mall,Shopping mall,847122,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bisfi SO, Bhatraghat BO, CQuaztola BO",+91 94309 41421,N/A,3.7,30.0,"Kamtoul, Bihar 847304",847122,26.3308324,85.8209591,ChIJz4Sr5xaz7TkRdgR3GYmUIeY,https://www.google.com/maps/place/?q=place_id:ChIJz4Sr5xaz7TkRdgR3GYmUIeY,part_396,2026-09-20 20:21:01,10029
Navya store,Multi-location Retail Chains,Grocery store,Grocery store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",N/A,N/A,3.6,,"VIP Rd, Allalpatti, Laheriasarai, Darbhanga, Bihar 846003","Allalpatti, Laheriasarai",26.1385504,85.9079479,ChIJSRYt7CK57TkRIlrkzlEiCy8,https://www.google.com/maps/place/?q=place_id:ChIJSRYt7CK57TkRIlrkzlEiCy8,part_396,2026-09-20 20:21:47,11479
Reliance Smart Point,Multi-location Retail Chains,Grocery store,Grocery store,847203,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Biraul SO, Afzala BO, Ahilwara BO",+91 97983 05505,https://relianceretail.com/,4.0,139.0,"ASAS Plaza Ekmi, Laheriasarai, Darbhanga, Bihar 846003",Laheriasarai,26.118354,85.8812739,ChIJ72M69he57TkRUGYFez7kIGs,https://www.google.com/maps/place/?q=place_id:ChIJ72M69he57TkRUGYFez7kIGs,part_396,2026-09-20 20:24:03,17201
Mokhtar General Store,Multi-location Retail Chains,General store,General store,847308,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Sahar SO Madhubani, Awari BO, Bengra BO",+91 81786 78010,N/A,,,"Purwari Tol 6, Pupri - Madhubani Rd, Vill, Sohraul, Madhubani, Bihar 847222",Vill,26.4294114,85.8790946,ChIJ76kZMrJL7DkRkzcKHiUiv-g,https://www.google.com/maps/place/?q=place_id:ChIJ76kZMrJL7DkRkzcKHiUiv-g,part_396,2026-09-20 20:47:05,41178
Naveen Kirana Store,Multi-location Retail Chains,Store,Store,847308,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Sahar SO Madhubani, Awari BO, Bengra BO",N/A,N/A,4.4,14.0,"HWP4+RRF, Phulhar, Bihar 847308",847308,26.587066099999998,85.90705,ChIJaQ5mG6NH7DkRzqn8vhwv_2M,https://www.google.com/maps/place/?q=place_id:ChIJaQ5mG6NH7DkRzqn8vhwv_2M,part_396,2026-09-20 20:47:05,41179
