business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vickey Kirana Shop,Provision Store,Indian grocery store,Indian grocery store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95769 52445,N/A,4.1,23.0,"4VPX+XGX, near jesus and mary academy, Banker's Colony, Rahamganj, Darbhanga, Bihar 846004","Banker's Colony, Rahamganj",26.1374915,85.8988538,ChIJm-rT5U-47TkRJJus4B6WRmc,https://www.google.com/maps/place/?q=place_id:ChIJm-rT5U-47TkRJJus4B6WRmc,part_396,2026-09-20 20:18:44,100
Chandan Kirana Store,Provision Store,Wholesaler,Wholesaler,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 73248 07555,N/A,5.0,1.0,"No 1 Sundar P U R Darbhanga Ward No 2 Aerya 1 Sundar P U R, Darbhanga, Bihar 847115",847115,26.195514499999998,85.99537579999999,ChIJXfMdxpLJ7TkRDVrc6NTCEow,https://www.google.com/maps/place/?q=place_id:ChIJXfMdxpLJ7TkRDVrc6NTCEow,part_396,2026-09-20 20:18:44,101
Lakshman Kirana Store.,Provision Store,Home goods store,Home goods store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82928 46106,N/A,4.3,24.0,"Navtoliya, Laheriasarai, Darbhanga, Dharampur, Bihar 846001","Navtoliya, Laheriasarai",26.1236875,85.9140625,ChIJC3BFFIq47TkRbVdeFe8hLxY,https://www.google.com/maps/place/?q=place_id:ChIJC3BFFIq47TkRbVdeFe8hLxY,part_396,2026-09-20 20:18:44,102
Jay Vijay kirana store,Provision Store,General store,General store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.7,3.0,"5XR6+CF, Kharthua, Bihar 847115",847115,26.1909547,85.96112269999999,ChIJywvPIADJ7TkRHvXGU6OKslc,https://www.google.com/maps/place/?q=place_id:ChIJywvPIADJ7TkRHvXGU6OKslc,part_396,2026-09-20 20:18:44,103
KISHORI MAHASETH KIRANA STORE,Provision Store,Grocery store,Grocery store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 99340 03433,N/A,3.8,39.0,"Kishore mahaseth Kirana General store, SH 50, opposite bawarchi restaurant, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.161859399999997,85.9052121,ChIJiyK1XiO47TkR1bBxHzQbHxE,https://www.google.com/maps/place/?q=place_id:ChIJiyK1XiO47TkR1bBxHzQbHxE,part_396,2026-09-20 20:18:44,104
Bhagwati Kirana & General Store,Provision Store,General store,General store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 84099 99734,N/A,3.8,23.0,"Dilawarpur, Donar, Darbhanga, Bihar 846009","Rasoolpur, Donar",26.1444323,85.9161405,ChIJE-IQFGy47TkRxnwhjknu3g0,https://www.google.com/maps/place/?q=place_id:ChIJE-IQFGy47TkRxnwhjknu3g0,part_396,2026-09-20 20:18:44,105
R V VARIETY STORE,Provision Store,Grocery store,"Grocery store, Cosmetics store, General store",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 76318 95698,N/A,4.5,6.0,"00, Shubhankarpur, Darbhanga, Chataria, Bihar 846006",Shubhankarpur,26.1595747,85.88711409999999,ChIJldf_eM257TkRkGg0rPqadQg,https://www.google.com/maps/place/?q=place_id:ChIJldf_eM257TkRkGg0rPqadQg,part_396,2026-09-20 20:18:44,106
AVNISH GENERAL STORE,Provision Store,General store,General store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95720 94384,https://www.facebook.com/avnish.sharma.35175,5.0,8.0,"Sunderpur Bela, near Bela, gumti, Darbhanga, Bihar 846004",gumti,26.1770803,85.8989184,ChIJd5z5ABa37TkRbqZUyGPQ5Oo,https://www.google.com/maps/place/?q=place_id:ChIJd5z5ABa37TkRbqZUyGPQ5Oo,part_396,2026-09-20 20:18:44,107
Parivar Kirana,Provision Store,Grocery store,"Grocery store, General store",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 84090 31640,N/A,4.3,18.0,"Lakshmisagar, Darbhanga, Bihar 846009",Lakshmisagar,26.1601625,85.9081264,ChIJd7T_MD247TkRS1pGir96UI8,https://www.google.com/maps/place/?q=place_id:ChIJd7T_MD247TkRS1pGir96UI8,part_396,2026-09-20 20:18:44,108
Bipin Kirana,Provision Store,General store,General store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95763 46110,N/A,4.3,11.0,"00, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1610455,85.9053692,ChIJpWbfZL657TkReyAA4MQ0_uI,https://www.google.com/maps/place/?q=place_id:ChIJpWbfZL657TkReyAA4MQ0_uI,part_396,2026-09-20 20:18:44,109
Abdul Halim General Store,Provision Store,General store,General store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 97081 34008,N/A,5.0,1.0,"6X4X+P4X Prathmik School Ke Pass, Road, near by Loam, Darbhanga, Loam, Bihar 847115",847115,26.2068571,85.99785609999999,ChIJtULyosTJ7TkRKGJBwqKZJFI,https://www.google.com/maps/place/?q=place_id:ChIJtULyosTJ7TkRKGJBwqKZJFI,part_396,2026-09-20 20:18:44,110
RAM SAWRUP CHOWK,Provision Store,Grocery store,"Grocery store, Supermarket",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,http://www.dhirajkumarrcm.page.tl/,4.0,,"Bishanpur - Atarbel Rd, Araila, Bihar 847106",847115,26.0833999,85.76479429999999,ChIJ64G5BK2k7TkRJemfVZSGSDI,https://www.google.com/maps/place/?q=place_id:ChIJ64G5BK2k7TkRJemfVZSGSDI,part_396,2026-09-20 20:18:45,111
Janki General Store,Provision Store,General store,General store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,,"Janki niwas, near bharamsthan, balughat, kadirabad, Darbhanga, Bihar 846004",Mansaar Colony,26.168353999999997,85.8876263,ChIJ5XeWNqS57TkRmY87xCqHdJk,https://www.google.com/maps/place/?q=place_id:ChIJ5XeWNqS57TkRmY87xCqHdJk,part_396,2026-09-20 20:18:45,112
CHAUDHARY BAZAR,Provision Store,Supermarket,Supermarket,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.6,,"Dasout, Hariharpur, Bihar 847405",Dasout,26.1023584,86.2705447,ChIJATzLmBF27jkR16no35I4p1I,https://www.google.com/maps/place/?q=place_id:ChIJATzLmBF27jkR16no35I4p1I,part_396,2026-09-20 20:18:45,113
