business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"CGHS Wellness Centre, Darbhanga",Wellness Center,Government hospital,Government hospital,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 6272 222 369,https://www.cghs.mohfw.gov.in/,5.0,4.0,"5V4X+W85, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.157253899999997,85.8983636,ChIJ2_ZGMwC57TkRwm8ZOh6LYi8,https://www.google.com/maps/place/?q=place_id:ChIJ2_ZGMwC57TkRwm8ZOh6LYi8,part_396,2026-09-20 20:19:08,2933
Holistic Mind Care & Rehab Centre,Wellness Center,Mental health service,Mental health service,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,5.0,"Aditya Medicos Near Hanuman Mandir Shahganj Road, Chowk, Benta, Laheriasarai, Darbhanga, Bihar 846003","Benta, Laheriasarai",26.1277777,85.90524339999999,ChIJeVpIcZa57TkRKhAKsiUJKGg,https://www.google.com/maps/place/?q=place_id:ChIJeVpIcZa57TkRKhAKsiUJKGg,part_396,2026-09-20 20:19:08,2934
Primary health centre loam,Wellness Center,Housing society,Housing society,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,1.0,"6X3W+QPX, Loam, Bihar 847115",847115,26.2044987,85.99684789999999,ChIJo64uPwDJ7TkRIlx0Lqc0KJE,https://www.google.com/maps/place/?q=place_id:ChIJo64uPwDJ7TkRIlx0Lqc0KJE,part_396,2026-09-20 20:19:08,2935
DNS Health care center (Dr.Manoj Kumar),Wellness Center,Hospital,Hospital,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 74630 79541,N/A,,,"5WWW+5JM, Basdeopur, Bihar 846007",847115,26.1954717,85.94654489999999,ChIJjdUmYgDJ7TkRIFHLIf2LM-o,https://www.google.com/maps/place/?q=place_id:ChIJjdUmYgDJ7TkRIFHLIf2LM-o,part_396,2026-09-20 20:19:08,2936
moinyuth center,Wellness Center,Pharmacy,Pharmacy,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,3.0,"Muslim Rd, Kakarghatti, Adalpur, Bihar 847115",847115,26.1890766,86.02370119999999,ChIJyxRDFUXP7TkRr6IlnohbPkI,https://www.google.com/maps/place/?q=place_id:ChIJyxRDFUXP7TkRr6IlnohbPkI,part_396,2026-09-20 20:19:08,2937
Darbhanga Brain care and research centre,Wellness Center,Doctor,Doctor,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 85390 49988,https://www.psychoview.com/,4.8,54.0,"Aditya Medicos near Hanuman Temple Shahganj Road, chowk, Benta, Laheriasarai, Darbhanga, Bihar 846001","Benta, Laheriasarai",26.1285284,85.9046228,ChIJfZjh52u57TkRh5teqdtiKHw,https://www.google.com/maps/place/?q=place_id:ChIJfZjh52u57TkRh5teqdtiKHw,part_396,2026-09-20 20:19:08,2938
Ibrahim memorial health Care,Wellness Center,Sports medicine clinic,Sports medicine clinic,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"6XFF+M7Q, Amdiha, Bihar 847115",847115,26.22421,85.97323019999999,ChIJczFiDwDJ7TkRNDQgj4xKAWc,https://www.google.com/maps/place/?q=place_id:ChIJczFiDwDJ7TkRNDQgj4xKAWc,part_396,2026-09-20 20:19:08,2939
HERBALIFE WELLNESS CENTER,Wellness Center,Wellness center,Wellness center,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 86033 11063,N/A,5.0,,"Madarpur chowk, Darbhanga, Bihar 846004","Maulaganj, Laheriasarai",26.141689,85.90111739999999,ChIJzS-733K57TkR-GfRnxBAyUY,https://www.google.com/maps/place/?q=place_id:ChIJzS-733K57TkR-GfRnxBAyUY,part_396,2026-09-20 20:19:08,2940
Wellness health care,Wellness Center,Hospital department,Hospital department,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,,"Hospital Road, near Kali Mandir, Benta, Laheriasarai, Darbhanga, Bihar 846001","Benta, Laheriasarai",26.1313036,85.901173,ChIJj5JhZXm57TkRdvZ0753haxE,https://www.google.com/maps/place/?q=place_id:ChIJj5JhZXm57TkRdvZ0753haxE,part_396,2026-09-20 20:19:08,2941
Health and wellness centre,Wellness Center,Health consultant,Health consultant,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.3,,"2XWG+W5F, Unnamed Road, Siram Pipra, Bihar 847101",847115,26.0473046,85.9754154,ChIJDYKohZ7B7TkRrd8iZ7kOvuY,https://www.google.com/maps/place/?q=place_id:ChIJDYKohZ7B7TkRrd8iZ7kOvuY,part_396,2026-09-20 20:19:08,2942
