business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"S S Industries І Manufacturer of Corrugated Boxes, Mono Cartons Darbhanga, Bihar",Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 91555 41111,http://www.ssindustriesbihar.com/,4.4,,"Amithi -Shivram- Nehra Road, Vill: Vasudevpur, Panchayat: Tikkapatti Dokli, Post: Kapchahi, Thana: Bahadurpur, Block: Bahadurpur, Chowk, near Chikni, Sonki, Bihar 847239",847115,26.1297407,86.0384481,ChIJKcR6ex7F7TkRaImlFF_QBbo,https://www.google.com/maps/place/?q=place_id:ChIJKcR6ex7F7TkRaImlFF_QBbo,part_396,2026-09-20 20:19:23
SHRI BALAJI INDUSTRIES,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,Packaging supply store,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.7,,"Donar, Kabir Chak, Bihar 846009",Donar,26.1480864,85.92419509999999,ChIJ-_L3QHO47TkR7DcOCNZMw24,https://www.google.com/maps/place/?q=place_id:ChIJ-_L3QHO47TkR7DcOCNZMw24,part_396,2026-09-20 20:19:23
Omdeo Packaging Corrugated | Duplex Box Manufacturer,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93341 55293,https://www.omdeopackaging.in/,4.2,,"C-65, Industrial Area, Chanakya Colony, Hajipur, Yusufpur Dighikhurd, Bihar 844102",Chanakya Colony,25.696987699999998,85.2305196,ChIJM37VUzNc7TkRNqcpIIN3V0E,https://www.google.com/maps/place/?q=place_id:ChIJM37VUzNc7TkRNqcpIIN3V0E,part_396,2026-09-20 20:19:23
R.S. PACKAGING,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,"Packaging supply store, Wholesaler",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 84346 25008,N/A,4.9,,"National Optical, BK Rd, near Rose Tea, Gudri Bazar, Mogalpura, Laheriasarai, Darbhanga, Bihar 846001","Gudri Bazar, Mogalpura, Laheriasarai",26.1189991,85.8986434,ChIJu66pH_q47TkRLrH-FQsXDj0,https://www.google.com/maps/place/?q=place_id:ChIJu66pH_q47TkRLrH-FQsXDj0,part_396,2026-09-20 20:19:23
Mahaveer packaging,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 91221 82321,N/A,,,"Sakri East, Bihar 847239",847115,26.212726399999998,86.1101427,ChIJ6XdGsD7P7TkRTFdYO7BRufk,https://www.google.com/maps/place/?q=place_id:ChIJ6XdGsD7P7TkRTFdYO7BRufk,part_396,2026-09-20 20:19:24
"Paper Plates Manufacturing, Madhav Industries",Corrugated Box and Packaging Material Manufacturers,Paper mill,Paper mill,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 84090 87779,N/A,5.0,,"Industrial area, Donar, Darbhanga, Malpatti, Bihar 846009","Industrial area, Donar",26.1492215,85.9257409,ChIJ02O1Bbm57TkR57Fo4E7Kq8o,https://www.google.com/maps/place/?q=place_id:ChIJ02O1Bbm57TkR57Fo4E7Kq8o,part_396,2026-09-20 20:19:24
Mark RTD - Ecommerce packaging company,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 92886 53299,https://markrtd.com/,5.0,,"Purani Zeromile, sahwajpur, Muzaffarpur, Dadar Kolhuwa, Bihar 842004",sahwajpur,26.159993399999998,85.3881803,ChIJT4qlMzwb7TkR0VD3pbZl5Vw,https://www.google.com/maps/place/?q=place_id:ChIJT4qlMzwb7TkR0VD3pbZl5Vw,part_396,2026-09-20 20:19:24
Omdeo Packaging,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93341 55293,https://www.omdeopackaging.in/,4.7,,"Ground Floor, N Tower, 15 L, Main Road, opp. KFC, Kankarbagh, Ghrounda, Patna, Bihar 800020","Kankarbagh, Ghrounda",25.6034902,85.153019,ChIJlWqgA3hZ7TkRGH09Qe8D7iA,https://www.google.com/maps/place/?q=place_id:ChIJlWqgA3hZ7TkRGH09Qe8D7iA,part_396,2026-09-20 20:19:24
R.K Manufacturer paper plates & cup,Corrugated Box and Packaging Material Manufacturers,Wholesaler,Wholesaler,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 87706 06941,N/A,4.7,,"ganj road, near LCS College engineers gas, Donar, Darbhanga, Kabir Chak, Bihar 846009",Donar,26.1446054,85.91680649999999,ChIJ9eoTIBK57TkRz09LZasdwMU,https://www.google.com/maps/place/?q=place_id:ChIJ9eoTIBK57TkRz09LZasdwMU,part_396,2026-09-20 20:19:24
Omdeo Packaging,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,http://www.omdeopackaging.in/,4.9,,"4, Maurya Vihar Colony, Khagaul, Patna, Bihar 801505","Maurya Vihar Colony, Khagaul",25.5765301,85.0548795,ChIJQ96ReNep8jkRa7W5ubXk8LM,https://www.google.com/maps/place/?q=place_id:ChIJQ96ReNep8jkRa7W5ubXk8LM,part_396,2026-09-20 20:19:24
