business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sharda Nritya Sangeet Kala Kendra,Music and Dance Academy,Music school,Music school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 90066 04599,https://youtube.com/channel/UCCVwvfRvKZBH-WVv5701iwQ,4.9,,"Shubhankarpur, Darbhanga, Chataria, Bihar 846006",Shubhankarpur,26.1593329,85.8882593,ChIJgSbj86i57TkRYK83mpBhlqs,https://www.google.com/maps/place/?q=place_id:ChIJgSbj86i57TkRYK83mpBhlqs,part_396,2026-09-20 20:19:15
DANCE ADDA DARBHANGA,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 72818 28284,N/A,5.0,,"Naka no.5, Gali Number 1, near City Hospital, Quilaghat, Rahamganj, Darbhanga, Bihar 846004","Quilaghat, Rahamganj",26.145349799999998,85.89708399999999,ChIJ6d-1-uS57TkRmO8IqgFcMXI,https://www.google.com/maps/place/?q=place_id:ChIJ6d-1-uS57TkRmO8IqgFcMXI,part_396,2026-09-20 20:19:15
Siddharth Sangeet Gurukul,Music and Dance Academy,Music school,"Music school, Guitar instructor",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70043 96419,N/A,4.8,,"Malech Mardani Mandir, Mirzapur, Darbhanga, Bihar 846004","Mirzapur, Bhathiarisarai",26.1514085,85.89951669999999,ChIJh2uiOcG57TkRy_McKafqN0c,https://www.google.com/maps/place/?q=place_id:ChIJh2uiOcG57TkRy_McKafqN0c,part_396,2026-09-20 20:19:15
Diva Dance Studio,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,http://www.instagram.com/divadancestudio07?igsh=MTgwYzBvbXN6Z3V2OA==,5.0,,"Shakti Nagar, Ekmi Rd, near Kishan Nursery, behind Petu Da Plate Restaurant, Friends Colony, Laheriasarai, Darbhanga, Bihar 846001","Friends Colony, Laheriasarai",26.1191081,85.88628949999999,ChIJmZEcpSq57TkRYgEgOHZkQmE,https://www.google.com/maps/place/?q=place_id:ChIJmZEcpSq57TkRYgEgOHZkQmE,part_396,2026-09-20 20:19:15
SANGEETASHRAM MUSIC ACADEMY,Music and Dance Academy,Music school,Music school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 83402 77577,N/A,5.0,,"Barhitola, Kathalbari, Darbhanga, Bihar 846004","Barhitola, Kathalbari",26.1601745,85.9042412,ChIJx0p8EQe57TkRqfz_KT96Btk,https://www.google.com/maps/place/?q=place_id:ChIJx0p8EQe57TkRqfz_KT96Btk,part_396,2026-09-20 20:19:15
Dance Fever Darbhanga,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 79090 62629,https://jsdl.in/DT-99QAIMY2IQM,4.9,,"सरावगी वस्त्रालय के सामने, Near maharani godam, बर्तन वाला गली, सरावगी वस्त्रालय के सामने Bara Bazar Hajari Nath Mandir( Gandhi chowk Rd ) Darbhanga बड़ा बाजार, हाज़री नाथ मंदिर, बर्तन वाला गली, Darbhanga, Bihar 846004",Bada Bazar,26.156969099999998,85.8900784,ChIJx1cefzK47TkRYd55Hko9KfY,https://www.google.com/maps/place/?q=place_id:ChIJx1cefzK47TkRYd55Hko9KfY,part_396,2026-09-20 20:19:15
Natraj Dance academy,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82719 11425,N/A,4.8,,"Arya Samaj Rd, Shivaji Nagar, Gullowara, Darbhanga, Bihar 846004","Shivaji Nagar, Gullowara",26.150041299999998,85.8911421,ChIJ6S1_EzW47TkR96wiSrdcbow,https://www.google.com/maps/place/?q=place_id:ChIJ6S1_EzW47TkR96wiSrdcbow,part_396,2026-09-20 20:19:15
VDV DANCE STUDIO Darbhanga,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95703 21050,https://www.instagram.com/vdv_dance_studio?igsh=MW9ncWFxaTl1c25mMg==,4.9,,"near Karpuri Dwar, Sundarpur, Kadirabad, Darbhanga, Bihar 846004",Sundarpur,26.171303599999998,85.8900857,ChIJy3lDVkG57TkRCT75lTLGEJo,https://www.google.com/maps/place/?q=place_id:ChIJy3lDVkG57TkRCT75lTLGEJo,part_396,2026-09-20 20:19:15
Srishti Foundation,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93868 09408,N/A,4.5,,"Rambag Colony Rd, Mansaar Colony, Darbhanga, Bihar 846004",Mansaar Colony,26.1600297,85.8924401,ChIJx2StfzK47TkRhxPYgKWQBRo,https://www.google.com/maps/place/?q=place_id:ChIJx2StfzK47TkRhxPYgKWQBRo,part_396,2026-09-20 20:19:15
RDX Dance Academy,Music and Dance Academy,Dance school,Dance school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 93046 82376,N/A,4.2,,"Commercial Chowk, sweet home, Gudri Bazar, new market, Laheriasarai, Darbhanga, Bihar 846001","Gudri Bazar, new market, Laheriasarai",26.120611999999998,85.8999927,ChIJY8gqMVm47TkRD35s11UJYT4,https://www.google.com/maps/place/?q=place_id:ChIJY8gqMVm47TkRD35s11UJYT4,part_396,2026-09-20 20:19:15
Institute Of Magical Chords,Music and Dance Academy,Music instructor,Music instructor,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 87897 62611,N/A,5.0,,"1st Floor, Siddhi Vinayak Sweets, Income Tax Chowk, Darbhanga, Bihar 846004",Kathalbari,26.1571461,85.8987665,ChIJPez1Ff657TkRUiv0BUxZ1Sg,https://www.google.com/maps/place/?q=place_id:ChIJPez1Ff657TkRUiv0BUxZ1Sg,part_396,2026-09-20 20:19:15
Acoustic World,Music and Dance Academy,Art school,Art school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82108 53790,http://www.acousticworld.in/,5.0,,"4V9V+HC5, Kali Mandir Marg, in front of Pani Tanki Road, Chitragupta Nagar, Laheriasarai, Darbhanga, Bihar 846001","Chitragupta Nagar, Laheriasarai",26.1188786,85.8936222,ChIJ_xdoYIi57TkRx0ZYBqWaUUM,https://www.google.com/maps/place/?q=place_id:ChIJ_xdoYIi57TkRx0ZYBqWaUUM,part_396,2026-09-20 20:19:15
Adhyan Music & Dance Academy,Music and Dance Academy,Music school,Music school,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 76673 27756,N/A,4.8,,"Tekari, Bihar 824236",847115,24.944999,84.8427186,ChIJc8uGmsAvjTkReEuKUDEdEjc,https://www.google.com/maps/place/?q=place_id:ChIJc8uGmsAvjTkReEuKUDEdEjc,part_396,2026-09-20 20:19:15
