business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAHINDRA CUSTOMER CARE CENTRE,Tempo and Mini Truck Service,Truck repair shop,"Truck repair shop, Auto parts store",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,https://auto.mahindra.com/,3.9,,"Chak Jamal, Bihar 846004",847115,26.1848125,85.8824375,ChIJTZWwjXC37TkRe67sba-XMO4,https://www.google.com/maps/place/?q=place_id:ChIJTZWwjXC37TkRe67sba-XMO4,part_396,2026-09-20 20:19:01
Mahesh Auto Service,Tempo and Mini Truck Service,Transportation service,Transportation service,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70043 37412,N/A,,,"07 Banki Pur, Fakla Road, Bahadurpur, Darbhanga, Bihar 846001",847115,26.0966933,85.9443467,ChIJP0R_JDbH7TkRtwWEDA5nPOg,https://www.google.com/maps/place/?q=place_id:ChIJP0R_JDbH7TkRtwWEDA5nPOg,part_396,2026-09-20 20:19:01
Bhawani e-rickshaw service center,Tempo and Mini Truck Service,Auto repair shop,Auto repair shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 74107 27829,N/A,5.0,,"Ekmi Rd, near TVs showroom, Saidnagar, Darbhanga, Bihar 846001",Saidnagar,26.1178881,85.889459,ChIJpca32xC57TkRppaATjq72xY,https://www.google.com/maps/place/?q=place_id:ChIJpca32xC57TkRppaATjq72xY,part_396,2026-09-20 20:19:01
Sanjay Auto Service,Tempo and Mini Truck Service,Transportation service,Transportation service,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95079 34070,N/A,,,"22 No.Gumti, Raghapura,Indra Colony, Road Raghapura, Laheriasarai, Bahadurpur, Darbhanga, Bihar 846001","Navtoliya, Laheriasarai",26.1242195,85.9144458,ChIJfSVaALm57TkRG_Mq3BCsYEc,https://www.google.com/maps/place/?q=place_id:ChIJfSVaALm57TkRG_Mq3BCsYEc,part_396,2026-09-20 20:19:01
Umesh Thakur,Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,,"5W96+QHW, Chunabhatti Gangwara Road, Gangwara, Darbhanga, Bihar 846009",Gangwara,26.169475499999997,85.9114381,ChIJGR2wDUK57TkR3qmHrKQGcCU,https://www.google.com/maps/place/?q=place_id:ChIJGR2wDUK57TkR3qmHrKQGcCU,part_396,2026-09-20 20:19:01
Maa Vaishnavi Carring Darbhanga,Tempo and Mini Truck Service,Transportation service,Transportation service,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.0,,"Arya samj road, Arya Samaj Rd, near old chura mil, Darbhanga, Bihar 846004",Gullowara,26.1485856,85.8912062,ChIJgT_fR8y57TkRM49GJzqrb2A,https://www.google.com/maps/place/?q=place_id:ChIJgT_fR8y57TkRM49GJzqrb2A,part_396,2026-09-20 20:19:01
Heavy vehicle Driver sobhan,Tempo and Mini Truck Service,Transit depot,Transit depot,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 91133 40343,N/A,5.0,,"Sobhan chowk, By pass, Ekmi, Darbhanga, Bihar 846005",847115,26.175543599999997,85.8320038,ChIJc1ajQrmx7TkR6yS6wgB38kc,https://www.google.com/maps/place/?q=place_id:ChIJc1ajQrmx7TkR6yS6wgB38kc,part_396,2026-09-20 20:19:02
Mahakali Automobiles Container Workshop,Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.5,,"Tata motors container workshop, NH 27, Sariagarh, Garhia, Bihar 852105",847115,26.303008,86.7343994,ChIJ5wRRwSRZ7jkRbduTvKMFbJM,https://www.google.com/maps/place/?q=place_id:ChIJ5wRRwSRZ7jkRbduTvKMFbJM,part_396,2026-09-20 20:19:02
Ranjeet Truck Repair Service,Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 62044 82974,N/A,4.8,,"AH42, Bihat, Bihar 851210",847115,25.4418036,86.02709779999999,ChIJawi6fQAP8jkRGJtflIOBLTM,https://www.google.com/maps/place/?q=place_id:ChIJawi6fQAP8jkRGJtflIOBLTM,part_396,2026-09-20 20:19:02
Transport for small commercial vehicles,Tempo and Mini Truck Service,Transportation service,Transportation service,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,,"Kshatriya nagar, Bihar 824101",847115,24.7537734,84.3577849,ChIJbW5foYT9jDkRcqg9MqmX9WU,https://www.google.com/maps/place/?q=place_id:ChIJbW5foYT9jDkRcqg9MqmX9WU,part_396,2026-09-20 20:19:02
MUNNA AUTOMOBILES TATA SERVICE STATION,Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.7,,"SIHULI, KARMINE MORE SHERGHATI, NH-2, Bihar 824211",847115,24.583633,84.7490016,ChIJyykKUYjFjDkRtPVddxzD7D8,https://www.google.com/maps/place/?q=place_id:ChIJyykKUYjFjDkRtPVddxzD7D8,part_396,2026-09-20 20:19:02
