business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhulan Flour and oil mill,Flour and Oil Mill,Flour mill,Flour mill,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 70916 44250,N/A,4.9,,"Karnamepur, Bihar 802112",847121,25.6672081,84.3626961,ChIJvfGSNWyFkjkRJFL0aKErOFI,https://www.google.com/maps/place/?q=place_id:ChIJvfGSNWyFkjkRJFL0aKErOFI,part_396,2026-09-20 20:20:10
National Oil And Flour Mill,Flour and Oil Mill,Home goods store,Home goods store,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 79090 77135,N/A,4.4,,"Akopur, Bihar 841227",847121,26.254918699999998,84.3786749,ChIJ12UFE0n8kjkRdOotmHrjE6w,https://www.google.com/maps/place/?q=place_id:ChIJ12UFE0n8kjkRdOotmHrjE6w,part_396,2026-09-20 20:20:10
PAL OIL AND FLOUR MILL,Flour and Oil Mill,Store,"Store, Flour mill",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 73095 12341,N/A,4.9,,"Rahimapur, Sherdeeh, Uttar Pradesh 211019",847121,25.4480339,81.9518853,ChIJOZuCnFO1mjkRDC7Ao9zmKco,https://www.google.com/maps/place/?q=place_id:ChIJOZuCnFO1mjkRDC7Ao9zmKco,part_396,2026-09-20 20:20:10
Aditya Flour mill & oil mill.,Flour and Oil Mill,Flour mill,Flour mill,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,,,"Siwan, Sakara, Bihar 841234",847121,26.135264,84.1986944,ChIJjSFz3utXkjkRBo-dOAaS0tw,https://www.google.com/maps/place/?q=place_id:ChIJjSFz3utXkjkRBo-dOAaS0tw,part_396,2026-09-20 20:20:10
Sakil Aata Mill,Flour and Oil Mill,Store,Store,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 74848 58256,http://safiullahsaif.blogspot.com/,5.0,,"Mahthour, Mahthaur, Bihar 847423",847121,26.133225799999998,86.19378359999999,ChIJqwrTtavZ7TkRkwaYq7AvHbo,https://www.google.com/maps/place/?q=place_id:ChIJqwrTtavZ7TkRkwaYq7AvHbo,part_396,2026-09-20 20:20:10
Bharat flour And Oil Mill,Flour and Oil Mill,Flour mill,Flour mill,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,4.5,,"J395+R8Q, Nat, Bihar 802118",847121,25.6195816,84.0583496,ChIJd4eLsdh2kjkR66O1G5GoEls,https://www.google.com/maps/place/?q=place_id:ChIJd4eLsdh2kjkR66O1G5GoEls,part_396,2026-09-20 20:20:10
Flour and mustard oil mill,Flour and Oil Mill,Flour mill,Flour mill,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,,,"Bahorikpur, Uttar Pradesh 232104",847121,25.294279799999998,83.2783182,ChIJA3VBe2gXjjkRxUX_JAiyghE,https://www.google.com/maps/place/?q=place_id:ChIJA3VBe2gXjjkRxUX_JAiyghE,part_396,2026-09-20 20:20:10
Atta Mill,Flour and Oil Mill,Wholesaler,Wholesaler,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 62060 15401,N/A,5.0,,"Atta Mill Satyanarayan Sahu, Baligaon, Bihar 847101",847121,26.0382028,86.0355862,ChIJm8Ua4ujD7TkRNIJUniAVJEg,https://www.google.com/maps/place/?q=place_id:ChIJm8Ua4ujD7TkRNIJUniAVJEg,part_396,2026-09-20 20:20:10
Pramod Yadav Aata Mill,Flour and Oil Mill,Store,Store,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,5.0,,"X3R6+5WH, Gangdah Sheoram, Bihar 847101",847121,25.9904324,86.0623683,ChIJyeYGI5_D7TkRJynYO6DaDO4,https://www.google.com/maps/place/?q=place_id:ChIJyeYGI5_D7TkRJynYO6DaDO4,part_396,2026-09-20 20:20:10
MH Oil Mill,Flour and Oil Mill,Flour mill,Flour mill,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 90062 32601,N/A,4.6,9.0,"Bhagritatolla, Chandan Patti, Darbhanga, Bihar 846002",Bhagritatolla,26.077551,85.9228144,ChIJ9dqTVpK_7TkRLDAIw4JwBE4,https://www.google.com/maps/place/?q=place_id:ChIJ9dqTVpK_7TkRLDAIw4JwBE4,part_396,2026-09-20 20:20:11
