business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Bhagwati Misthan Bhandar,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 80020 10218,https://sites.google.com/view/maabhagwatimisthanbhandar/home,5.0,14.0,"Po, At, Nanaura, Koilaasthan, Bihar 846005","Po, At",26.237944499999998,85.904298,ChIJyWZjJIy37TkRn9p5V5f6KUo,https://www.google.com/maps/place/?q=place_id:ChIJyWZjJIy37TkRn9p5V5f6KUo,part_396,2026-09-20 20:19:33
Bala Ji Sweets And Cake,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 84050 50535,N/A,5.0,2.0,"Bisfi Rd, nearby State Bank, State, Darbhanga, Bihar 847121",847121,26.3164546,85.96186759999999,ChIJ0T2YOUbL7TkR_A0MUE1m6aY,https://www.google.com/maps/place/?q=place_id:ChIJ0T2YOUbL7TkR_A0MUE1m6aY,part_396,2026-09-20 20:19:33
Pachadhi Shyam Sweets,Sweet Stall / Mithai Shop,Snack bar,"Snack bar, Sweet shop",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,3.5,43.0,"7XPG+FJC, Unnamed Road, Pacharhi, Bihar 847337",847121,26.286183899999997,85.97652339999999,ChIJV_NCqs7L7TkRE8M_lLPhtpI,https://www.google.com/maps/place/?q=place_id:ChIJV_NCqs7L7TkRE8M_lLPhtpI,part_396,2026-09-20 20:19:33
Maa Bhagwati Misthan Bhandar,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 70703 41390,https://g.page/maa-bhagwati-misthan-bhandar?share,4.2,35.0,"AT Kadamtoli, Darbhanga, Bihar 846005",847121,26.235276,85.9093966,ChIJY2-T-UO27TkR6RdCLpt0gTo,https://www.google.com/maps/place/?q=place_id:ChIJY2-T-UO27TkR6RdCLpt0gTo,part_396,2026-09-20 20:19:33
SHIVAM SWEETS HOUSE,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 70338 79058,N/A,5.0,2.0,"00, village, near Kumahar Toli Ghat Bhatra Road, Ramnagar Post, Bisfi, Darbhanga, Bihar 847122",Ramnagar Post,26.302847999999997,85.8804207,ChIJO2zmWRq17TkRBmVbtBuc_vE,https://www.google.com/maps/place/?q=place_id:ChIJO2zmWRq17TkRBmVbtBuc_vE,part_396,2026-09-20 20:19:33
Gopala backer and sweets,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,5.0,2.0,"Mahamadpur, Bihar 847306",847121,26.240311,85.8502515,ChIJMwt1BwC37TkRhUMUVfH6bVE,https://www.google.com/maps/place/?q=place_id:ChIJMwt1BwC37TkRhUMUVfH6bVE,part_396,2026-09-20 20:19:33
Kartik Sweets & Flower Decoret,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,3.8,4.0,"Dighiar Road (دیگھیار روڈ), Dighiyar, Bihar 847121",847121,26.2693966,85.9479389,ChIJqa857Y3L7TkRjDUEmGVbIys,https://www.google.com/maps/place/?q=place_id:ChIJqa857Y3L7TkRjDUEmGVbIys,part_396,2026-09-20 20:19:33
Bajaj Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 73526 99699,N/A,4.1,232.0,"Bhandar Chowk Kathalbari Road, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1617775,85.90223639999999,ChIJ-Te2ICW47TkRf_FvgxQRX9g,https://www.google.com/maps/place/?q=place_id:ChIJ-Te2ICW47TkRf_FvgxQRX9g,part_396,2026-09-20 20:19:34
Dhajwa Ganga Sweet House,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,3.7,27.0,"8WF4+QFM, Unnamed Road, Bisfi, Bihar 847122",847121,26.3244652,85.9061826,ChIJ65Udsee17TkRrevXjQ52-k4,https://www.google.com/maps/place/?q=place_id:ChIJ65Udsee17TkRrevXjQ52-k4,part_396,2026-09-20 20:19:35
Gauri Sweets & Bakery,Sweet Stall / Mithai Shop,Dessert shop,"Dessert shop, Sweet shop",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 98019 03540,N/A,4.6,8.0,"003 Keoti Near Sarswati Pustakaly Zero Mile, Road Koeti, Aunsi Babhangama North, Patna, Bihar 800001",847121,26.297977399999997,85.9503732,ChIJt_s2-mnK7TkR0OeD8729WOA,https://www.google.com/maps/place/?q=place_id:ChIJt_s2-mnK7TkR0OeD8729WOA,part_396,2026-09-20 20:19:35
