business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHIVAM AUTO SPARE,Auto Spare Parts Shop,Auto parts store,Auto parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",N/A,N/A,5.0,,"5PRM+FCG, Jale - Atarwel Path, Paigambarpur, Bihar 847123",847123,26.191187199999998,85.7335662,ChIJ4euPgaKv7TkRKq5TlN6HSMU,https://www.google.com/maps/place/?q=place_id:ChIJ4euPgaKv7TkRKq5TlN6HSMU,part_396,2026-09-20 20:21:17
BHARAT AUTO,Auto Spare Parts Shop,Auto parts store,Auto parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",+91 72589 88843,N/A,5.0,,"WARD NO 10, 01 BAUKA CHOWK, Jale - Atarwel Path, near BANK ATM, Bharwara, Bihar 847104",847123,26.2463898,85.7354582,ChIJSaFJVbmv7TkRWnnd0b1-le0,https://www.google.com/maps/place/?q=place_id:ChIJSaFJVbmv7TkRWnnd0b1-le0,part_396,2026-09-20 20:21:17
BHUSHAN NISHAD,Auto Spare Parts Shop,Auto parts store,Auto parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",+91 95700 98922,N/A,,,"Soap No.5 Tehbara Road Muzaffarpur 843321, Darbhanga, Bihar 847123",847123,26.2014824,85.70461019999999,ChIJQ_vVD7qv7TkRKqF9_yFecWk,https://www.google.com/maps/place/?q=place_id:ChIJQ_vVD7qv7TkRKqF9_yFecWk,part_396,2026-09-20 20:21:17
Chandan Kumar Sah,Auto Spare Parts Shop,Auto parts store,Auto parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",+91 99051 46667,N/A,,,"2 Singheara Chok, Darbhanga Rd, near Shiv Mandir, Bihar 847106",847123,26.164931499999998,85.7631897,ChIJnw0wzcGl7TkR0-6arKDgQdI,https://www.google.com/maps/place/?q=place_id:ChIJnw0wzcGl7TkR0-6arKDgQdI,part_396,2026-09-20 20:21:17
ALISHAN AUTO SPARE,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",+91 97986 27354,N/A,,,"Bharwara - Kamtaul Rd, near dharamkata, Bharwara, Hayatpur, Bihar 847104",847123,26.2414483,85.7350371,ChIJJw05IwCv7TkRleRnWSGe4h0,https://www.google.com/maps/place/?q=place_id:ChIJJw05IwCv7TkRleRnWSGe4h0,part_396,2026-09-20 20:21:17
Sachin spare parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",N/A,N/A,5.0,,"6PWP+M5X, Jale - Atarwel Path, Bharwara, Bihar 847104",847123,26.2467304,85.7354695,ChIJSULJSgCv7TkRdxxhmw4esWM,https://www.google.com/maps/place/?q=place_id:ChIJSULJSgCv7TkRdxxhmw4esWM,part_396,2026-09-20 20:21:17
Sachin spare parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",N/A,N/A,,,"5PVM+85M, Rupauli Buzrug, Bihar 847123",847123,26.193345599999997,85.7329202,ChIJxboHdgCv7TkR16p8_XdroN0,https://www.google.com/maps/place/?q=place_id:ChIJxboHdgCv7TkR16p8_XdroN0,part_396,2026-09-20 20:21:17
Mukesh kirana store,Auto Spare Parts Shop,Auto parts store,Auto parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",N/A,N/A,5.0,,"6MPP+WHJ, Baigni, Bihar 843321",847123,26.2373434,85.68638159999999,ChIJb3TeQACv7TkRSQhcwdDWQW4,https://www.google.com/maps/place/?q=place_id:ChIJb3TeQACv7TkRSQhcwdDWQW4,part_396,2026-09-20 20:21:17
Maa chamunda enterprises,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto repair shop",847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",N/A,N/A,,,"4MWR+Q6P, NH 27, Chak Balua, Bihar 847107",847123,26.1468533,85.6905362,ChIJPZTTFwCl7TkR5cRhNPsjKaY,https://www.google.com/maps/place/?q=place_id:ChIJPZTTFwCl7TkR5cRhNPsjKaY,part_396,2026-09-20 20:21:17
Kohinoor mobile Centre,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Cell phone accessory store",847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",+91 97713 99829,N/A,5.0,,"Mahavir Mandir Rd Simri Singhwara Darbhanga Nh57, Bihar 847106",847123,26.1641318,85.766204,ChIJl-anDhGl7TkRltgXnyBAadY,https://www.google.com/maps/place/?q=place_id:ChIJl-anDhGl7TkRltgXnyBAadY,part_396,2026-09-20 20:21:17
Tufail Communication,Auto Spare Parts Shop,Auto parts store,Auto parts store,847123,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Singhwara SO, Bihar Nursary BO, Kathalia BO",+91 76311 34342,N/A,5.0,1.0,"Ward No 08, National Public School, Shop No 30 Tehwara Chowk Ward No 08 Near, Nh 57, Chowk, near Tehwara, Tehwara, Bihar 847123",847123,26.206964,85.70441699999999,ChIJZzMqcXSv7TkRULjcP-Md-UI,https://www.google.com/maps/place/?q=place_id:ChIJZzMqcXSv7TkRULjcP-Md-UI,part_396,2026-09-20 20:21:19
