business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rudraksh Industries Darbhanga Bihar - Servo Voltage Stabilizers Manufacturer,Industrial Equipment Suppliers,Electrical equipment supplier,Electrical equipment supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,https://www.servostabilizerdelhi.com/,5.0,1.0,"gram - post, Benipur, Bihar 847103",847201,26.058134199999998,86.14729539999999,ChIJD83ij4vd7TkRcl_oTbo6tZU,https://www.google.com/maps/place/?q=place_id:ChIJD83ij4vd7TkRcl_oTbo6tZU,part_396,2026-09-20 20:22:26
Green Vista Enterprises,Industrial Equipment Suppliers,Plastic bag supplier,Plastic bag supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 74810 96518,N/A,5.0,56.0,"Madhuban road, Baheri, Bihar 847101",847201,25.967165899999998,86.0621869,ChIJUQExvufp7TkRb-Om6C7Y6q0,https://www.google.com/maps/place/?q=place_id:ChIJUQExvufp7TkRb-Om6C7Y6q0,part_396,2026-09-20 20:22:26
Anjali tractor parts,Industrial Equipment Suppliers,Wholesaler,"Wholesaler, Plumbing supply store, Tractor dealer",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 99580 23341,N/A,5.0,13.0,"Panta, Bihar 846009",847201,26.126904999999997,86.0106263,ChIJ9UGtXv_H7TkRaDgGzW450GU,https://www.google.com/maps/place/?q=place_id:ChIJ9UGtXv_H7TkRaDgGzW450GU,part_396,2026-09-20 20:22:26
Kismat welding & Aluminium,Industrial Equipment Suppliers,Welding supply store,Welding supply store,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,5.0,2.0,"46W2+GCX, ward 05, Putai, Bihar 847423",ward 05,26.1463729,86.2011015,ChIJLcNHIwDZ7TkR7p-r-9hEhs0,https://www.google.com/maps/place/?q=place_id:ChIJLcNHIwDZ7TkR7p-r-9hEhs0,part_396,2026-09-20 20:22:26
Sahani Makhana Chalni,Industrial Equipment Suppliers,Agricultural machinery manufacturer,Agricultural machinery manufacturer,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,,,"34CP+JH3, Ashapur, Majhaura, Bihar 847201",Ashapur,26.0715115,86.13641199999999,ChIJz68pGwDd7TkRNb65n-J4p-4,https://www.google.com/maps/place/?q=place_id:ChIJz68pGwDd7TkRNb65n-J4p-4,part_396,2026-09-20 20:22:26
Lahta,Industrial Equipment Suppliers,Hose supplier,Hose supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,1.0,1.0,"46C8+QHV, Tumaul Suhath Lahta, Bihar 847423",847201,26.1219953,86.2164236,ChIJt4WNSADZ7TkRSvkZamTYFBw,https://www.google.com/maps/place/?q=place_id:ChIJt4WNSADZ7TkRSvkZamTYFBw,part_396,2026-09-20 20:22:26
AD ENGINEERING AND LATHE WORK,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Metal fabricator, Machine shop, Welder",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,,,"RB petrol pump ke Bagal mein, Dhoi chakki, Benipur - Bishanpur Rd, Donar, Bihar 846009",Donar,26.053744599999998,86.14721449999999,ChIJ3RMuivrd7TkR9Gq8wg5YnGg,https://www.google.com/maps/place/?q=place_id:ChIJ3RMuivrd7TkR9Gq8wg5YnGg,part_396,2026-09-20 20:22:26
"Shree Pratap Enterprises, Inai",Industrial Equipment Suppliers,Sand & gravel supplier,Sand & gravel supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,https://shreepratapshop.blogspot.com/?m=1,4.5,2.0,"Baheri Rajwara Rd, Inay, Bihar 847105",847201,25.9575557,86.0785477,ChIJXfrFbuXp7TkRpwGMHSEzRow,https://www.google.com/maps/place/?q=place_id:ChIJXfrFbuXp7TkRpwGMHSEzRow,part_396,2026-09-20 20:22:26
Ram Pravesh kirana store,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,,,"pattur, Gopipatti, Bihar 847101",pattur,26.0780617,85.95727749999999,ChIJQSTI1u_B7TkRHeXTXB5GN2g,https://www.google.com/maps/place/?q=place_id:ChIJQSTI1u_B7TkRHeXTXB5GN2g,part_396,2026-09-20 20:22:26
Eastman Dealer - Aftab Electric,Industrial Equipment Suppliers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 75499 67553,https://eastmanbattery.in/,4.9,,"Lulwa Chowk, Lehara, Bihar 847233",847201,26.1468445,86.0952676,ChIJ2SUqzxvb7TkRoRd-oN4G9gU,https://www.google.com/maps/place/?q=place_id:ChIJ2SUqzxvb7TkRoRd-oN4G9gU,part_396,2026-09-20 20:22:27
Shankar Enterprises,Industrial Equipment Suppliers,Electric motor vehicle dealer,Electric motor vehicle dealer,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,4.0,,"Shivnagar Ghat - Ghanshyampur - Rasiyari Rd, Biraul, Neuri, Bihar 846010",847201,26.016025199999998,86.20750679999999,ChIJN9VbuKDf7TkRe374FsO1hMA,https://www.google.com/maps/place/?q=place_id:ChIJN9VbuKDf7TkRe374FsO1hMA,part_396,2026-09-20 20:22:27
Gas Chulha Ghar,Industrial Equipment Suppliers,Appliance parts supplier,Appliance parts supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 80518 02121,N/A,,,"SH-56 Road, near Manu home appliances, Sonki, Darbhanga, Bihar 846009",847201,26.1277713,86.0084899,ChIJdSg5D_nH7TkR36SE85Wwxb0,https://www.google.com/maps/place/?q=place_id:ChIJdSg5D_nH7TkR36SE85Wwxb0,part_396,2026-09-20 20:22:28
Eastman Dealer,Industrial Equipment Suppliers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 612 415 8312,https://eastman-dealers.eaplworld.com/near-me/darbhanga/Singhauli/eastman-dealer-rk-moter-in-Singhauli-darbhanga--3YqkHP/home,,,"RK Moter, Anandpur, nearby Ashok Papaer Mills, Singhauli, Bihar 847101",847201,26.052894,85.9426056,ChIJF7XohbLB7TkRK32DXYBczus,https://www.google.com/maps/place/?q=place_id:ChIJF7XohbLB7TkRK32DXYBczus,part_396,2026-09-20 20:22:28
