business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MITRA MAKHANA UDYOG,Organic Food Store,Organic food store,"Organic food store, Food manufacturer",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 92118 52453,N/A,4.9,,"Pohadi West, Bihar 847103",847201,26.037062499999998,86.1865625,ChIJJ3rxHwDf7TkRvkJkRgdr95Q,https://www.google.com/maps/place/?q=place_id:ChIJJ3rxHwDf7TkRvkJkRgdr95Q,part_396,2026-09-20 20:21:47
Mithila Fresh,Organic Food Store,Food Processing Company,Food Processing Company,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,4.9,,"Nawada, Beloun, Darbhanga, Bihar 847201",Nawada,26.096681,86.1627979,ChIJd-A2jrvb7TkRDs25M6eH1Jo,https://www.google.com/maps/place/?q=place_id:ChIJd-A2jrvb7TkRDs25M6eH1Jo,part_396,2026-09-20 20:21:47
BIHAR MAKHANA,Organic Food Store,Farmers' market,"Farmers' market, Agricultural Product Wholesaler, Crop grower, Farm, Food Processing Company",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 97111 24486,https://biharmakhana.in/,4.8,,"Bahera - Jhanjharpur Rd, Adhloam, Bihar 847201",847201,26.095830499999998,86.1718095,ChIJOWrDxdXb7TkRylT2zBo8ajI,https://www.google.com/maps/place/?q=place_id:ChIJOWrDxdXb7TkRylT2zBo8ajI,part_396,2026-09-20 20:21:47
Laxmi Gulab Makhana Udyog,Organic Food Store,Dry Fruit Store,Dry Fruit Store,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 91495 75255,N/A,4.8,,"34MF+H26 Bahera Bazar-Dharaura, Sakri - Bahera Rd, Ganesh Banaul Balni, Bihar 847201",847201,26.083914699999998,86.1225018,ChIJo8zWNgDd7TkRL-eQGjidFw8,https://www.google.com/maps/place/?q=place_id:ChIJo8zWNgDd7TkRL-eQGjidFw8,part_396,2026-09-20 20:21:47
Jha makhana stores,Organic Food Store,Food products supplier,Food products supplier,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,4.6,,"Habibhouar, Havi Bhouar, Bihar 847233",847201,26.1107771,86.1102715,ChIJzUvR2Evb7TkRsubwhBRV6Ow,https://www.google.com/maps/place/?q=place_id:ChIJzUvR2Evb7TkRsubwhBRV6Ow,part_396,2026-09-20 20:21:47
Divyaansh natural,Organic Food Store,Ice cream shop,Ice cream shop,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 99674 03430,N/A,,,"Mahinam Pachabari Tola - Khabhana, Mahinawan, Bihar 847103",847201,26.0211749,86.1677361,ChIJZ6Oa-43d7TkRH_ebbMnhEyo,https://www.google.com/maps/place/?q=place_id:ChIJZ6Oa-43d7TkRH_ebbMnhEyo,part_396,2026-09-20 20:21:47
AMAR FOOD PROCESSING,Organic Food Store,Natural goods store,Natural goods store,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 62001 98061,N/A,,,"Dherukh, Benipur, Pohadi West, Bihar 847103",Dherukh,26.0497625,86.1661914,ChIJQ9N7rILd7TkRzQS2NnXQe90,https://www.google.com/maps/place/?q=place_id:ChIJQ9N7rILd7TkRzQS2NnXQe90,part_396,2026-09-20 20:21:47
Sinha Kirana Store,Organic Food Store,Grocery store,Grocery store,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,4.9,,"X3J8+3VJ Nodega Chok, NH 88, Baheri, Dohat Narain, Bihar 847105",847201,25.980215599999998,86.0671383,ChIJEdM2o_bp7TkRnYhsUXUqEcs,https://www.google.com/maps/place/?q=place_id:ChIJEdM2o_bp7TkRnYhsUXUqEcs,part_396,2026-09-20 20:21:47
Bijuliya Sher,Organic Food Store,Grocery store,Grocery store,847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",N/A,N/A,4.0,,"X4R8+X9W, Habidih, Bihar 847202",847201,25.9924875,86.1159531,ChIJiwoHpfPd7TkR9vMtVGQeAc0,https://www.google.com/maps/place/?q=place_id:ChIJiwoHpfPd7TkR9vMtVGQeAc0,part_396,2026-09-20 20:21:47
mishra enterprises.,Organic Food Store,Supermarket,"Supermarket, Grocery store",847201,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bahera SO, Adhloam BO, Atahar BO",+91 79911 29535,N/A,4.4,,"Mahinam Rd, Mahinawan, Bihar 847103",847201,26.018560899999997,86.1751086,ChIJXfBE8dvd7TkR9beeHqjfTAA,https://www.google.com/maps/place/?q=place_id:ChIJXfBE8dvd7TkR9beeHqjfTAA,part_396,2026-09-20 20:21:47
