business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"VISION EYE PLUS ( IDEE, IRUS, IMAGE, EXCLUSIVE STORE )",Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 79038 42538,https://instagram.com/idee_image_by_vision_eye_plus?igshid=MmVlMjlkMTBhMg==,4.8,107.0,"Maxi stand, road, near Maxi Stand, Professor's Colony, Madhubani, Bihar 847213",Professor's Colony,26.3529736,86.0735692,ChIJFSCR1VnN7TkRT8-MgaJkdbc,https://www.google.com/maps/place/?q=place_id:ChIJFSCR1VnN7TkRT8-MgaJkdbc,part_396,2026-09-20 20:24:59
"Hira Optical, TITAN Eyewear & Fastrack sunglasses .Madhubani",Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 98014 08312,https://mydukaan.io/hiraoptical,5.0,28.0,"ke samne, near, Mithila talkies campus, near V2 Mall, Tilak chowk, Madhubani, Bihar 847213",Tilak chowk,26.353797699999998,86.07422,ChIJmcqRwEfN7TkRGVlBeODyd2Q,https://www.google.com/maps/place/?q=place_id:ChIJmcqRwEfN7TkRGVlBeODyd2Q,part_396,2026-09-20 20:24:59
I Care Optician ️ Madhubani Branch 1 Gaushala Road Branch 2 RK collage road Madhubani,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 70111 02922,N/A,4.9,85.0,"gumti no. 13, Gaushala Road, Gausala Road, near bharat petrol pump, near Bharat petroleum, Madhubani, Bihar 847211",Raza Nagar,26.355371599999998,86.07816389999999,ChIJgVn4oGzN7TkRii1cB5EloFo,https://www.google.com/maps/place/?q=place_id:ChIJgVn4oGzN7TkRii1cB5EloFo,part_396,2026-09-20 20:24:59
New Vision Optical,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 79038 42538,N/A,4.4,11.0,"Maxi stand, Professor's Colony, Bara Bazar, Madhubani, Bihar 847213","Professor's Colony, Bara Bazar",26.3528161,86.0732098,ChIJawTnO7_N7TkRyIp0Q4TSl0U,https://www.google.com/maps/place/?q=place_id:ChIJawTnO7_N7TkRyIp0Q4TSl0U,part_396,2026-09-20 20:24:59
Sana optical,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 84060 36591,N/A,5.0,3.0,"Ganga Sagar Chowk, Loha, Laheriya Ganj, Madhubani, Bihar 847211","Loha, Laheriya Ganj",26.3702197,86.07608139999999,ChIJ8X6e0MMz7DkRZdiofImWCMw,https://www.google.com/maps/place/?q=place_id:ChIJ8X6e0MMz7DkRZdiofImWCMw,part_396,2026-09-20 20:24:59
MUNNA OPTICAL,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 99317 77899,N/A,5.0,4.0,"Hospital Rd, Bhoop Narayan Singh Colony, Madhubani, Bihar 847211",Bhoop Narayan Singh Colony,26.3420581,86.0732494,ChIJ438YvWPN7TkROWPtC8_eqWE,https://www.google.com/maps/place/?q=place_id:ChIJ438YvWPN7TkROWPtC8_eqWE,part_396,2026-09-20 20:24:59
"Lenskart.com at Bata Chowk, Madhubani",Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 80 4013 8067,https://www.lenskart.com/stores/lenskart-com-bata-chowk-madhubani-Mahila-College-Road-madhubani-615403/Home,4.3,44.0,"Bata Chowk, near Mahila College Road, Ward No.8, Madhubani, Bihar 847211",Ward No.8,26.3508335,86.07537479999999,ChIJF4tS_sHN7TkRvDYWKacWJs8,https://www.google.com/maps/place/?q=place_id:ChIJF4tS_sHN7TkRvDYWKacWJs8,part_396,2026-09-20 20:24:59
Ambey Sight Care,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 85218 33013,N/A,5.0,6.0,"Town Club, Road, Ward No 18, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No 18, Ward No.8, Surat Ganj",26.3488084,86.0742808,ChIJg58Jl2DN7TkR1uskXE1To9Y,https://www.google.com/maps/place/?q=place_id:ChIJg58Jl2DN7TkR1uskXE1To9Y,part_396,2026-09-20 20:24:59
New Chasma Ghar,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",+91 77819 70074,N/A,4.2,15.0,"933C+G3C, Nariyal Bazar, Professor's Colony, Bara Bazar, Madhubani, Bihar 847213","Professor's Colony, Bara Bazar",26.353802299999998,86.0701457,ChIJqVr01znN7TkRnByxb7ZeeUM,https://www.google.com/maps/place/?q=place_id:ChIJqVr01znN7TkRnByxb7ZeeUM,part_396,2026-09-20 20:24:59
Anand Vision Network,Optical Store and Eyewear,Optician,Optician,847211,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhubani HO, Madhubani Court SO",N/A,N/A,5.0,1.0,"934F+VGC, SH 52, Ward No.6, Madhubani, Bihar 847213",Ward No.6,26.3571946,86.07376789999999,ChIJN37H00nN7TkRYGayRCa5Dto,https://www.google.com/maps/place/?q=place_id:ChIJN37H00nN7TkRYGayRCa5Dto,part_396,2026-09-20 20:24:59
