business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"I S High School, Basopatti",School,High school,High school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H282+MWC, Block Rd, Basopatti, Bihar 847225",847225,26.566693599999997,86.0022635,ChIJNaCg2uY57DkRmve7_TB0gnE,https://www.google.com/maps/place/?q=place_id:ChIJNaCg2uY57DkRmve7_TB0gnE,part_396,2026-09-20 20:31:11
Shri Vidyapeeth International school,School,Education center,Education center,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 77018 96606,https://shrividyapith.co.in/,4.8,,"Bhaluahi road, Kalna, Bihar 847225",847225,26.5902145,85.9891914,ChIJL_n8Lb857DkRm1R8PkX6eb4,https://www.google.com/maps/place/?q=place_id:ChIJL_n8Lb857DkRm1R8PkX6eb4,part_396,2026-09-20 20:31:11
EXCELLENT PUBLIC SCHOOL,School,General education school,General education school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H2F2+V2C, Basopatti, Bihar 847225",847225,26.574767599999998,85.9998962,ChIJXRjMxhw57DkR1FQVpNzvpok,https://www.google.com/maps/place/?q=place_id:ChIJXRjMxhw57DkR1FQVpNzvpok,part_396,2026-09-20 20:31:11
Kanya Vidyalaya (IJOT),School,Middle school,Middle school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"HX2W+4F8, Basopatti, Bihar 847225",847225,26.5502796,85.99619469999999,ChIJFfymL7M37DkRu-urvK83C4Y,https://www.google.com/maps/place/?q=place_id:ChIJFfymL7M37DkRu-urvK83C4Y,part_396,2026-09-20 20:31:11
Manapatti कायस्थतोली,School,Preschool,Preschool,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,3.0,,"G2WH+VM7, Pachratan, Bihar 847225",847225,26.547352999999998,86.02918319999999,ChIJLWbzAwAx7DkR8LO9983q-7U,https://www.google.com/maps/place/?q=place_id:ChIJLWbzAwAx7DkR8LO9983q-7U,part_396,2026-09-20 20:31:11
My Chhota School,School,Preschool,Preschool,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 97713 31488,N/A,,,"My Chhota School, Bus Stand, Main Road, Basopatti, Bihar 847225",847225,26.5718848,86.0018855,ChIJkz8eoC057DkRfKb-SfwdhJs,https://www.google.com/maps/place/?q=place_id:ChIJkz8eoC057DkRfKb-SfwdhJs,part_396,2026-09-20 20:31:11
BHALANI,School,High school,High school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H2C2+HRV, Kaluahi - Basopatti - Harlakhi Rd, Basopatti, Bihar 847225",847225,26.5714896,86.00205969999999,ChIJ30tfdfI57DkR8-x2JsJUMMk,https://www.google.com/maps/place/?q=place_id:ChIJ30tfdfI57DkR8-x2JsJUMMk,part_396,2026-09-20 20:31:11
Sharma Market Near Bus stand,School,Preschool,Preschool,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,5.0,,"Basopatti, Bihar 847225",847225,26.5755254,86.00229879999999,ChIJCS_0fis57DkRyyAX0NEdd_0,https://www.google.com/maps/place/?q=place_id:ChIJCS_0fis57DkRyyAX0NEdd_0,part_396,2026-09-20 20:31:11
"Gyan Jyoti Public School, Basopatti",School,General education school,General education school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 94706 70077,N/A,,,"Basopatti karpuri chowk, Bihar 847225",847225,26.566730099999997,86.0057181,ChIJowMRWZ057DkRLcTC6T9GWgE,https://www.google.com/maps/place/?q=place_id:ChIJowMRWZ057DkRLcTC6T9GWgE,part_396,2026-09-20 20:31:11
Manapatti Middle School,School,Middle school,Middle school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"Manapatti, Pachratan, Bihar 847225",847225,26.5531157,86.0329555,ChIJeaVUQq4x7DkR_OaLGjbSOV8,https://www.google.com/maps/place/?q=place_id:ChIJeaVUQq4x7DkR_OaLGjbSOV8,part_396,2026-09-20 20:31:11
Primary School Mansinghpatti,School,Primary school,Primary school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H264+2PW, Bihar 847225",847225,26.5601149,86.0068409,ChIJH3K53vs57DkRKIGHggbenoA,https://www.google.com/maps/place/?q=place_id:ChIJH3K53vs57DkRKIGHggbenoA,part_396,2026-09-20 20:31:11
Chanakya Public School,School,General education school,General education school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 82717 87755,N/A,,,"Shop No 01Chanakya, Public School, Bhagawati Tola, Basopatti, Jaso, Bihar 847225",847225,26.5786651,86.0078145,ChIJMxVZzbQ57DkRof-zgLT1eek,https://www.google.com/maps/place/?q=place_id:ChIJMxVZzbQ57DkRof-zgLT1eek,part_396,2026-09-20 20:31:11
Avasiya public school,School,General education school,General education school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"HX7X+9W6, Block Rd, Basopatti, Bihar 847225",847225,26.5634095,85.9997559,ChIJGdY81hM57DkR9E__ahZ9tWE,https://www.google.com/maps/place/?q=place_id:ChIJGdY81hM57DkR9E__ahZ9tWE,part_396,2026-09-20 20:31:11
Vinay,School,High school,High school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H2G3+75M, Basopatti, Bihar 847225",847225,26.5757002,86.0029131,ChIJ_4B_g1857DkRzPRj31I3oYA,https://www.google.com/maps/place/?q=place_id:ChIJ_4B_g1857DkRzPRj31I3oYA,part_396,2026-09-20 20:31:11
middle school mehtarpatti,School,Middle school,Middle school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H2WX+36M, Kataia, Bihar 847225",847225,26.5952023,86.0480441,ChIJRTndEdk77DkRSTU05IatfIg,https://www.google.com/maps/place/?q=place_id:ChIJRTndEdk77DkRSTU05IatfIg,part_396,2026-09-20 20:31:11
Harshiv Kumar,School,High school,High school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H262+728, Block Rd, Basopatti, Bihar 847225",847225,26.560665999999998,86.00006929999999,ChIJtZgKCGs57DkRtnrnMBBpQqA,https://www.google.com/maps/place/?q=place_id:ChIJtZgKCGs57DkRtnrnMBBpQqA,part_396,2026-09-20 20:31:11
Basopatti SC Upgraded Middle School,School,School,School,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,,,"H2H5+XG7, Jaso, Bihar 847225",847225,26.579949199999998,86.0086094,ChIJSYkUvIs57DkRwlSW5h1jY6w,https://www.google.com/maps/place/?q=place_id:ChIJSYkUvIs57DkRwlSW5h1jY6w,part_396,2026-09-20 20:31:11
High school field,School,Housing society,Housing society,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,2.0,,"H282+5J7, Bihar 847225",847225,26.5654054,86.0016188,ChIJd5xu43c57DkRC0pDbUsbdMk,https://www.google.com/maps/place/?q=place_id:ChIJd5xu43c57DkRC0pDbUsbdMk,part_396,2026-09-20 20:31:11
"Baluatol, School",School,Educational institution,Educational institution,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",N/A,N/A,5.0,9.0,"G4W4+42V, Bihar 847226",847225,26.545352899999997,86.1050332,ChIJkSCoafAv7DkR-mApoMdJNCk,https://www.google.com/maps/place/?q=place_id:ChIJkSCoafAv7DkR-mApoMdJNCk,part_396,2026-09-20 20:31:12
Shri Vidyayatan Public School,School,General education school,General education school,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 87663 01952,N/A,,,"Jaynagar - Khajauli Road, Narar - Khajauli Rd, Nararh Part, Bihar 847226",847225,26.5192114,86.0884234,ChIJjerCWy8w7DkRtKuSgjrUfcA,https://www.google.com/maps/place/?q=place_id:ChIJjerCWy8w7DkRtKuSgjrUfcA,part_396,2026-09-20 20:31:12
Great India Academy,School,CBSE School,CBSE School,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 87578 64274,http://www.greatindiaacademy.com/,,,"Eidgah, Malmal North, Bihar 847229",847225,26.479547699999998,86.0499474,ChIJB0Wn4wIx7DkRUJbuejZVzK8,https://www.google.com/maps/place/?q=place_id:ChIJB0Wn4wIx7DkRUJbuejZVzK8,part_396,2026-09-20 20:31:12
Oxford public school,School,CBSE School,CBSE School,847225,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basopatti SO, Birpur BO, Chhatauni BO",+91 90311 90785,N/A,,,"Thana road, Jainagar, Bihar 847226",847225,26.584072799999998,86.13873559999999,ChIJMWZGB0cl7DkRG-9VriPD8y0,https://www.google.com/maps/place/?q=place_id:ChIJMWZGB0cl7DkRG-9VriPD8y0,part_396,2026-09-20 20:31:12
