business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chandan And Abhishek Hard Were Store,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",N/A,N/A,5.0,7.0,"H76W+546, Khajedih, Bihar 847232",847232,26.560406099999998,86.2952638,ChIJ2Thh1UGd7jkRlvDFzmMtoZw,https://www.google.com/maps/place/?q=place_id:ChIJ2Thh1UGd7jkRlvDFzmMtoZw,part_396,2026-09-20 20:35:50
Das Ji Hardware,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",N/A,N/A,4.6,7.0,"H7G3+FJF, Jaynagar - Pathrahi - Khutauna Rd, Kamtaulia, Kumarkhat West, Bihar 847232",847232,26.576186999999997,86.25406,ChIJj4dX59cn7DkRX3HwfZSj9RQ,https://www.google.com/maps/place/?q=place_id:ChIJj4dX59cn7DkRX3HwfZSj9RQ,part_396,2026-09-20 20:35:50
Das Hardware,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 99739 32046,N/A,5.0,1.0,"001, Ladania, Bihar 847232",847232,26.610850199999998,86.3201188,ChIJha4SyfCd7jkRlgwvB8SAFzE,https://www.google.com/maps/place/?q=place_id:ChIJha4SyfCd7jkRlgwvB8SAFzE,part_396,2026-09-20 20:35:50
Prema Hardwere,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 89812 84570,N/A,4.2,5.0,"4, Khajedih, Bihar 847232",847232,26.563505499999998,86.29127439999999,ChIJ3zNnsOWd7jkRxQRvL1U0fKk,https://www.google.com/maps/place/?q=place_id:ChIJ3zNnsOWd7jkRxQRvL1U0fKk,part_396,2026-09-20 20:35:50
Maa Bhawani Sales,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 72505 47453,N/A,4.4,7.0,"05, Khajedih, Bihar 847232",847232,26.5661351,86.287463,ChIJGbIPHc-d7jkRrWp5Ngkm_b4,https://www.google.com/maps/place/?q=place_id:ChIJGbIPHc-d7jkRrWp5Ngkm_b4,part_396,2026-09-20 20:35:50
LAKSHMI PLY AND HARDWARE,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 90064 97802,N/A,3.0,2.0,"Hatiya Chowk, Nepal Road, near by Dream Land School, Piprahi, Bihar 847421",847232,26.590327799999997,86.3769542,ChIJuy_hQwCb7jkRivD0liPa-mA,https://www.google.com/maps/place/?q=place_id:ChIJuy_hQwCb7jkRivD0liPa-mA,part_396,2026-09-20 20:35:50
U K Traders,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",N/A,N/A,5.0,3.0,"H842+PMW, Dharamban, Bihar 847232",847232,26.5568667,86.30169719999999,ChIJuZ9SbACD7jkRXvy7We5TzAQ,https://www.google.com/maps/place/?q=place_id:ChIJuZ9SbACD7jkRXvy7We5TzAQ,part_396,2026-09-20 20:35:50
Laxmi Narayan Enterprises,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",N/A,N/A,,,"Neta ji chowk, Ladania, Lachhminia, Bihar 847232",847232,26.608804499999998,86.3273763,ChIJN7jYfgCd7jkRWRHKmtlQXzk,https://www.google.com/maps/place/?q=place_id:ChIJN7jYfgCd7jkRWRHKmtlQXzk,part_396,2026-09-20 20:35:50
Shachetanand Hadweyar,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 84344 24470,N/A,5.0,1.0,"Shachetanand Hadweyar, Pathagda, Bihar 847232",847232,26.589423,86.28914809999999,ChIJg8XSaT2d7jkRSlLwkhvpx7U,https://www.google.com/maps/place/?q=place_id:ChIJg8XSaT2d7jkRSlLwkhvpx7U,part_396,2026-09-20 20:35:50
Mithila Traders,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 79034 68549,N/A,5.0,1.0,"Tenuahi Chowk Ladaniya Road, Bihar 847232",Tenuahi,26.5756516,86.2712152,ChIJPxthRoyd7jkRkeCDEKysM0c,https://www.google.com/maps/place/?q=place_id:ChIJPxthRoyd7jkRkeCDEKysM0c,part_396,2026-09-20 20:35:50
Shyam Engineering Work Shop,Hardware Store,Hardware store,Hardware store,847232,Bihar circle,Muzaffarpur Region,Madhubani Division,"Ekhari BO, Garha BO, Jhaloun BO",+91 77818 38332,N/A,,,"Ward No 9 Bhupatti, Chowk, Babubarhi - Khutauna Main Rd, Madhubani, Bihar 847224",847232,26.4678148,86.30209239999999,ChIJjbVkwheD7jkRN1iNIukWs5M,https://www.google.com/maps/place/?q=place_id:ChIJjbVkwheD7jkRN1iNIukWs5M,part_396,2026-09-20 20:35:50
