business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indesh Hair Cutting,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 96089 83044,N/A,,,"Nayak Gate, Baswariya Chowk Road, Saharghat, Mukhiapatti, Bihar 847308",Saharghat,26.538705,85.8568387,ChIJvydN-gdJ7DkRnK4FM5xzdUM,https://www.google.com/maps/place/?q=place_id:ChIJvydN-gdJ7DkRnK4FM5xzdUM,part_396,2026-09-20 20:44:49
Jyoti Beauty Parlour Janki Nagar,Salon,Beauty Parlour,Beauty Parlour,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",N/A,N/A,5.0,,"HRFG+8HC, Janki nagar, Basuki Bihari North, Bihar 847305",847305,26.573319599999998,85.826403,ChIJ5y5RFytF7DkRBF1yV2Bc5mU,https://www.google.com/maps/place/?q=place_id:ChIJ5y5RFytF7DkRBF1yV2Bc5mU,part_396,2026-09-20 20:44:49
KRITIKA BEAUTY PARLOUR,Salon,Beauty Parlour,Beauty Parlour,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",N/A,N/A,,,"nagar palika, Matihani, Madhesh Province 45700, Nepal",Madhwapur,26.609465999999998,85.84977719999999,ChIJ1bNz6cBH7DkRpMcWJuR0R7g,https://www.google.com/maps/place/?q=place_id:ChIJ1bNz6cBH7DkRpMcWJuR0R7g,part_396,2026-09-20 20:44:49
Sangam Beauty Parlour,Salon,Beauty Parlour,"Beauty Parlour, Beautician",847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",N/A,N/A,5.0,,"ward no. 8, Matihani, Madhesh Province 45700, Nepal",Madhwapur,26.6127763,85.84855259999999,ChIJvcB0iDRF7DkRirB31dvIuG4,https://www.google.com/maps/place/?q=place_id:ChIJvcB0iDRF7DkRirB31dvIuG4,part_396,2026-09-20 20:44:49
Rohit Hair Salon,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 91424 82821,N/A,,,"Rohit Hair Salon Bara Phul Ke Bagal Mai, Saharghat Baraphul, Bihar 847308",847305,26.5430024,85.85643189999999,ChIJm9UCrIdJ7DkRUjPXl8Go83A,https://www.google.com/maps/place/?q=place_id:ChIJm9UCrIdJ7DkRUjPXl8Go83A,part_396,2026-09-20 20:44:49
NISHA Kumari,Salon,Beauty Parlour,Beauty Parlour,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",N/A,N/A,,,"HRMP+82Q, Basuki Bihari North, Bihar 847305",847305,26.5833378,85.8351228,ChIJSQxgIQBF7DkRdjz_q40NnR4,https://www.google.com/maps/place/?q=place_id:ChIJSQxgIQBF7DkRdjz_q40NnR4,part_396,2026-09-20 20:44:49
Karpuri Heyer Kating Selun,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 94314 62103,N/A,,,"Basuki Madhwapur Road Basuki, Road, Madhwapur, Bihar 847305",847305,26.564720599999998,85.8228951,ChIJJ2ngEZ9F7DkREUJ2NCWAVYo,https://www.google.com/maps/place/?q=place_id:ChIJJ2ngEZ9F7DkREUJ2NCWAVYo,part_396,2026-09-20 20:44:49
Manisha Hair counting salon🙇,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",N/A,N/A,,,"JR6X+H9R, Matihani Vanshar Rd, Matihani, Madhesh Province 45700, Nepal",Madhwapur,26.6100158,85.8490617,ChIJ2_m6dgBH7DkRKo8TW67DQ2g,https://www.google.com/maps/place/?q=place_id:ChIJ2_m6dgBH7DkRKo8TW67DQ2g,part_396,2026-09-20 20:44:49
Raghu Hair Cutting Sardar Chowk Saharghat,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 72095 64020,N/A,,,"Raju Complex, NH227, Durgapatti, Bihar 847308",847305,26.5362235,85.8549125,ChIJnSnnju9J7DkR5YcQxmcRxpA,https://www.google.com/maps/place/?q=place_id:ChIJnSnnju9J7DkR5YcQxmcRxpA,part_396,2026-09-20 20:44:49
Roshan Men's Parlour,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 84342 18157,N/A,,,"Nayak Chowk, Road, near by T V S Ajency, Saharghat, Basaitha, Bihar 847308",Saharghat,26.5395938,85.85746259999999,ChIJ-xv_Wv9J7DkRPmm7nFfWnpk,https://www.google.com/maps/place/?q=place_id:ChIJ-xv_Wv9J7DkRPmm7nFfWnpk,part_396,2026-09-20 20:44:49
Sanjay Hair Cutting,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 96081 72940,N/A,,,"Road, Charaut, Mukhiapatti, Bihar 843319",847305,26.5430727,85.8565311,ChIJFUo3eZFP7DkRTo8VH0KWdGI,https://www.google.com/maps/place/?q=place_id:ChIJFUo3eZFP7DkRTo8VH0KWdGI,part_396,2026-09-20 20:44:49
Ganesh Mens Parllar,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 80114 11346,N/A,,,"Ward 01, Ps Saharghat, 001 Saharghat Vill Saharghat Po, Madhapur Road, Saharghat, Bihar 847308",Saharghat,26.5462818,85.85586599999999,ChIJL6hmEmFJ7DkRiPjzHe7Srno,https://www.google.com/maps/place/?q=place_id:ChIJL6hmEmFJ7DkRiPjzHe7Srno,part_396,2026-09-20 20:44:49
Baiju Thakur,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 86036 48572,N/A,,,"Bhagat Singh Chowk, Madhwapur, Muzaffarpur, Bihar 847305",847305,26.6026822,85.8491702,ChIJW_mMH_pH7DkR3uKuiXFLC2g,https://www.google.com/maps/place/?q=place_id:ChIJW_mMH_pH7DkR3uKuiXFLC2g,part_396,2026-09-20 20:44:49
Ranjay Ram Sanjay Ram,Salon,Hairdresser,Hairdresser,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",N/A,N/A,4.0,1.0,"JR6F+Q6C, Parsa Pateli, Madhesh Province 45700, Nepal",847305,26.611942,85.8230251,ChIJeYaBfWlF7DkRv8mqmRbhNT0,https://www.google.com/maps/place/?q=place_id:ChIJeYaBfWlF7DkRv8mqmRbhNT0,part_396,2026-09-20 20:44:50
Karpuri Hair Cutting Saloon,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 94314 62103,N/A,,,"Karpuri Hair Salon, 01, Basuki Bihari North, Bihar 847305",847305,26.5647174,85.8192443,ChIJRXCg4hhF7DkRi-3ZSFrwNuo,https://www.google.com/maps/place/?q=place_id:ChIJRXCg4hhF7DkRi-3ZSFrwNuo,part_396,2026-09-20 20:44:50
Nitish Selon,Salon,Hair salon,Hair salon,847305,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Madhwapur SO, Basuki Bihari BO",+91 79707 92752,N/A,,,"001, Vill Baski Bihari Po Baski Bihar Ps Saharghat Ward 01 Saharghat Road Madhubani, Madhubani, Bihar 847305",847305,26.5649272,85.8193441,ChIJM7DISMFF7DkR5BZN8I8keCI,https://www.google.com/maps/place/?q=place_id:ChIJM7DISMFF7DkR5BZN8I8keCI,part_396,2026-09-20 20:44:50
