business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mithila agency,Building Material Supplier,Building materials supplier,Building materials supplier,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 93341 90113,N/A,5.0,,"Nehru chowk, Ghoghardiha, Bihar 847402",Nehru chowk,26.2883614,86.4702703,ChIJhd8rdrlj7jkRsP4eaaQqOig,https://www.google.com/maps/place/?q=place_id:ChIJhd8rdrlj7jkRsP4eaaQqOig,part_396,2026-09-20 20:48:39
Saroj Traders,Building Material Supplier,Building materials supplier,Building materials supplier,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 85818 16204,N/A,,,"Village, Post, Amouja, Gehuma Bairia, Bihar 847402",847402,26.377855699999998,86.4097719,ChIJ_fpoIGGH7jkR-xe14ZLMIrI,https://www.google.com/maps/place/?q=place_id:ChIJ_fpoIGGH7jkR-xe14ZLMIrI,part_396,2026-09-20 20:48:39
MUKESH HARDWARE,Building Material Supplier,Building materials store,Building materials store,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",N/A,N/A,4.3,,"near Durga mandir, Ghoghardiha, Bihar 847402",847402,26.2814177,86.4717836,ChIJEamSSIZl7jkRvciatiV0-xY,https://www.google.com/maps/place/?q=place_id:ChIJEamSSIZl7jkRvciatiV0-xY,part_396,2026-09-20 20:48:39
m/s ALAM TRADERS /आलम ट्रेडर्स,Building Material Supplier,Building materials supplier,Building materials supplier,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 72501 16111,N/A,3.4,,"At- konar, near NH 57 MUSLIM TOLL KONAR, khopa, Bihar 847402",847402,26.324680299999997,86.3979468,ChIJqwd_gQZ97jkRaHaO4tdPZgU,https://www.google.com/maps/place/?q=place_id:ChIJqwd_gQZ97jkRaHaO4tdPZgU,part_396,2026-09-20 20:48:39
M/S Shankar Prasad,Building Material Supplier,Building materials supplier,"Building materials supplier, Iron & Steel Store",847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 93040 38386,N/A,5.0,,"Hatni Road, Ghoghardiha - Durgasthan Rd, Ghoghardiha, Bihar 847402",847402,26.282355799999998,86.4722858,ChIJ23q6GbFj7jkRV30vO9vViig,https://www.google.com/maps/place/?q=place_id:ChIJ23q6GbFj7jkRV30vO9vViig,part_396,2026-09-20 20:48:39
Laxmi enterprises,Building Material Supplier,Building materials supplier,Building materials supplier,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 86033 39523,N/A,5.0,,"men roade, Zero point, to, Ghoghardiha - Phulparas Rd, near by Dhinak lala smark, Ghoghardiha, Bathnaha, Bihar 847402",847402,26.3229677,86.4787035,ChIJ4ziNoDJj7jkRddRev4h4MFE,https://www.google.com/maps/place/?q=place_id:ChIJ4ziNoDJj7jkRddRev4h4MFE,part_396,2026-09-20 20:48:39
SONI HARDWARE,Building Material Supplier,Building materials store,Building materials store,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",N/A,N/A,4.6,,"8987+JHQ, Sangram, Az Rakbe Mahindwar, Bihar 847109",847402,26.316585999999997,86.3639855,ChIJ_8wjcIN97jkRoKL2ngzm-nU,https://www.google.com/maps/place/?q=place_id:ChIJ_8wjcIN97jkRoKL2ngzm-nU,part_396,2026-09-20 20:48:39
JAGDAMBA HARDWARE,Building Material Supplier,Building materials store,Building materials store,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 76313 05438,N/A,4.4,,"Phulparas - Ghoghardiha - Hatni Rd, Phulparas, Bihar 847409",847402,26.3474638,86.4890449,ChIJdQZtnIBj7jkRG0jwuV2CMbI,https://www.google.com/maps/place/?q=place_id:ChIJdQZtnIBj7jkRG0jwuV2CMbI,part_396,2026-09-20 20:48:39
Shubh laxmi trading,Building Material Supplier,Building materials store,Building materials store,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",+91 97093 08916,N/A,5.0,,"Tardiha Haat, Pauni, Tardiha, Bihar 847408",847402,26.222669399999997,86.41980439999999,ChIJwUuZHIG57TkRLIRktv_mF20,https://www.google.com/maps/place/?q=place_id:ChIJwUuZHIG57TkRLIRktv_mF20,part_396,2026-09-20 20:48:39
LUCKY ENTERPRISES,Building Material Supplier,Building materials supplier,Building materials supplier,847402,Bihar circle,Muzaffarpur Region,Madhubani Division,"Basuari BO, Belha BO, Biraoul BO",N/A,N/A,,,"Khopa, Ghoghardiha - Hatni Rd, Tilath, Ghoghardiha, Bihar 847402",847402,26.2732817,86.47563819999999,ChIJ75YZvRRl7jkRHmbRYME-OmE,https://www.google.com/maps/place/?q=place_id:ChIJ75YZvRRl7jkRHmbRYME-OmE,part_396,2026-09-20 20:48:39
