business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
टकबारे टोल,Property Developers,Housing development,Housing development,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,4.6,5.0,"58W7+7HF, Bihar 847403",847403,26.195689299999998,86.31391579999999,ChIJscKq-Wd57jkRzSMq9fPoOxg,https://www.google.com/maps/place/?q=place_id:ChIJscKq-Wd57jkRzSMq9fPoOxg,part_396,2026-09-20 20:49:30
Gangadhar Jha,Property Developers,Housing development,Housing development,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,5.0,1.0,"6896+VP4, Dip, Bihar 847403",847403,26.2196385,86.311832,ChIJSfCbWax57jkR8UAf0bZG3ts,https://www.google.com/maps/place/?q=place_id:ChIJSfCbWax57jkR8UAf0bZG3ts,part_396,2026-09-20 20:49:30
Durganand kumar,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,5.0,1.0,"686R+GF5, Jorla High School Rd, Dip, Bihar 847403",847403,26.2112615,86.3412201,ChIJ_ZZMbkV77jkRdasJgbYB_x0,https://www.google.com/maps/place/?q=place_id:ChIJ_ZZMbkV77jkRdasJgbYB_x0,part_396,2026-09-20 20:49:30
Aatish house,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,5.0,1.0,"587H+895, Laufa, Bihar 847403",847403,26.163532099999998,86.32894639999999,ChIJyYpVCQB37jkRwriqgcQlxWc,https://www.google.com/maps/place/?q=place_id:ChIJyYpVCQB37jkRwriqgcQlxWc,part_396,2026-09-20 20:49:30
SHUBHAM SINGH HOUSE,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",+91 96952 27601,N/A,5.0,3.0,"672J+37, Daia Khaorwar, Bihar 847403",847403,26.200671999999997,86.28115439999999,ChIJaWe1RwB57jkRERfkIaaGSjM,https://www.google.com/maps/place/?q=place_id:ChIJaWe1RwB57jkRERfkIaaGSjM,part_396,2026-09-20 20:49:30
Ghuran.kumar,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,,,"57PM+7Q3, Lakhnaur, Gangapur, Madhubani, Bihar 847403",Lakhnaur,26.185642899999998,86.2844131,ChIJEXgKANl57jkRvm6ytELsffQ,https://www.google.com/maps/place/?q=place_id:ChIJEXgKANl57jkRvm6ytELsffQ,part_396,2026-09-20 20:49:30
Manoj house,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,5.0,1.0,"58W5+JGV, Lakhnaur, Bihar 847403",847403,26.1966073,86.30881049999999,ChIJe5eoZgB57jkRF6XPuIDYoz8,https://www.google.com/maps/place/?q=place_id:ChIJe5eoZgB57jkRF6XPuIDYoz8,part_396,2026-09-20 20:49:30
Govind Mandal,Property Developers,Housing development,Housing development,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",+91 83405 66933,N/A,5.0,1.0,"678Q+GWJ, Lakshmipur, Kaithinia, Bihar 847403",847403,26.2163357,86.2897555,ChIJF3gafgB57jkRMYUPc84iTRc,https://www.google.com/maps/place/?q=place_id:ChIJF3gafgB57jkRMYUPc84iTRc,part_396,2026-09-20 20:49:30
Anil&Sunil Gupta,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,3.0,2.0,"689H+3PF, Katmakhor, Dip, Bihar 847403",847403,26.217254999999998,86.331053,ChIJ_weUZQB57jkR-cQQScSkCoA,https://www.google.com/maps/place/?q=place_id:ChIJ_weUZQB57jkR-cQQScSkCoA,part_396,2026-09-20 20:49:30
Chand bhai,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",+91 95088 00327,N/A,5.0,11.0,"6843+HX, Lakhnaur, Bihar 847403",847403,26.2061018,86.3067786,ChIJw0IMZgB37jkRpw6eE-JRvo4,https://www.google.com/maps/place/?q=place_id:ChIJw0IMZgB37jkRpw6eE-JRvo4,part_396,2026-09-20 20:49:31
Avinash House,Property Developers,Housing society,Housing society,847403,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Jhanjharpur RS SO, Behat Goth BO, Daiya Kharwar BO",N/A,N/A,5.0,2.0,"682F+28X, Laufa, Bihar 847403",847403,26.2001007,86.32334519999999,ChIJx4V5AgB57jkRqKpdSiwGbfE,https://www.google.com/maps/place/?q=place_id:ChIJx4V5AgB57jkRqKpdSiwGbfE,part_396,2026-09-20 20:49:31
