business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
U.K Bike Service,Bicycle Shop and Repair,Auto parts store,Auto parts store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 79923 51947,N/A,,,"Ward No. 14, Brahmpur (N), Godhiari, Bihar 847409",847409,26.3408271,86.4536634,ChIJ66trq8Zj7jkRZvWrPrXdFTQ,https://www.google.com/maps/place/?q=place_id:ChIJ66trq8Zj7jkRZvWrPrXdFTQ,part_397,2026-09-20 20:18:56,1855
Rampukar Scycle Store,Bicycle Shop and Repair,Bicycle repair shop,"Bicycle repair shop, Hardware store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 75498 07742,N/A,5.0,1.0,"Shop No 10, Hanuman Mandir, Chowk, Phulparas Road, Brahmpur (N), Godhiari, Bihar 847409",847409,26.3420882,86.449004,ChIJl_t-zg1j7jkR71dXQHE1_mU,https://www.google.com/maps/place/?q=place_id:ChIJl_t-zg1j7jkR71dXQHE1_mU,part_397,2026-09-20 20:18:56,1856
"Rudra Cycle Store,Near Mahavir Mandir",Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99311 07347,N/A,5.0,1.0,"8H6G+88Q, Nirmali, Bihar 847452",847409,26.310788799999997,86.5758944,ChIJFRlLrplh7jkRuGPRpcxwrWc,https://www.google.com/maps/place/?q=place_id:ChIJFRlLrplh7jkRuGPRpcxwrWc,part_397,2026-09-20 20:18:56,1857
Gupta Cycle and Gupta Enterprises,Bicycle Shop and Repair,Bicycle wholesaler,"Bicycle wholesaler, Baby store, Bicycle Shop, Electric bicycle store, Electric motorcycle dealer, Helmet Shop, Tire shop, Toy store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94300 38799,https://anar.biz/guptacycleandguptaenterprise,5.0,19.0,"Bank chowk, Umgaon, Bihar 847240",847409,26.6128985,85.9585544,ChIJUw9FaJw57DkRG8ijiJNAqm4,https://www.google.com/maps/place/?q=place_id:ChIJUw9FaJw57DkRG8ijiJNAqm4,part_397,2026-09-20 20:18:56,1858
CHAND CYCLE STORE,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.9,21.0,"MAIN MARKET, Sakri East, Bihar 847239",MAIN MARKET,26.2151975,86.08051309999999,ChIJpa8s5_bP7TkRzQw_7TJBLCg,https://www.google.com/maps/place/?q=place_id:ChIJpa8s5_bP7TkRzQw_7TJBLCg,part_397,2026-09-20 20:18:56,1859
Deepak bhai,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,,,"Ekta Chowk, jhajhri, Sahorwa, Hatni, Bihar 847402",jhajhri,26.252588499999998,86.47186169999999,ChIJYQSvMABl7jkRnbl6JJL4jIQ,https://www.google.com/maps/place/?q=place_id:ChIJYQSvMABl7jkRnbl6JJL4jIQ,part_397,2026-09-20 20:18:56,1860
Navdurga Cycle Store,Bicycle Shop and Repair,Store,Store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94312 54783,N/A,4.0,37.0,"Supaul, Bihar 852131",847409,26.115198099999997,86.6012372,ChIJjXscGD5C7jkRX5vjsal3X04,https://www.google.com/maps/place/?q=place_id:ChIJjXscGD5C7jkRX5vjsal3X04,part_397,2026-09-20 20:18:56,1861
Durga Amit Yamaha Ghoghardhiya,Bicycle Shop and Repair,Bike sharing station,Bike sharing station,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 75490 06892,N/A,5.0,2.0,"7FM8+C82, Main Road, Ghoghardhiya, Ghoghardiha, Bihar 847402",Ghoghardhiya,26.283503,86.46575399999999,ChIJIdyZFodj7jkRGEMqYXZNMoI,https://www.google.com/maps/place/?q=place_id:ChIJIdyZFodj7jkRGEMqYXZNMoI,part_397,2026-09-20 20:18:56,1862
Vikash Madhu Cycle Sales & Service,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Motorcycle shop",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95259 80332,N/A,5.0,5.0,"near SBI Bank, Benipatti, Behta, Bihar 847223",847409,26.4421289,85.8972916,ChIJJTPRNDBK7DkRlzz64S3iyzE,https://www.google.com/maps/place/?q=place_id:ChIJJTPRNDBK7DkRlzz64S3iyzE,part_397,2026-09-20 20:18:56,1863
DURGA CYCLE,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99347 82449,N/A,5.0,5.0,"Kamla Rd, Jainagar, Bihar 847226",847409,26.5898789,86.1409279,ChIJKSML3qUl7DkRAAAAMGNm8CA,https://www.google.com/maps/place/?q=place_id:ChIJKSML3qUl7DkRAAAAMGNm8CA,part_397,2026-09-20 20:18:56,1864
