business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vishwakarma Garage,Car Repair Workshop and Garage,Truck repair shop,Truck repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 62078 15571,N/A,4.8,,"Navtoli, Nirmali, Auraha, Bihar 847108",847409,26.3510138,86.5561917,ChIJlXJ2MbZh7jkRHhqBBJV_1ew,https://www.google.com/maps/place/?q=place_id:ChIJlXJ2MbZh7jkRHhqBBJV_1ew,part_397,2026-09-20 20:18:55,1654
Narendra Auto Work Shop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94308 37347,N/A,5.0,,"NH 52, madhubani road, nearby nirmala public school, STATE, Rahika, Madhubani, Bihar 847238",STATE,26.383193499999997,86.0157389,ChIJm_KOvFIz7DkRYUrdehQX1Ho,https://www.google.com/maps/place/?q=place_id:ChIJm_KOvFIz7DkRYUrdehQX1Ho,part_397,2026-09-20 20:18:55,1655
Ramanand Motor Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 87975 28212,N/A,3.6,,"Bhawanipur, Belhi, Laukahi, Bihar 847108",Bhawanipur,26.4130811,86.57690219999999,ChIJnSP108WL7jkRc18fLP9Lmoo,https://www.google.com/maps/place/?q=place_id:ChIJnSP108WL7jkRc18fLP9Lmoo,part_397,2026-09-20 20:18:55,1656
Nasrul Moter Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82638 27370,N/A,,,"Mahavir Singh Path, Gehuma Bairia, Bihar 847403",847409,26.3717693,86.4063169,ChIJZUFrNEx97jkRtH4z-_lImaw,https://www.google.com/maps/place/?q=place_id:ChIJZUFrNEx97jkRtH4z-_lImaw,part_397,2026-09-20 20:18:55,1657
M/S URBAN GARAGE,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body shop, Auto painting",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 79033 42985,http://urbangarage.co.in/,4.7,,"DELHI MOR, MABBI, ROAD, near MAHINDRA SHOWROOM, Darbhanga, Bihar 846004",847409,26.184995599999997,85.8834916,ChIJEaMzIhe37TkRvVXPhpU5V8A,https://www.google.com/maps/place/?q=place_id:ChIJEaMzIhe37TkRvVXPhpU5V8A,part_397,2026-09-20 20:18:55,1658
"Krishna Garage, Phulparas",Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,3.0,,"NH 27, Bihar 847409",847409,26.3679061,86.514228,ChIJhYKHm65h7jkR8Vaaug3ioUc,https://www.google.com/maps/place/?q=place_id:ChIJhYKHm65h7jkR8Vaaug3ioUc,part_397,2026-09-20 20:18:55,1659
Sameer automobiles,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88824 43596,N/A,,,"Phulparas Khutauna Road Hanuman chowk,bisanpur, phulkahi, Bihar 847409",847409,26.394790999999998,86.49733309999999,ChIJKekczAmJ7jkR7NEy232PyBY,https://www.google.com/maps/place/?q=place_id:ChIJKekczAmJ7jkR7NEy232PyBY,part_397,2026-09-20 20:18:55,1660
Janata garage motorcycle workshop,Car Repair Workshop and Garage,Garage,Garage,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91423 22675,N/A,,,"Bihar,madhubani, Navtoli Madhubani,navtoli,NH-27, Bihar 847108",847409,26.350939099999998,86.5540477,ChIJf064J1dh7jkRagfJIBltLxM,https://www.google.com/maps/place/?q=place_id:ChIJf064J1dh7jkRagfJIBltLxM,part_397,2026-09-20 20:18:55,1661
SITA RAM THAKUR GARAGE WORK SHOP,Car Repair Workshop and Garage,Garage,Garage,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,,,"Kisnipatti, mean road, Ghoghardiha - Hatni Rd, Ghoghardiha, Bihar 847402",847409,26.282612,86.47777339999999,ChIJFXZHVwBj7jkRYw7f_q3TOHk,https://www.google.com/maps/place/?q=place_id:ChIJFXZHVwBj7jkRYw7f_q3TOHk,part_397,2026-09-20 20:18:55,1662
MAQBOOL GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,,,"8H3G+XQG, Nirmali Ring Bandh Rd, Nirmali, Bihar 847452",847409,26.304946899999997,86.57696039999999,ChIJBxpWp6Fg7jkReC8-11MZy2I,https://www.google.com/maps/place/?q=place_id:ChIJBxpWp6Fg7jkReC8-11MZy2I,part_397,2026-09-20 20:18:55,1663
