business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
THE DARK CENTRE,Digital Marketing Agencies,Internet marketing service,Internet marketing service,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80734 35158,https://nylenn666.wordpress.com/,5.0,1.0,"Ward No-04, Muslim Mohalla, Murarpatti, Sonbarsa, Bihar 847227",Muslim Mohalla,26.438530099999998,86.50924549999999,ChIJa_-xuuiL7jkRQ9drH0SI6UA,https://www.google.com/maps/place/?q=place_id:ChIJa_-xuuiL7jkRQ9drH0SI6UA,part_397,2026-09-20 20:19:15,4463
GROWN DIGITAL MARKETING COMPANY,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99392 34658,https://growndigitalsolutions.com/,5.0,11.0,"near Punjab National Bank Kaluahi, Gillation Market Campus, Madhubani, Bihar 847229",Gillation Market Campus,26.3433763,86.0652767,ChIJeSSuFPAx7DkRgozdx_JpAu8,https://www.google.com/maps/place/?q=place_id:ChIJeSSuFPAx7DkRgozdx_JpAu8,part_397,2026-09-20 20:19:15,4464
GROWN DIGITAL - MADHUBANI,Digital Marketing Agencies,Internet marketing service,Internet marketing service,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99392 34658,https://www.growndigitalsolutions.com/,5.0,4.0,"GROWN DIGITAL Marketing Company, near Annpurna Dharm Kaanta, Kaluahi, Bihar 847229",847409,26.4537893,86.05633329999999,ChIJm9gDbr8z7DkRTdk1AXJ2obg,https://www.google.com/maps/place/?q=place_id:ChIJm9gDbr8z7DkRTdk1AXJ2obg,part_397,2026-09-20 20:19:15,4465
NextBiz Digital | An International Digital Marketing Company,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Business management consultant, Service establishment, Internet marketing service, Marketing consultant, Software company, Web hosting company, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82929 14013,https://nextbizdigital.com/,5.0,38.0,"NextBiz Digital | An International Digital Marketing Company, 847409, India",847409,21.0680074,82.7525294,ChIJFzqYK29yEK4RjXQNKRfWYq0,https://www.google.com/maps/place/?q=place_id:ChIJFzqYK29yEK4RjXQNKRfWYq0,part_397,2026-09-20 20:19:15,4466
Bazaar Digital,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising Photographer, Graphic designer, Internet marketing service, Market researcher, Advertising agency, Marketing consultant, Web hosting company, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82105 46110,https://www.bazaardigital.in/,4.8,27.0,"LG 9, Dumraon Palace, near Dak Bunglow, Chauraha, Fraser Road Area, Patna, Bihar 800001","Chauraha, Fraser Road Area",25.610885099999997,85.13767949999999,ChIJ7XX0SnZZ7TkR2hKaLJt787o,https://www.google.com/maps/place/?q=place_id:ChIJ7XX0SnZZ7TkR2hKaLJt787o,part_397,2026-09-20 20:19:15,4467
Digital Marketing Service,Digital Marketing Agencies,Marketing agency,"Marketing agency, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 73528 98727,https://webexceldesigns.com/,,,"Ram Nagar, Kalikapur, Bihar 847402",847409,26.243652899999997,86.43210669999999,ChIJ23QxhxZl7jkRYy95BvZw4d8,https://www.google.com/maps/place/?q=place_id:ChIJ23QxhxZl7jkRYy95BvZw4d8,part_397,2026-09-20 20:19:15,4468
Bazaar Digital,Digital Marketing Agencies,Advertising agency,"Advertising agency, Graphic designer, Web hosting company, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82105 46110,https://bazaardigital.in/,4.9,43.0,"V.Mart Mall, near, Rajkumarganj, Kathalbari, Darbhanga, Bihar 846004","Rajkumarganj, Kathalbari",26.154076399999997,85.89920769999999,ChIJqVUviUW57TkRhO3WPqy9cVY,https://www.google.com/maps/place/?q=place_id:ChIJqVUviUW57TkRhO3WPqy9cVY,part_397,2026-09-20 20:19:15,4469
MITHILA IT SOLUTIONS - Online Marketing/Web Design & Development Services,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Branding agency, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99581 38704,https://www.mithilaitsolutions.com/,3.0,4.0,"H-78, Station Road, Madhubani, Bihar 847211, Madhubani, Bihar 847211",Gillation Market Campus,26.345466,86.071039,ChIJIRneAz_N7TkRhihy2P4dHG4,https://www.google.com/maps/place/?q=place_id:ChIJIRneAz_N7TkRhihy2P4dHG4,part_397,2026-09-20 20:19:15,4470
Digital MediAds,Digital Marketing Agencies,Advertising agency,"Advertising agency, Corporate office",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 87500 95403,http://digitalmediads.com/,1.0,1.0,"H.No.-02, Kamalpur, P.O, Ughra Mahapara, Bihar 847101",847409,26.0827876,86.00266889999999,ChIJ29t7Za3G7TkRDeePQKyKxwg,https://www.google.com/maps/place/?q=place_id:ChIJ29t7Za3G7TkRDeePQKyKxwg,part_397,2026-09-20 20:19:15,4471
RanjeetDigital,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 79090 64581,https://ranjeetdigital.com/,4.9,14.0,"RanjeetDigital, 847409, India",847409,21.0680074,82.7525294,ChIJLz2VYfFd8jkRu_CpaJ8VKfs,https://www.google.com/maps/place/?q=place_id:ChIJLz2VYfFd8jkRu_CpaJ8VKfs,part_397,2026-09-20 20:19:15,4472
"Digitals Wow : Top Digital Marketing Agency in Muzaffarpur, Bihar",Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Video editing service, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94708 13800,https://www.digitalswow.com/,5.0,23.0,"3rd Floor Behind Raj Market, Akhadaghat, Road, Mahammadpur Kazi, Musahri, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.131506899999998,85.3887938,ChIJDa22fAAR7TkR8nXyMmtuHoQ,https://www.google.com/maps/place/?q=place_id:ChIJDa22fAAR7TkR8nXyMmtuHoQ,part_397,2026-09-20 20:19:15,4473
"Adsetweb,LLC",Digital Marketing Agencies,Marketing agency,Marketing agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 62031 90335,http://adsetweb.com/,5.0,10.0,"Dadar, Goh, Bihar 824203",Dadar,24.977613599999998,84.65575919999999,ChIJAQAAACMjjTkRYpy6Kl7_0EQ,https://www.google.com/maps/place/?q=place_id:ChIJAQAAACMjjTkRYpy6Kl7_0EQ,part_397,2026-09-20 20:19:15,4474
Rsm Recording Studio Supaul,Digital Marketing Agencies,Advertising agency,"Advertising agency, Service establishment",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,https://youtube.com/@santoshrecordingstudio?si=YSmjuMhdAbCbS0wO,,,"Rsm Recording Studio Supaul, 847409, India",847409,,,ChIJP9-ywSPqb6wRFJjXuKXjc54,https://www.google.com/maps/place/?q=place_id:ChIJP9-ywSPqb6wRFJjXuKXjc54,part_397,2026-09-20 20:19:15,4475
Grrow Digital,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Graphic designer, Internet marketing service, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,http://www.grrowdigital.com/,5.0,1.0,"4th Floor 401, Laxmi Homez, Mahadev Asthan, NH - 30, near Bypass Road, Paijawa, Patna, Bihar 800009",Paijawa,25.5787907,85.2176291,ChIJU0gzI2gV7QMRiTTOQs2U-ak,https://www.google.com/maps/place/?q=place_id:ChIJU0gzI2gV7QMRiTTOQs2U-ak,part_397,2026-09-20 20:19:15,4476
Digital i - A Social Media Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, E-commerce service, Graphic designer, Website designer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,http://digitalimarketing.com/,,,"Hasanpura, Bihar 841236",847409,26.0746631,84.3642327,ChIJpeo7ilPxkjkRt5BRHM3RNtE,https://www.google.com/maps/place/?q=place_id:ChIJpeo7ilPxkjkRt5BRHM3RNtE,part_397,2026-09-20 20:19:15,4477
Rahul Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,Marketing agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 62024 96327,N/A,,,"sahua, near vastu vihar, Madhubani, kajiana, Bihar 847337",847409,26.312027399999998,86.04786179999999,ChIJd4Zz2DLN7TkRyQs3FJDeP_c,https://www.google.com/maps/place/?q=place_id:ChIJd4Zz2DLN7TkRyQs3FJDeP_c,part_397,2026-09-20 20:19:15,4478
Digileven - Best Digital Marketing Company in Bihar,Digital Marketing Agencies,Marketing agency,Marketing agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 93540 60112,N/A,5.0,4.0,"Mansaar Colony, Mishriganj, Chataria, Bihar 846004",Mansaar Colony,26.164128899999998,85.8880111,ChIJQdCHXKC57TkRqsUA-r2Efx8,https://www.google.com/maps/place/?q=place_id:ChIJQdCHXKC57TkRqsUA-r2Efx8,part_397,2026-09-20 20:19:15,4479
"Digital Marketing Consultant in Hajipur, Bihar- Gyanendra Gaurav.",Digital Marketing Agencies,Marketing agency,Marketing agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82107 87749,N/A,5.0,9.0,"SDO Rd, Hajipur, Bihar 844101",847409,25.690569,85.2018169,ChIJE2cn-tld7TkR5QK4PRfpLPQ,https://www.google.com/maps/place/?q=place_id:ChIJE2cn-tld7TkR5QK4PRfpLPQ,part_397,2026-09-20 20:19:15,4480
Ajit Kushwaha Digital Marketing Expert,Digital Marketing Agencies,Internet marketing service,Internet marketing service,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,https://metavistaworld.com/,5.0,4.0,"Post, Bakhari, Ubadhi, Bihar 841203",Post,26.0312158,84.38512759999999,ChIJTdmcwFPxkjkRbGxRogN3SyY,https://www.google.com/maps/place/?q=place_id:ChIJTdmcwFPxkjkRbGxRogN3SyY,part_397,2026-09-20 20:19:15,4481
Website Design,Digital Marketing Agencies,Website designer,Website designer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,7.0,"9328+PPJ, Madhubani, Bihar 847211",847409,26.351839,86.0667687,ChIJz5XnS8jN7TkRc4FikhBudoM,https://www.google.com/maps/place/?q=place_id:ChIJz5XnS8jN7TkRc4FikhBudoM,part_397,2026-09-20 20:19:15,4482
