business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jai maa Durga sound and lighting,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Event planner",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95467 15625,https://youtube.com/@jmdsoundandlighting?si=qRnlrQiZjbTMOYVr,5.0,11.0,"JMD SOUND AND LIGHTING, near Nav Durga Mandir, Deorh, Bihar 847402",847409,26.297330199999998,86.47323329999999,ChIJkYiFCDVj7jkR495KCkyuS_0,https://www.google.com/maps/place/?q=place_id:ChIJkYiFCDVj7jkR495KCkyuS_0,part_397,2026-09-20 20:18:58,2156
Suresh Electric Corner,Electrical Goods and Lighting Store,Electronics store,Electronics store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 98352 96397,N/A,4.8,22.0,"Madhubani,, Gillation Market Campus, Madhubani, Bihar 847211",Gillation Market Campus,26.347419499999997,86.0713154,ChIJyV2RLz_N7TkR46QS1UmXgYk,https://www.google.com/maps/place/?q=place_id:ChIJyV2RLz_N7TkR46QS1UmXgYk,part_397,2026-09-20 20:18:58,2157
Ajeet Electrical & Refrigeretions Hatni bazar,Electrical Goods and Lighting Store,Electrical engineer,Electrical engineer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88770 79772,https://whatsapp.com/channel/0029Va9QqyqH5JLrvIwCwZ35,5.0,3.0,"V+p- Hatni, dist, thana, Ghoghardiha, Bihar 847402",thana,26.2412209,86.4785594,ChIJzzx2bOll7jkRFBy5Cba1j44,https://www.google.com/maps/place/?q=place_id:ChIJzzx2bOll7jkRFBy5Cba1j44,part_397,2026-09-20 20:18:58,2158
"Maa Trading Company, Madhubani",Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91353 11485,N/A,5.0,2.0,"Main Road, Mall, opposite Trends, Bhoop Narayan Singh Colony, Madhubani, Bihar 847211",Bhoop Narayan Singh Colony,26.3408262,86.0728723,ChIJR61Tju7N7TkRpwrL2cGQuGE,https://www.google.com/maps/place/?q=place_id:ChIJR61Tju7N7TkRpwrL2cGQuGE,part_397,2026-09-20 20:18:58,2159
SRP Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,1.0,"Head Post Office Road, Ayachi Nagar, Madhubani, Bihar 847211",Ayachi Nagar,26.3472796,86.07385959999999,ChIJEyPyX3XN7TkRupyIIq-kK8Y,https://www.google.com/maps/place/?q=place_id:ChIJEyPyX3XN7TkRupyIIq-kK8Y,part_397,2026-09-20 20:18:58,2160
BIJLI GHAR,Electrical Goods and Lighting Store,Store,"Store, Electrical equipment supplier",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.2,11.0,"पंडौल, मेन रोड, 0KM, Bihar 847234",847409,26.2571361,86.07149799999999,ChIJyZOMPPvP7TkRg0avSm6IMLY,https://www.google.com/maps/place/?q=place_id:ChIJyZOMPPvP7TkRg0avSm6IMLY,part_397,2026-09-20 20:18:58,2161
Prem Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80 6217 8686,https://prem-electronics.grexa.site/,,,"godhiyadi road, Brahmpur (S), Godhiari, Bihar 847409",847409,26.3421283,86.4487848,ChIJxbUc911j7jkRJa8Zp2TzLfA,https://www.google.com/maps/place/?q=place_id:ChIJxbUc911j7jkRJa8Zp2TzLfA,part_397,2026-09-20 20:18:58,2162
MAA AMBEY ELECTRICALS,Electrical Goods and Lighting Store,Electrical products wholesaler,"Electrical products wholesaler, Electronics store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 77819 98855,N/A,3.9,10.0,"NH 105, Jainagar, Bihar 847226",847409,26.588884099999998,86.13954939999999,ChIJL7uw16Ul7DkRcMzWNI9avIo,https://www.google.com/maps/place/?q=place_id:ChIJL7uw16Ul7DkRcMzWNI9avIo,part_397,2026-09-20 20:18:58,2163
ANNAPURNA ELECTRIC AND ELECTRONICS,Electrical Goods and Lighting Store,Electronics store,Electronics store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95992 78291,N/A,4.0,8.0,"83XR+JCC Ranti Chowk, Rampatii Road, near by Thakur Auto Mobiles, New Colony, Madhubani, Bihar 847211",New Colony,26.349053899999998,86.0910049,ChIJFfRTKFnN7TkR_r661JXsYQU,https://www.google.com/maps/place/?q=place_id:ChIJFfRTKFnN7TkR_r661JXsYQU,part_397,2026-09-20 20:18:58,2164
Shivangi electrical,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 79797 43672,http://shivangielectrical.com/ContactUs,4.7,3.0,"Shivering Electrical, Nehru chowk, Rajnagar, Bihar 847235",Nehru chowk,26.3955374,86.16020329999999,ChIJS0Rly84t7DkRi3caQbvUPaE,https://www.google.com/maps/place/?q=place_id:ChIJS0Rly84t7DkRi3caQbvUPaE,part_397,2026-09-20 20:18:58,2165
