business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"ANJALI VIDEO AND APNA CSC (Ayush Flex Printing), PHULPARAS",Flex and Banner Printing,Video editing service,"Video editing service, Aadhaar center, Banner store, Computer store, Education center, Internet service provider",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 97711 17406,N/A,5.0,1.0,"Phulparas - Khutauna Rd, Phulparas, Mahathaur Khurd, Bihar 847409",847409,26.3610498,86.4936412,ChIJCaVQWwJj7jkR0VLvngMEoV8,https://www.google.com/maps/place/?q=place_id:ChIJCaVQWwJj7jkR0VLvngMEoV8,part_397,2026-09-20 20:19:08,3457
Global Advertising flex Printing,Flex and Banner Printing,Print shop,Print shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99064 69904,N/A,5.0,5.0,"Madhubani - Sakri Hwy, Sakri East, Bramhpur, Bihar 847239",847409,26.213449299999997,86.0806226,ChIJ68TYSS_P7TkRb3Jmp2a4lXg,https://www.google.com/maps/place/?q=place_id:ChIJ68TYSS_P7TkRb3Jmp2a4lXg,part_397,2026-09-20 20:19:09,3458
OM FLEX PRINTING,Flex and Banner Printing,Print shop,Print shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99558 67501,N/A,5.0,16.0,"Dayachak Rd, Dayachak, Bhawani Chowk, Barh, Bihar 803214","Dayachak, Bhawani Chowk",25.4653781,85.7101201,ChIJb6XxeJJ78jkRJXlCzI8O9_A,https://www.google.com/maps/place/?q=place_id:ChIJb6XxeJJ78jkRJXlCzI8O9_A,part_397,2026-09-20 20:19:09,3459
National Flex Printing,Flex and Banner Printing,Digital printing service,Digital printing service,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.3,18.0,"Mohiuddinagar - Harail - Bindgama Rd, Mohiuddinagar, Bihar 848501",847409,25.5705436,85.6727535,ChIJXURCQ7p_8jkRkxU83BJNkFw,https://www.google.com/maps/place/?q=place_id:ChIJXURCQ7p_8jkRkxU83BJNkFw,part_397,2026-09-20 20:19:09,3460
Star Flex Printers,Flex and Banner Printing,Digital printing service,Digital printing service,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95074 04994,N/A,3.2,57.0,"Madhubani, Bihar 847211",847409,26.3510641,86.07057259999999,ChIJpZOoHznN7TkRzZRhLHfX44I,https://www.google.com/maps/place/?q=place_id:ChIJpZOoHznN7TkRzZRhLHfX44I,part_397,2026-09-20 20:19:09,3461
City Graphics (Rustam),Flex and Banner Printing,Advertising agency,Advertising agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95253 78583,N/A,4.9,65.0,"Shivdhara, near jama Masjid, Sundarpur, Darbhanga, Bihar 846004",Sundarpur,26.1777969,85.8788442,ChIJ8wxk92C57TkRtXPVCccyrVs,https://www.google.com/maps/place/?q=place_id:ChIJ8wxk92C57TkRtXPVCccyrVs,part_397,2026-09-20 20:19:09,3462
Maa HD Flex Printing,Flex and Banner Printing,Advertising agency,Advertising agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 78700 96404,https://www.facebook.com/dhirajsabkadost220?mibextid=ZbWKwL,4.9,186.0,"Road, near st stephen's school, Gospur, Dalsingsarai, Bihar 848114",847409,25.6740295,85.8479739,ChIJW6XvhX6J7TkRX_VfNk7dScI,https://www.google.com/maps/place/?q=place_id:ChIJW6XvhX6J7TkRX_VfNk7dScI,part_397,2026-09-20 20:19:09,3463
Maa Ambe Digital Flex Printing & Press,Flex and Banner Printing,Digital printing service,Digital printing service,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 70502 05820,N/A,4.8,15.0,"Ward No-11, Badi Durga Sthan, opposite Badi Durga Mandir, Rosera, Bihar 848210",847409,25.756651299999998,86.0234285,ChIJ59W2-6Dx7TkRSLb94duDBcg,https://www.google.com/maps/place/?q=place_id:ChIJ59W2-6Dx7TkRSLb94duDBcg,part_397,2026-09-20 20:19:09,3464
Nikhil Printers,Flex and Banner Printing,Banner store,"Banner store, Advertising agency, Print shop, Branding agency, Digital printing service, Offset Printer, Screen printer, 3D printing service",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91553 74789,N/A,4.4,72.0,"Bhatiyarisarai, Naka 5 Road, Donar, Bihar 846004",Donar,26.1451544,85.90271129999999,ChIJExwX-ka47TkRwhxXrtrEVrs,https://www.google.com/maps/place/?q=place_id:ChIJExwX-ka47TkRwhxXrtrEVrs,part_397,2026-09-20 20:19:09,3465
Patna flex printing,Flex and Banner Printing,Print shop,"Print shop, Acrylic Dealer, Offset Printer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.9,41.0,"Kalyani Complex, Badi path, Dariyapur Gola, Langar Toli, Chauraha, Dujra Diara, Patna, Bihar 800004","Dariyapur Gola, Langar Toli, Chauraha, Dujra Diara",25.615947,85.1583601,ChIJIbteWABZ7TkRDwtrpGBXPuc,https://www.google.com/maps/place/?q=place_id:ChIJIbteWABZ7TkRDwtrpGBXPuc,part_397,2026-09-20 20:19:09,3466
