business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
HHRS INDIA,HR Planning and Recruitment,BPO Placement Agency,BPO Placement Agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.8,,"49P8+88H, Soda Godam Rd, Brahmapura, Muzaffarpur, Brahmpura, Bihar 842003",Brahmapura,26.135807999999997,85.3658689,ChIJ16mQH4sR7TkR9aMTrri02Lc,https://www.google.com/maps/place/?q=place_id:ChIJ16mQH4sR7TkR9aMTrri02Lc,part_397,2026-09-20 20:19:12,3845
The HR INDIA Company,HR Planning and Recruitment,Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,,"83VJ+XX4, New Colony, Lakshmi Nagar Colony, Madhubani, Bihar 847211","New Colony, Lakshmi Nagar Colony",26.3448972,86.0824667,ChIJFU2dBwDN7TkRa0XAqb1pyAI,https://www.google.com/maps/place/?q=place_id:ChIJFU2dBwDN7TkRa0XAqb1pyAI,part_397,2026-09-20 20:19:12,3846
Rupesh Suvidha Kendra,HR Planning and Recruitment,Employment consultant,Employment consultant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82713 81875,https://rupesh-suvidha-kendra.grexa.site/,4.9,,"Ward no. 8, Pursolia, Bihar 847226",847409,26.510163199999997,86.0699107,ChIJ0U5DM7kx7DkRqDx_TxYajmQ,https://www.google.com/maps/place/?q=place_id:ChIJ0U5DM7kx7DkRqDx_TxYajmQ,part_397,2026-09-20 20:19:12,3847
Creatick Consulting And HR Solutions Private Limited,HR Planning and Recruitment,Business management consultant,"Business management consultant, Corporate office",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 6276 296 149,N/A,1.0,,"Bhouwara Kotwali Chowk 26, Agarwal Tola, Bihar 847212",Bhavara,26.331894899999998,86.06958159999999,ChIJofdoeAXN7TkRPyWYkWcMB48,https://www.google.com/maps/place/?q=place_id:ChIJofdoeAXN7TkRPyWYkWcMB48,part_397,2026-09-20 20:19:12,3848
HRDC Professional,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Service establishment",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 86778 86779,https://hrdc-solutions.ueniweb.com/,5.0,,"HRDC Professional, 847409, India",847409,21.0680074,82.7525294,ChIJy72gjt178jkRN8dP_5-m-Nk,https://www.google.com/maps/place/?q=place_id:ChIJy72gjt178jkRN8dP_5-m-Nk,part_397,2026-09-20 20:19:12,3849
JOB PLANNER,HR Planning and Recruitment,Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 79090 85301,N/A,5.0,,"Shivaji Nagar, Basant, Ganj, Darbhanga, Bihar 846004","Shivaji Nagar, Basant, Ganj",26.1517414,85.8886737,ChIJd5164dq57TkRQVWFaneIC24,https://www.google.com/maps/place/?q=place_id:ChIJd5164dq57TkRQVWFaneIC24,part_397,2026-09-20 20:19:12,3850
Agent Recruitment and Training Center,HR Planning and Recruitment,Insurance agency,Insurance agency,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.9,,"College Road, near J.N, ward 3, Lakho Binda Campus, Madhubani, Bihar 847211","ward 3, Lakho Binda Campus",26.3614741,86.0722006,ChIJybG2lTXN7TkR2fU5U-hZfYQ,https://www.google.com/maps/place/?q=place_id:ChIJybG2lTXN7TkR2fU5U-hZfYQ,part_397,2026-09-20 20:19:12,3851
Third Eye Career Consultant and motivator.,HR Planning and Recruitment,Career guidance service,"Career guidance service, Business development service, Business management consultant, Financial consultant, Marketing consultant, Private Tutor",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88779 27793,N/A,4.8,,"Nand nagar, Chakadah, Madhubani, Bihar 847236",Nand nagar,26.3376822,86.0807166,ChIJD3gtKB_N7TkRpyUiu4S_-jY,https://www.google.com/maps/place/?q=place_id:ChIJD3gtKB_N7TkRpyUiu4S_-jY,part_397,2026-09-20 20:19:12,3852
JS SKILLS PVT. LTD.,HR Planning and Recruitment,Educational consultant,Educational consultant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,http://www.jsskillsesds.blogspot.com/,4.9,,"Rampatti - Babubarhi Rd, Madhubani, Kaithahi, Bihar 847236",847409,26.3349914,86.1494622,ChIJ-5mupnnT7TkREruLwQWtDss,https://www.google.com/maps/place/?q=place_id:ChIJ-5mupnnT7TkREruLwQWtDss,part_397,2026-09-20 20:19:12,3853
Employment provider,HR Planning and Recruitment,Employment center,Employment center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,,"38M9+PFP, Kanhauli - Andar Rd, Gaighat, Bihar 841231",847409,26.084346699999998,84.318715,ChIJLTZQxRf3kjkRa2Oj939DEA4,https://www.google.com/maps/place/?q=place_id:ChIJLTZQxRf3kjkRa2Oj939DEA4,part_397,2026-09-20 20:19:12,3854
