business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sonu Ice cream Shop,Ice Cream Parlour,Ice cream shop,Ice cream shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.8,,"Purani Bazar Rd, Pathrahi, Bihar 847227",847409,26.4972899,86.38105759999999,ChIJy2QHfLSF7jkR9imdxnlvajQ,https://www.google.com/maps/place/?q=place_id:ChIJy2QHfLSF7jkR9imdxnlvajQ,part_397,2026-09-20 20:18:48,635
Chunu ice Cream mahadewa chok,Ice Cream Parlour,Ice cream shop,Ice cream shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,,"9HG7+XX, Sakhua, Bihar 847108",847409,26.3774806,86.56492709999999,ChIJY8f4FABh7jkRU_3GqEL11pM,https://www.google.com/maps/place/?q=place_id:ChIJY8f4FABh7jkRU_3GqEL11pM,part_397,2026-09-20 20:18:48,636
ANKIT TRADES,Ice Cream Parlour,Ice cream shop,Ice cream shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 1800 258 3333,http://www.amul.com/,4.1,,"Ward No 8, Hatia Rd, Jhallipatti, Nirmali, Bihar 847452",Jhallipatti,26.307969699999997,86.57405059999999,ChIJRaqjn5hg7jkRloncKxR6_cw,https://www.google.com/maps/place/?q=place_id:ChIJRaqjn5hg7jkRloncKxR6_cw,part_397,2026-09-20 20:18:48,637
Chunmun icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,,,"9G9W+VMF, Sardar Patel Marg, Mahdewa, Sakhua, Bihar 847108",847409,26.3696764,86.54668219999999,ChIJeRyJbwBh7jkRVkgLHD02J_M,https://www.google.com/maps/place/?q=place_id:ChIJeRyJbwBh7jkRVkgLHD02J_M,part_397,2026-09-20 20:18:48,638
UMDA TRADING,Ice Cream Parlour,Chocolate shop,Chocolate shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88736 40366,N/A,4.7,,"Sipahi chauk, near Petrol Pump, Ward Number 12, Nirmali, Bihar 847452",Ward Number 12,26.300687099999998,86.5754765,ChIJaVLlzaNg7jkRyYg40GWeA2A,https://www.google.com/maps/place/?q=place_id:ChIJaVLlzaNg7jkRyYg40GWeA2A,part_397,2026-09-20 20:18:48,639
R K Dairy,Ice Cream Parlour,Dessert shop,"Dessert shop, Dairy",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88774 42344,N/A,4.2,,"Village- Bishanpur Post- Baika-Bishanpur Block, Ghoghardiha, Bihar 847402",847409,26.3313855,86.3992961,ChIJtQOTxXt97jkRH37YcAtOX-4,https://www.google.com/maps/place/?q=place_id:ChIJtQOTxXt97jkRH37YcAtOX-4,part_397,2026-09-20 20:18:48,640
Balaji Icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 89556 34639,N/A,,,"Ward No. 09, Ghoghardiha, Nirmali, Bihar 847452",847409,26.3048821,86.57503299999999,ChIJw8ngqPFh7jkRKI6OLL4HCCU,https://www.google.com/maps/place/?q=place_id:ChIJw8ngqPFh7jkRKI6OLL4HCCU,part_397,2026-09-20 20:18:48,641
ALONE,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95087 30251,N/A,,,"Painta, Mahathaur Khurd, Bihar 847409",847409,26.387829,86.4693235,ChIJw0Dqkj-J7jkRHST4kGQCPDg,https://www.google.com/maps/place/?q=place_id:ChIJw0Dqkj-J7jkRHST4kGQCPDg,part_397,2026-09-20 20:18:48,642
CREAMBELL SHOPPE (Ice cream & Cake),Ice Cream Parlour,Ice cream shop,"Ice cream shop, Bakery and Cake Shop",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88269 79377,N/A,4.6,51.0,"INFRONT OF SHEKHAR CINEMA HALL, near santoshi mandir, Shanti Nagar, Siwan, Bihar 841227",Shanti Nagar,26.2168223,84.356878,ChIJR4I7KCH7kjkRl7dLaKsqrR0,https://www.google.com/maps/place/?q=place_id:ChIJR4I7KCH7kjkRl7dLaKsqrR0,part_397,2026-09-20 20:18:48,643
Spicy roll house,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.9,7.0,"Unnamed Road, Az Rakbe Sudai, Bihar 847403",847409,26.2839931,86.396695,ChIJzQ2Nsil97jkRMmxp4fkstFo,https://www.google.com/maps/place/?q=place_id:ChIJzQ2Nsil97jkRMmxp4fkstFo,part_397,2026-09-20 20:18:49,644
