business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
नेहा रेडिमेड एवं वस्त्रालय,Kids Wear Store,Clothing store,Clothing store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,https://youtube.com/channel/UCKWyQYbBvunGn1EDtLhFVbg,3.3,,"Narhiya South, Bihar 847108",847409,26.362319199999998,86.5290155,ChIJhddr4mhh7jkRXepaUQZTUEQ,https://www.google.com/maps/place/?q=place_id:ChIJhddr4mhh7jkRXepaUQZTUEQ,part_397,2026-09-20 20:18:49,780
Manyavar,Kids Wear Store,Men's clothing store,"Men's clothing store, Clothing store, Designer Clothing Store, Clothing Accessories Store, Wedding store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80 3700 2426,https://www.manyavar.com/en-in/store-india/bihar/madhubani/manyavar-shankar-chowk-VFPLMMTM,4.7,,"Ward No 10, Ground & 1st Floor, Shankar Chowk, Ward No.6, Madhubani, Bihar 847213",Ward No.6,26.3567969,86.0714502,ChIJwfsK5b_N7TkR9XwPUOlQLMo,https://www.google.com/maps/place/?q=place_id:ChIJwfsK5b_N7TkR9XwPUOlQLMo,part_397,2026-09-20 20:18:49,781
Bhaijee Kumar Mahto,Kids Wear Store,Baby store,Baby store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 81020 19295,N/A,,,"Bhaijee Mahto BhIjeemahto, Bihar 847409",847409,26.400269599999998,86.4726657,ChIJ6UXysQaJ7jkRkV8h7wdn5R0,https://www.google.com/maps/place/?q=place_id:ChIJ6UXysQaJ7jkRkV8h7wdn5R0,part_397,2026-09-20 20:18:49,782
DREAM DIAMOND,Kids Wear Store,Clothing store,Clothing store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82940 75748,N/A,5.0,,"Post Office, SISWAR KALAPATTI Opposit, Siswar, Bihar 847409",847409,26.4229147,86.45885439999999,ChIJXYDDOAiJ7jkR63LFZFfh5l8,https://www.google.com/maps/place/?q=place_id:ChIJXYDDOAiJ7jkR63LFZFfh5l8,part_397,2026-09-20 20:18:49,783
Sharvan,Kids Wear Store,Baby store,Baby store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 77810 20841,N/A,,,"Unnamed Road, Kala Patti, Gatipatti, Bihar 847409",847409,26.3847912,86.4283789,ChIJc4fLoX2J7jkR6XL97b9GBHk,https://www.google.com/maps/place/?q=place_id:ChIJc4fLoX2J7jkR6XL97b9GBHk,part_397,2026-09-20 20:18:49,784
RUCHI DRESESS,Kids Wear Store,Clothing store,Clothing store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99340 53636,N/A,4.5,,"8H5G+25F, Station Rd, Nirmali, Bihar 847452",847409,26.307558,86.5754286,ChIJe2hc_6Fg7jkRq2nIhvHJJ7w,https://www.google.com/maps/place/?q=place_id:ChIJe2hc_6Fg7jkRq2nIhvHJJ7w,part_397,2026-09-20 20:18:49,785
AJESH SABJEE SHOP,Kids Wear Store,Baby store,Baby store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 72960 15721,N/A,,,"Shop No 02, Jharbha Barhara Rod Wad 08 Near By Dandir, opposite Mandir, Bihar 847452",Jhallipatti,26.311072,86.5738861,ChIJjb1nG4Jh7jkRh5rhiNMe6LM,https://www.google.com/maps/place/?q=place_id:ChIJjb1nG4Jh7jkRh5rhiNMe6LM,part_397,2026-09-20 20:18:49,786
WELCOME VASTRALAY,Kids Wear Store,Clothing store,Clothing store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91628 20727,N/A,4.7,,"JHAHURI CHOWK, 847108, Laukahi, Bihar 847108",847409,26.470039999999997,86.5596329,ChIJVVVVVZ6M7jkRhbzvX4gHp1Y,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVZ6M7jkRhbzvX4gHp1Y,part_397,2026-09-20 20:18:50,787
Krishna garment,Kids Wear Store,Clothing store,Clothing store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.0,,"Men Road, Ratnasara, Chhajna, Bihar 847108",847409,26.313062499999997,86.5396875,ChIJx0QGoQZh7jkRdFSc8FbpIKg,https://www.google.com/maps/place/?q=place_id:ChIJx0QGoQZh7jkRdFSc8FbpIKg,part_397,2026-09-20 20:18:50,788
Sonali Garments,Kids Wear Store,Clothing store,Clothing store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 90060 23445,N/A,1.0,,"Line Hotel Chowk, Nirmali - Ghoghardiha Rd, near Ara Machine, Nirmali, Bangama South, Bihar 847452",847409,26.3061573,86.5636894,ChIJ26CQP9xh7jkRA-S624tCVPc,https://www.google.com/maps/place/?q=place_id:ChIJ26CQP9xh7jkRA-S624tCVPc,part_397,2026-09-20 20:18:50,789
"Tohfa Wholesale - Kids, Ladies & Mens Wear",Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Clothing wholesaler, Clothing manufacturer, Clothing supplier, Clothing wholesale market place, Men's clothing store, Saree Shop, Wholesaler, Women's clothing store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 98527 22566,http://www.tohfawholesale.com/,4.0,,"3rd floor, Thakurbari Rd, above Bharati Bhawan, near Bank of Baroda, Salimpur Ahra, Kadamkuan, Patna, Bihar 800003","Salimpur Ahra, Kadamkuan",25.6130709,85.1513361,ChIJf6736vZY7TkRHtvy8oypMBs,https://www.google.com/maps/place/?q=place_id:ChIJf6736vZY7TkRHtvy8oypMBs,part_397,2026-09-20 20:18:51,790
Mahamaya Garments,Kids Wear Store,Clothing store,"Clothing store, Baby clothing store, Women's clothing store",847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 75683 88502,N/A,5.0,3.0,"777G+HQ3, Unnamed Road, Jhanjharpur, Bihar 847404",847410,26.2638446,86.2769682,ChIJBX6qDnR57jkR8OY8rVzjYU4,https://www.google.com/maps/place/?q=place_id:ChIJBX6qDnR57jkR8OY8rVzjYU4,part_397,2026-09-20 20:19:24,5239
Vip Store,Kids Wear Store,Baby store,"Baby store, Clothing store",847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 75496 31404,N/A,5.0,1.0,"Loufa Bela Loufa Bela, Bihar 847403",847410,26.1980045,86.34024749999999,ChIJ4y22HN577jkRUW0qj2U41SI,https://www.google.com/maps/place/?q=place_id:ChIJ4y22HN577jkRUW0qj2U41SI,part_397,2026-09-20 20:19:24,5240
Ramkumar Mandal,Kids Wear Store,Baby store,Baby store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",N/A,N/A,5.0,1.0,"Behatutari, Jhanjharpur, Bihar 847404",Behatutari,26.2472127,86.2754044,ChIJF8x5KHF57jkRItRQFXIXO0o,https://www.google.com/maps/place/?q=place_id:ChIJF8x5KHF57jkRItRQFXIXO0o,part_397,2026-09-20 20:19:24,5241
SHREE NISHA ENTERPRISES,Kids Wear Store,Clothing store,Clothing store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 99311 33428,N/A,5.0,1.0,"Ward.no. 9, Gandhi Chowk, Madhepur, Bihar 847408",847410,26.1764321,86.381408,ChIJQ_RMoJNx7jkRauM4uJJMs8g,https://www.google.com/maps/place/?q=place_id:ChIJQ_RMoJNx7jkRauM4uJJMs8g,part_397,2026-09-20 20:19:24,5242
Gupta sports & readymade,Kids Wear Store,Sportswear store,Sportswear store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 78084 14034,N/A,4.8,21.0,"near old post chowck, Jhanjharpur, Bihar 847404",847410,26.2642466,86.27695369999999,ChIJeXbVwdF57jkRsWlqsVHN4lo,https://www.google.com/maps/place/?q=place_id:ChIJeXbVwdF57jkRsWlqsVHN4lo,part_397,2026-09-20 20:19:24,5243
Madhepur new bus stand bhata rood,Kids Wear Store,Baby store,Baby store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",N/A,N/A,5.0,1.0,"59CG+JRM, Bihar 847408",847410,26.1717685,86.37703979999999,ChIJA8QamnZx7jkREN2yK0lzxQ4,https://www.google.com/maps/place/?q=place_id:ChIJA8QamnZx7jkREN2yK0lzxQ4,part_397,2026-09-20 20:19:24,5244
Sanjay Palet Hose,Kids Wear Store,Baby store,Baby store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 97087 78840,N/A,5.0,1.0,"Wad Nu 13, Ghandi Chok, Rahua Sangram, Bihar 847408",847410,26.179332,86.37987249999999,ChIJWSlhULFx7jkRez5KSXpEo5o,https://www.google.com/maps/place/?q=place_id:ChIJWSlhULFx7jkRez5KSXpEo5o,part_397,2026-09-20 20:19:24,5245
Children's Corner,Kids Wear Store,Children's clothing store,Children's clothing store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 87970 29455,N/A,4.4,19.0,"23, Bari Path, Hathwa Market, Bakarganj, Patna, Bihar 800004","Hathwa Market, Bakarganj",25.615257999999997,85.1523526,ChIJIT2vHfdY7TkRkuzP84kQf7g,https://www.google.com/maps/place/?q=place_id:ChIJIT2vHfdY7TkRkuzP84kQf7g,part_397,2026-09-20 20:19:25,5246
MITHILA FASHION BAZAAR,Kids Wear Store,Clothing store,Clothing store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 82103 88244,https://www.instagram.com/mithilafashionbazaar?igsh=MXF2MnhnZnl1aHhidw==,5.0,1.0,"near Bank of Baroda, Rahika, Bihar 847238",847410,26.379334,86.0196442,ChIJcZ9jTQAz7DkR1f0WjytIvSw,https://www.google.com/maps/place/?q=place_id:ChIJcZ9jTQAz7DkR1f0WjytIvSw,part_397,2026-09-20 20:19:25,5247
Thakurs Style Zone,Kids Wear Store,Clothing store,Clothing store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 90066 48290,N/A,5.0,,"01, Madhepur, Bihar 847408",847410,26.174768099999998,86.3799142,ChIJR0A_XzRx7jkRMA6Gaxnb3-U,https://www.google.com/maps/place/?q=place_id:ChIJR0A_XzRx7jkRMA6Gaxnb3-U,part_397,2026-09-20 20:19:26,5248
Laxmi General Store,Kids Wear Store,Baby store,Baby store,847411,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Rudrapur SO Madhubani, Barsam BO, Dumra BO",+91 62060 52740,N/A,4.0,1.0,"Station Chowk Sisauni, Mahrail, Rudrapur, Bihar 847404",847411,26.2880491,86.2802495,ChIJAz45uqV_7jkRLqCYSBdWA_o,https://www.google.com/maps/place/?q=place_id:ChIJAz45uqV_7jkRLqCYSBdWA_o,part_397,2026-09-20 20:20:01,8392
Bablu,Kids Wear Store,Baby store,Baby store,847411,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Rudrapur SO Madhubani, Barsam BO, Dumra BO",+91 97097 02296,N/A,5.0,1.0,"Madhepur - Tamuria - Andhrathari Rd, Andhratharhi (N), Bihar 847401",847411,26.3656854,86.3304209,ChIJEVBkxwl_7jkR5uuC6Cvs5nI,https://www.google.com/maps/place/?q=place_id:ChIJEVBkxwl_7jkR5uuC6Cvs5nI,part_397,2026-09-20 20:20:01,8393
Sumit stationary,Kids Wear Store,Baby store,Baby store,847411,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Rudrapur SO Madhubani, Barsam BO, Dumra BO",N/A,N/A,,,"Durga Mandir, Road, Vill, Ramkhetari, Bihar 847404",Vill,26.3044521,86.2581082,ChIJReYzuBR_7jkRKxgIAuXhPTo,https://www.google.com/maps/place/?q=place_id:ChIJReYzuBR_7jkRKxgIAuXhPTo,part_397,2026-09-20 20:20:01,8394
Shiv Kumar Yadav,Kids Wear Store,Baby store,Baby store,847411,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Rudrapur SO Madhubani, Barsam BO, Dumra BO",+91 70047 25339,N/A,3.7,3.0,"Hari, Bihar 847411",847411,26.327147999999998,86.32641199999999,ChIJAcdJdFh_7jkRrLSWqIlad4o,https://www.google.com/maps/place/?q=place_id:ChIJAcdJdFh_7jkRrLSWqIlad4o,part_397,2026-09-20 20:20:01,8395
Chulhai General Store,Kids Wear Store,Baby store,Baby store,847411,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Rudrapur SO Madhubani, Barsam BO, Dumra BO",+91 79706 92872,N/A,,,"Ward 02, Sitapatti Road, Laksena, Madhubani, Bihar 847412",847411,26.346523599999998,86.3654703,ChIJPyfnSkh97jkRVHjY-l2XsFI,https://www.google.com/maps/place/?q=place_id:ChIJPyfnSkh97jkRVHjY-l2XsFI,part_397,2026-09-20 20:20:01,8396
Jaynti Kumari,Kids Wear Store,Baby store,Baby store,847411,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Rudrapur SO Madhubani, Barsam BO, Dumra BO",+91 82942 65124,N/A,,,"Ward 001 Kharaua Jhanjharpur, Bihar 847109",847411,26.2946065,86.3584272,ChIJqzZxrVJ97jkRD5-9ZZ5IyEY,https://www.google.com/maps/place/?q=place_id:ChIJqzZxrVJ97jkRD5-9ZZ5IyEY,part_397,2026-09-20 20:20:01,8397
