business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Madhubani Agro Pvt. Ltd.,Rice and Grain Merchant,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.6,9.0,"6476+8H6, Madhubani, Bihar 847239",847409,26.2132808,86.1113843,ChIJ0xJZ1DnQ7TkRss9WKm7jaUA,https://www.google.com/maps/place/?q=place_id:ChIJ0xJZ1DnQ7TkRss9WKm7jaUA,part_397,2026-09-20 20:18:44,165
RAMADHIN RICE MILL AND AGRO PVT LTD,Rice and Grain Merchant,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 76320 61083,http://ramadhin.lovable.app/,3.9,10.0,"MAIN KHOPA ROAD, ANDHARATHARDHI, Jamaila, Bihar 847401",ANDHARATHARDHI,26.3720581,86.3503102,ChIJ3wv2rjyB7jkRooDXlIb4WhE,https://www.google.com/maps/place/?q=place_id:ChIJ3wv2rjyB7jkRooDXlIb4WhE,part_397,2026-09-20 20:18:44,166
MITHILA CHURA MILL(JHAJI CHURA MILL),Rice and Grain Merchant,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99559 27250,N/A,4.4,16.0,"F9XW+243, Khutauna, Bihar 847227",847409,26.497504499999998,86.39528609999999,ChIJf7VNm76F7jkRYUjNIH-9-dw,https://www.google.com/maps/place/?q=place_id:ChIJf7VNm76F7jkRYUjNIH-9-dw,part_397,2026-09-20 20:18:44,167
Active Fresh Katarni Chura & Rice,Rice and Grain Merchant,Rice mill,"Rice mill, Manufacturer",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 78700 07965,N/A,4.8,34.0,"Aliganj Ambabag, Bai Lane, Bhagalpur, Bihar 812001",Shivpuri,25.23717,86.9793672,ChIJOelh2-NL8DkR-AqLrimjGhY,https://www.google.com/maps/place/?q=place_id:ChIJOelh2-NL8DkR-AqLrimjGhY,part_397,2026-09-20 20:18:44,168
Kochas Power Pvt. Ltd.,Rice and Grain Merchant,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 74929 49494,N/A,4.5,25.0,"CCJG+VXW, Tenduni, road, Kakila, Bihar 802158",847409,25.432237699999998,84.4274382,ChIJ3wshDTp7jTkRhwR4jGQVN4w,https://www.google.com/maps/place/?q=place_id:ChIJ3wshDTp7jTkRhwR4jGQVN4w,part_397,2026-09-20 20:18:44,169
Jyoti Modern Rice Industries Pvt. Ltd.,Rice and Grain Merchant,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.5,18.0,"QGPR+VR3, hansda city road gulabbagh, Purnia, Bihar 854326",847409,25.7871463,87.5420578,ChIJA4c2sJ9X5TkRZT9RVy-Ddhw,https://www.google.com/maps/place/?q=place_id:ChIJA4c2sJ9X5TkRZT9RVy-Ddhw,part_397,2026-09-20 20:18:44,170
Makdampur rice and chura Mill,Rice and Grain Merchant,Shopping mall,Shopping mall,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.3,21.0,"PRCP+5JR, Konaila, Bihar 848114",847409,25.7204807,85.8365206,ChIJg1C3UgeP7TkReHDvgRmzi9M,https://www.google.com/maps/place/?q=place_id:ChIJg1C3UgeP7TkReHDvgRmzi9M,part_397,2026-09-20 20:18:44,171
Ujala Bangles,Rice and Grain Merchant,General store,"General store, Shopping mall",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80947 76316,https://ujala-bangles.grexa.site/,4.6,12.0,"Basaith Bazaar High School Ke Pass Madhubani Bi, Bihar 847102",847409,26.422055099999998,85.8226298,ChIJ25IRc0RM7DkRQLDFc8qDsBI,https://www.google.com/maps/place/?q=place_id:ChIJ25IRc0RM7DkRQLDFc8qDsBI,part_397,2026-09-20 20:18:44,172
HARGOVIND SEEDS and company,Rice and Grain Merchant,Agricultural Seed Store,Agricultural Seed Store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94707 38856,N/A,,,"Jila Parishad Gate, Bhoop Narayan Singh Colony, Madhubani, Bihar 847211",Bhoop Narayan Singh Colony,26.344734,86.0728908,ChIJkWl6D1PN7TkRmExd97y-vZA,https://www.google.com/maps/place/?q=place_id:ChIJkWl6D1PN7TkRmExd97y-vZA,part_397,2026-09-20 20:18:44,173
Shankar Kirana Traders,Rice and Grain Merchant,Grocery store,"Grocery store, Store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 78703 30436,N/A,3.1,8.0,"9329+9VV, Lohapatti Rd, Gileshan Bazzar, Gileshan, Gillation Market Campus, Madhubani, Bihar 847211","Gileshan Bazzar, Gileshan, Gillation Market Campus",26.350929999999998,86.070224,ChIJhx-VxdrN7TkRuXNJHxFdEyY,https://www.google.com/maps/place/?q=place_id:ChIJhx-VxdrN7TkRuXNJHxFdEyY,part_397,2026-09-20 20:18:44,174
