business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Riya Rice mill phulparas,Rice Mill and Agro Processing,Manufacturer,Manufacturer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95556 22065,N/A,4.9,7.0,"9G75+X6, Mahathaur Khurd, Bihar 847409",847409,26.3649111,86.5080847,ChIJ3Wo_YMlh7jkR8Tkhl1IeXgI,https://www.google.com/maps/place/?q=place_id:ChIJ3Wo_YMlh7jkR8Tkhl1IeXgI,part_397,2026-09-20 20:19:14,4235
Maa tara agro foods Pvt ltd,Rice Mill and Agro Processing,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 92885 63084,N/A,4.6,8.0,"Harkaina, Suraha, Motihari, Bihar 845401",Harkaina,26.6843973,84.934235,ChIJy1n6wKLL7DkROFC3-RDw61s,https://www.google.com/maps/place/?q=place_id:ChIJy1n6wKLL7DkROFC3-RDw61s,part_397,2026-09-20 20:19:14,4236
ALOLA,Rice Mill and Agro Processing,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 62991 59901,N/A,4.9,15.0,"Alola ghoghardiha, above Mahadev temple, Alola, Bihar 847402",847409,26.263866399999998,86.4940711,ChIJeTMCpsNj7jkRpBrDiiEsIEM,https://www.google.com/maps/place/?q=place_id:ChIJeTMCpsNj7jkRpBrDiiEsIEM,part_397,2026-09-20 20:19:14,4237
Maa Jagdamba Agro Industries -rice mill,Rice Mill and Agro Processing,Rice mill,"Rice mill, Industrial supermarket",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 79030 28534,N/A,4.0,8.0,"Koath - Piro Rd, Agiaon Bazar, Agiaon, Bihar 802202",847409,25.3345524,84.3480512,ChIJ25M3mW53jTkRB-J0MnZFxG4,https://www.google.com/maps/place/?q=place_id:ChIJ25M3mW53jTkRB-J0MnZFxG4,part_397,2026-09-20 20:19:14,4238
Rice mill ParsahiPurvi,Rice Mill and Agro Processing,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.5,2.0,"CGM7+JQ, Sonbarsa, Bihar 847108",847409,26.4340427,86.51428,ChIJKzlFWACL7jkRM2GBkIjNcYE,https://www.google.com/maps/place/?q=place_id:ChIJKzlFWACL7jkRM2GBkIjNcYE,part_397,2026-09-20 20:19:14,4239
Satbahani Agro Pvt Ltd | SAPL,Rice Mill and Agro Processing,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94314 74012,https://www.saplbharat.com/,5.0,,"Jasoiya more, growth center, Aurangabad, Bihar 824101",847409,24.7685046,84.3531842,ChIJWZz67Fv_jDkRLWZloGivug0,https://www.google.com/maps/place/?q=place_id:ChIJWZz67Fv_jDkRLWZloGivug0,part_397,2026-09-20 20:19:14,4240
Ramadhin rice mill and agro pvt ltd,Rice Mill and Agro Processing,Manufacturer,Manufacturer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,,,"99C2+R57 Tatari, Andhratharhi (N), Jamaila, Bihar 847401",847409,26.372049399999998,86.3504134,ChIJcaPQ_bd97jkRSJi-wvLuOjY,https://www.google.com/maps/place/?q=place_id:ChIJcaPQ_bd97jkRSJi-wvLuOjY,part_397,2026-09-20 20:19:14,4241
Diku Rice Mil,Rice Mill and Agro Processing,Shopping mall,Shopping mall,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,1.0,,"FCVV+PXM, Madhopur, Bihar 847421",847409,26.4943402,86.4449368,ChIJ29QkzsOP7jkRQhyOfBNgvEI,https://www.google.com/maps/place/?q=place_id:ChIJ29QkzsOP7jkRQhyOfBNgvEI,part_397,2026-09-20 20:19:14,4242
K.B.A. Agrotech Private Limited,Rice Mill and Agro Processing,Rice mill,Rice mill,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 90515 13232,N/A,3.4,20.0,"mohammad chak, Jagadishpur, Bihar 813105",847409,25.1058426,86.9851697,ChIJU82Rl35O8DkRlKyA-NqU8cQ,https://www.google.com/maps/place/?q=place_id:ChIJU82Rl35O8DkRlKyA-NqU8cQ,part_397,2026-09-20 20:19:15,4243
Maa Rice Mill,Rice Mill and Agro Processing,Manufacturer,Manufacturer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94718 07050,N/A,5.0,5.0,"RRFX+GX5, Kuchah, Bihar 841311",847409,25.823774,84.84998329999999,ChIJpYRxXGSxkjkRZZDRM7Dqd48,https://www.google.com/maps/place/?q=place_id:ChIJpYRxXGSxkjkRZZDRM7Dqd48,part_397,2026-09-20 20:19:15,4244
