business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pooja Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.3,7.0,"behind The NH57, Narhiya South, Bihar 847108",847409,26.3652865,86.53127649999999,ChIJzeSC3c9h7jkR40OoJ9Q4X4g,https://www.google.com/maps/place/?q=place_id:ChIJzeSC3c9h7jkR40OoJ9Q4X4g,part_397,2026-09-20 20:19:04,2822
KHUSI ENTERPRISES &TENT HOUSE,Tent House and Shamiana,Business center,"Business center, Tent House Supplier",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 98995 08680,N/A,5.0,2.0,"Brahman Tola Rd, Phulparas, Bihar 847409",847409,26.35598,86.4935512,ChIJEyn5piBj7jkRXnkgYsmHBrk,https://www.google.com/maps/place/?q=place_id:ChIJEyn5piBj7jkRXnkgYsmHBrk,part_397,2026-09-20 20:19:04,2823
Maa Anpurna Bartan And Bandhan Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95252 58425,N/A,5.0,2.0,"Block Rd, Shastri Chowk, Khutauna, Bihar 847227",Shastri Chowk,26.508569299999998,86.3990243,ChIJyXPro5iF7jkRveCFv1Ita00,https://www.google.com/maps/place/?q=place_id:ChIJyXPro5iF7jkRveCFv1Ita00,part_397,2026-09-20 20:19:04,2824
Karn Tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,1.0,"CF66+MM, Gangdhara, Bihar 847409",847409,26.4115887,86.4618193,ChIJXc2aSQCJ7jkRacJTOKOrdz4,https://www.google.com/maps/place/?q=place_id:ChIJXc2aSQCJ7jkRacJTOKOrdz4,part_397,2026-09-20 20:19:04,2825
Anil Tent House Tamuria,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,1.0,"Tamuria, Bihar 847410",847409,26.2511333,86.3564629,ChIJx275Typ77jkR_LSMfZ0ycZs,https://www.google.com/maps/place/?q=place_id:ChIJx275Typ77jkR_LSMfZ0ycZs,part_397,2026-09-20 20:19:04,2826
Mithila Tent Agency,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.8,4.0,"Araria, Sangram, Jhanjharpur, Bihar 847411",847409,26.3078678,86.3457865,ChIJL-ovMQB97jkRHh-Aa9YpOyU,https://www.google.com/maps/place/?q=place_id:ChIJL-ovMQB97jkRHh-Aa9YpOyU,part_397,2026-09-20 20:19:04,2827
Gopal Tent House & Dj sound,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,13.0,"Rakhbari, Shiva, Bihar 847401",847409,26.3661548,86.2670835,ChIJN9JBfzF_7jkRtf8K19CzgYo,https://www.google.com/maps/place/?q=place_id:ChIJN9JBfzF_7jkRtf8K19CzgYo,part_397,2026-09-20 20:19:04,2828
Aman Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,4.0,"behind Durga Mandir Chowk, Silanath Dulipatti, Jainagar, Bihar 847226",847409,26.5606182,86.10665829999999,ChIJAWqNEAAl7DkRLyXi9ECoDLM,https://www.google.com/maps/place/?q=place_id:ChIJAWqNEAAl7DkRLyXi9ECoDLM,part_397,2026-09-20 20:19:04,2829
New Mithila tent house,Tent House and Shamiana,Wholesaler,Wholesaler,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,2.0,"J84J+HCX, Lachhminia, Bihar 847232",847409,26.606484599999998,86.331125,ChIJBTvnKwCd7jkRgPaNcg61rJs,https://www.google.com/maps/place/?q=place_id:ChIJBTvnKwCd7jkRgPaNcg61rJs,part_397,2026-09-20 20:19:04,2830
Shahi Tent House شاہی ٹینٹ ہاؤس,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,8.0,"Damla Bazaar Rd, Paschim Mohalla, Damla, Rathaus, Bihar 847304","Paschim Mohalla, Damla",26.3576217,85.868082,ChIJ8Y1OagC17TkRhRX4lJNdQbs,https://www.google.com/maps/place/?q=place_id:ChIJ8Y1OagC17TkRhRX4lJNdQbs,part_397,2026-09-20 20:19:04,2831
