business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MEAL WAY Tiffin Service,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Restaurant",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82989 82929,https://link.zomato.com/xqzv/rshare?id=7838034330563eb5,4.8,,"At Gilashan bazar, near nagarpalika school, Madhubani, Bihar 847211",847409,26.3504741,86.0693486,ChIJMQV6qn_N7TkRGEGFYFCdriY,https://www.google.com/maps/place/?q=place_id:ChIJMQV6qn_N7TkRGEGFYFCdriY,part_397,2026-09-20 20:18:46,411
Bawarchi tiffin services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91224 79934,N/A,4.9,,"5V4X+QFR near railway flyover, chowk, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1618352,85.9059511,ChIJ4WUOdQC57TkRNtJT6kkhw2g,https://www.google.com/maps/place/?q=place_id:ChIJ4WUOdQC57TkRNtJT6kkhw2g,part_397,2026-09-20 20:18:47,412
Somnik Tiffin Services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 98350 87470,N/A,4.9,,"Rajeev Nagar, Patna, Bihar 800024",Rajeev Nagar,25.6325142,85.0906167,ChIJ3bv4UmJX7TkRTmp4xL0kSOE,https://www.google.com/maps/place/?q=place_id:ChIJ3bv4UmJX7TkRTmp4xL0kSOE,part_397,2026-09-20 20:18:47,413
Mithila tiffin,Tiffin Center and Mess,Restaurant,Restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95080 59056,N/A,4.4,,"Mithila Chowk, opposite HP petrol pump, Manigachhi, Bihar 847422",847409,26.2059087,86.16041969999999,ChIJe-RBfQXR7TkR08waGS6I-ME,https://www.google.com/maps/place/?q=place_id:ChIJe-RBfQXR7TkR08waGS6I-ME,part_397,2026-09-20 20:18:47,414
Mukund Tiffin Service,Tiffin Center and Mess,Tiffin center,Tiffin center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 83403 75135,N/A,5.0,,"College Chowk, Madhepura, Bihar 852113",847409,25.928362999999997,86.795417,ChIJkSMYlqg37jkRNmHLxt_BJsE,https://www.google.com/maps/place/?q=place_id:ChIJkSMYlqg37jkRNmHLxt_BJsE,part_397,2026-09-20 20:18:47,415
Vihari Thali (Mess & Tiffin Centre),Tiffin Center and Mess,Tiffin center,Tiffin center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 89861 97002,https://viharithali.my.canva.site/,4.8,,"Ward No.05, Maharshi Mehi Nagar, behind Satsang Mandir) College Chowk, Madhepura, Bihar 852113",847409,25.9280264,86.8010907,ChIJ4UPaFAk37jkRLZkiHX0GzbM,https://www.google.com/maps/place/?q=place_id:ChIJ4UPaFAk37jkRLZkiHX0GzbM,part_397,2026-09-20 20:18:48,416
TIFFIN DARBHANGA,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 92416 73083,https://srishti-tiffin.preview.emergentagent.com/,4.9,,"Shivaji Nagar, Gullowara, Darbhanga, Bihar 846004","Shivaji Nagar, Gullowara",26.152147199999998,85.88901609999999,ChIJX7zrqdW57TkRyfV9xc05BkQ,https://www.google.com/maps/place/?q=place_id:ChIJX7zrqdW57TkRyfV9xc05BkQ,part_397,2026-09-20 20:18:48,417
PODDAR TIFFIN SERVICE,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Fast food restaurant, Tiffin center",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 93404 75624,N/A,4.5,,"PODDAR PG, PODDAR TOWER, Madhpur, Bihar 846005",847409,26.175744599999998,85.863024,ChIJ8xdDhF237TkR45zPIWlnX3A,https://www.google.com/maps/place/?q=place_id:ChIJ8xdDhF237TkR45zPIWlnX3A,part_397,2026-09-20 20:18:48,418
Laxmi Tiffin Service,Tiffin Center and Mess,Food & Beverage Exporter,Food & Beverage Exporter,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 83407 97166,N/A,4.9,,"Public School, Laxmisagar Rd, Railway Colony, Darbhanga, Bihar 846009",Railway Colony,26.1565214,85.9102984,ChIJ-fjUs9C57TkR2mUhyrOOdeM,https://www.google.com/maps/place/?q=place_id:ChIJ-fjUs9C57TkR2mUhyrOOdeM,part_397,2026-09-20 20:18:48,419
SHREE TIFFIN SERVICE,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Restaurant",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.9,,"Ward No 16, j.p chowk, 992, Shastri Nagar, Lakshmisagar, Darbhanga, Bihar 846009","Shastri Nagar, Lakshmisagar",26.152079099999998,85.90972579999999,ChIJjYkSEsW57TkRDwXHZyFwXCI,https://www.google.com/maps/place/?q=place_id:ChIJjYkSEsW57TkRDwXHZyFwXCI,part_397,2026-09-20 20:18:48,420
MAA ANNPURNA TIFFIN SERVICES,Tiffin Center and Mess,Food products supplier,"Food products supplier, Tiffin Service Provider, Dairy Products Supplier, Milk delivery service",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 70707 77709,N/A,5.0,,"THATIA, Rosera, Chakthat West, Bihar 848210",THATIA,25.7341601,86.0369312,ChIJqQq9IGvx7TkR0Xa8QoCNY-8,https://www.google.com/maps/place/?q=place_id:ChIJqQq9IGvx7TkR0Xa8QoCNY-8,part_397,2026-09-20 20:18:48,421
Riya tiffin service,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99056 66033,N/A,4.8,,"CDA Colony, North Shastri Nagar, Patna, Bihar 801103","CDA Colony, North Shastri Nagar",25.6175853,85.09322139999999,ChIJC_RDAlFX7TkRlWBTpolP87k,https://www.google.com/maps/place/?q=place_id:ChIJC_RDAlFX7TkRlWBTpolP87k,part_397,2026-09-20 20:18:48,422
Mishra Tiffin Service Munger,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99731 17080,N/A,4.9,,"Puraniganj Kumhar, Maksuspur, Munger, Bihar 811201","Puraniganj Kumhar, Maksuspur",25.360993699999998,86.47708539999999,ChIJ8-abcXrv8TkRbMfELqmNvEE,https://www.google.com/maps/place/?q=place_id:ChIJ8-abcXrv8TkRbMfELqmNvEE,part_397,2026-09-20 20:18:48,423
Homemade Tiffin Service And Mess,Tiffin Center and Mess,Restaurant,Restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,https://m.facebook.com/Homemadetiffindarbhanga,4.7,,"beside R. B Memorial Hospital Imaging Campus, Benta, Laheriasarai, Darbhanga, Bihar 846001","Benta, Laheriasarai",26.1238168,85.9061744,ChIJwd5QmVS_7TkRyY5ttXyECsU,https://www.google.com/maps/place/?q=place_id:ChIJwd5QmVS_7TkRyY5ttXyECsU,part_397,2026-09-20 20:18:48,424
Nayaka tiffin service,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.0,,"Maharaj ganj chowk madhubani maharajganj chowk, Bihar 847211",847409,26.3513411,86.0663187,ChIJ0ei1kR4R7TkRoHVlZjGnEVM,https://www.google.com/maps/place/?q=place_id:ChIJ0ei1kR4R7TkRoHVlZjGnEVM,part_397,2026-09-20 20:18:48,425
Indian Tiffin House,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,,"4VMX+X5H, Laheriasarai, Darbhanga, Bihar 846001",Laheriasarai,26.134803599999998,85.8976732,ChIJjZEBL9C57TkRzEU5g59BpBg,https://www.google.com/maps/place/?q=place_id:ChIJjZEBL9C57TkRzEU5g59BpBg,part_397,2026-09-20 20:18:48,426
