business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHIKSHA VIHAR,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Institute of technology",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80926 26764,https://www.sikshavihar.com/,4.8,126.0,"village : Bhatagama,Near 30 no railway , post: dalsinghsarai distic:, Dalsinghsarai, Bihar 848114",847409,25.657936799999998,85.8461887,ChIJySpJGX6J7TkREO3UrEQVapc,https://www.google.com/maps/place/?q=place_id:ChIJySpJGX6J7TkREO3UrEQVapc,part_397,2026-09-20 20:19:07
RISHAV IAS ACADEMY,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Civil examinations academy, Distance Learning Center, Education center, Educational consultant",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 77800 37350,https://rishavias.com/,4.9,315.0,"5VGR+4GP, Sundarpur Bapu Chowk, Bela Mod Bypass Rd, near naka no-1, Sundarpur, Darbhanga, Bihar 846004",Sundarpur,26.1753856,85.8912883,ChIJHfZeie257TkRqjtqw3YWSpE,https://www.google.com/maps/place/?q=place_id:ChIJHfZeie257TkRqjtqw3YWSpE,part_397,2026-09-20 20:19:07
Convergence classes,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80513 33033,N/A,4.7,15.0,"GANDHI CHOWK, Madhubani, Bihar 847213",GANDHI CHOWK,26.3536601,86.06833929999999,ChIJkdmDBDrN7TkRsRhlc3_xiSY,https://www.google.com/maps/place/?q=place_id:ChIJkdmDBDrN7TkRsRhlc3_xiSY,part_397,2026-09-20 20:19:07
Excellence Coaching Centre,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,33.0,"Ram Janki Chowk, Lakho Binda Campus, Madhubani, Bihar 847211",Lakho Binda Campus,26.3612498,86.0751789,ChIJGVs8aQDN7TkReLX6bArpod8,https://www.google.com/maps/place/?q=place_id:ChIJGVs8aQDN7TkReLX6bArpod8,part_397,2026-09-20 20:19:07
Career Power,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,"Banking entrance coaching centre, Coaching Center, Education center, Educational institution",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91224 96385,https://www.careerpower.in/viewCourses.html?city=Madhubani&branch=Madhubani&key=All%20Courses,3.0,4.0,"Railway Station, 2nd Floor of Devki Enclave, Town Club, Road, opposite Madhubani, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.3483129,86.0747832,ChIJFZKc12HN7TkRMkhmzM0ndWI,https://www.google.com/maps/place/?q=place_id:ChIJFZKc12HN7TkRMkhmzM0ndWI,part_397,2026-09-20 20:19:07
"S K Thakur Sir's Competitive English For Bank, SSC",Competitive Exam Coaching (UPSC/Banking),Educational institution,Educational institution,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 87099 09154,N/A,5.0,952.0,"Town Club, Station Rd, Ward No 18, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No 18, Ward No.8, Surat Ganj",26.3483129,86.0747832,ChIJHYOmcmzN7TkR7I_h_mIZC_k,https://www.google.com/maps/place/?q=place_id:ChIJHYOmcmzN7TkR7I_h_mIZC_k,part_397,2026-09-20 20:19:07
"K. M. COACHING CENTRE, Ram Janki Chowk, Madhubani",Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88628 93507,https://youtube.com/c/KMCOACHINGCENTREMADHUBANI,5.0,25.0,"Heart Hospital Rd, Ram janki chowk, Madhubani, Bihar 847211",Ram janki chowk,26.3623688,86.07649959999999,ChIJ4-DzmlPN7TkRiVIAIdFwhBc,https://www.google.com/maps/place/?q=place_id:ChIJ4-DzmlPN7TkRiVIAIdFwhBc,part_397,2026-09-20 20:19:07
"AARADHYA ACADEMY CTET, ALL TET & BPSC TEACHER CLASSES BY -NEETISH SINGH",Competitive Exam Coaching (UPSC/Banking),Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.6,11.0,"Gandhi Chowk, Stadium Rd, Madhubani, Bihar 847213",847409,26.3534048,86.06776169999999,ChIJZQCoMfDN7TkRab4EDIH9kPo,https://www.google.com/maps/place/?q=place_id:ChIJZQCoMfDN7TkRab4EDIH9kPo,part_397,2026-09-20 20:19:07
Global coaching centre,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99319 09216,N/A,5.0,1.0,"847211, near Gandhi Chowk, Bara Bazar, Madhubani, Bihar 847211",Bara Bazar,26.352376,86.06788739999999,ChIJnTYxKLnN7TkRfGTprNRGIFc,https://www.google.com/maps/place/?q=place_id:ChIJnTYxKLnN7TkRfGTprNRGIFc,part_397,2026-09-20 20:19:07
Simplicity coaching centre,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,1.0,"9339+66X, Stadium Rd, Bara Bazar, Madhubani, Bihar 847213",Bara Bazar,26.3531057,86.06812169999999,ChIJK23oNP3N7TkRZ5-FhSGKhm0,https://www.google.com/maps/place/?q=place_id:ChIJK23oNP3N7TkRZ5-FhSGKhm0,part_397,2026-09-20 20:19:07
English Classes by Anurag Kumar Tiwari Branch 1,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 93043 91643,https://youtube.com/@anuragsirenglish?si=JpDm4vkyjeOQdStt,4.9,44.0,"Madhubani Ghat, near Allahabad Bank, Mathiya, Madhubani, Bihar 845429",847409,26.5825911,85.03300829999999,ChIJOdv7oDDP7DkRl-d-CH2oLyw,https://www.google.com/maps/place/?q=place_id:ChIJOdv7oDDP7DkRl-d-CH2oLyw,part_397,2026-09-20 20:19:07
Chronicle Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Tutoring service",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 93341 02329,http://chronicleacademy.co.in/,4.8,283.0,"2nd Floor, Sumati Palace, Boring Rd, Nageshwar Colony, Kidwaipuri, Patna, Bihar 800001","Nageshwar Colony, Kidwaipuri",25.611937299999997,85.11999829999999,ChIJDdl6EyVY7TkR5QL9oBX2o8c,https://www.google.com/maps/place/?q=place_id:ChIJDdl6EyVY7TkR5QL9oBX2o8c,part_397,2026-09-20 20:19:07
Chandra Classes (IAS/PCS/UPSC/BPSC Coaching),Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95605 32390,https://www.chandraclassessiwan.com/,5.0,44.0,"Laxmipur, Siswan Dhala, Laxmipur, Siwan, Bihar 841226","Laxmipur, Chapiya",26.207710799999997,84.3630209,ChIJSxhV2jX7kjkRMC8IfJNrik4,https://www.google.com/maps/place/?q=place_id:ChIJSxhV2jX7kjkRMC8IfJNrik4,part_397,2026-09-20 20:19:07
"SUCCESS ADDA | Best institute for the preparation of BANK ,SSC, RAILWAY & other competitive exams",Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 87894 61724,N/A,4.8,38.0,"Saidpur, Dighwara, Bihar 841207",847409,25.7434706,84.9860016,ChIJy1dmf-VT7TkRtrCSr60YrF4,https://www.google.com/maps/place/?q=place_id:ChIJy1dmf-VT7TkRtrCSr60YrF4,part_397,2026-09-20 20:19:07
career coaching classes कैरियर कोचिंग क्लास,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,2.0,"JWRP+XR8, Mission Chowk, Motihari - Madubanighat Rd, Madhubani, Bihar 845402",847409,26.642406299999998,84.9370854,ChIJHUbUMoA1kzkRHVrXpHbawrQ,https://www.google.com/maps/place/?q=place_id:ChIJHUbUMoA1kzkRHVrXpHbawrQ,part_397,2026-09-20 20:19:07
Mahendra Educational Private Limited - Best coaching for BANK | SSC | Railway | CTET | TET | State Level Exam in Madhubani,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Civil examinations academy, Educational institution, Educational testing service, Training center",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 63912 07059,https://www.mahendras.org/,5.0,3.0,"2nd floor of, deviki enclave, Town Club, road, opposite railway station, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.3486607,86.07560699999999,ChIJccDEcB7N7TkRPTrPr2VDGmg,https://www.google.com/maps/place/?q=place_id:ChIJccDEcB7N7TkRPTrPr2VDGmg,part_397,2026-09-20 20:19:07
ACHIEVERS IAS ACADEMY,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Education center",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 84349 31877,https://www.achieversiaspatna.co.in/,4.0,260.0,"Aditya Vision, Tennis Court, Rd, near 181 Opppsite, New, Patliputra Colony, Patna, Bihar 800013","New, Patliputra Colony",25.6381981,85.1088248,ChIJS7oaxypY7TkR5dj65n-puiI,https://www.google.com/maps/place/?q=place_id:ChIJS7oaxypY7TkR5dj65n-puiI,part_397,2026-09-20 20:19:07
"IBT Institute : SSC Coaching in Darbhanga, Best SSC Coaching in Darbhanga, Bank Coaching in Darbhanga",Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 70707 96060,https://www.ibtindia.com/ssc-coaching-in-darbhanga,5.0,144.0,"Dighi west, professor colony, Bhathiarisarai, Darbhanga, Bihar 846004","professor colony, Bhathiarisarai",26.1500123,85.9036512,ChIJaayybke57TkRKJhDP8qFc3o,https://www.google.com/maps/place/?q=place_id:ChIJaayybke57TkRKJhDP8qFc3o,part_397,2026-09-20 20:19:08
