business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dinesh Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 97095 22834,https://www.dineshnursinghome.in/,4.0,27.0,"Madhubani Road, near Yadav Tola, Sakri East, Bihar 847239",847409,26.222374199999997,86.08010159999999,ChIJIdMCk8zP7TkRKm1khiEYjGs,https://www.google.com/maps/place/?q=place_id:ChIJIdMCk8zP7TkRKm1khiEYjGs,part_397,2026-09-20 20:18:52
BINOD NURSING HOME,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91229 41286,http://www.binodnursinghome.com/,3.7,6.0,"Kotwali Chowk, near Durga Temple Kotwali chowk, Police Line, Bhavara, Madhubani, Bihar 847212","Police Line, Bhavara",26.330451999999998,86.07075499999999,ChIJT2oZANnN7TkRxhNFcSIvyI0,https://www.google.com/maps/place/?q=place_id:ChIJT2oZANnN7TkRxhNFcSIvyI0,part_397,2026-09-20 20:18:52
Ramshila Healthcare Hospital,Nursing Home and Maternity Hospital,Private hospital,Private hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 99053 30700,http://www.ramshilahospital.co.in/,4.5,412.0,"Sakri, Road, Pandaul, Bihar 847239",847409,26.2197639,86.0796256,ChIJ3yHD_JDP7TkRnM-EbnNEvvo,https://www.google.com/maps/place/?q=place_id:ChIJ3yHD_JDP7TkRnM-EbnNEvvo,part_397,2026-09-20 20:18:52
Ladania Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,3.6,20.0,"J85C+WH9, Ladania, Bihar 847232",847409,26.6097976,86.3214855,ChIJN10ElGGc7jkROFDXwTW5sko,https://www.google.com/maps/place/?q=place_id:ChIJN10ElGGc7jkROFDXwTW5sko,part_397,2026-09-20 20:18:52
darbhanga health care saharghat,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80841 71250,N/A,4.0,26.0,"GVV5+582, Mukhiapatti, Bihar 847308",847409,26.5428857,85.858278,ChIJOyYzsKhI7DkRGFO7PFm4rXc,https://www.google.com/maps/place/?q=place_id:ChIJOyYzsKhI7DkRGFO7PFm4rXc,part_397,2026-09-20 20:18:52
Maa Ugratara Eye Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 70331 88769,https://maaugrataranetralaya.com/,3.7,18.0,"83XQ+Q7F Madhubani, Bihar Ward 11, Chowk Bypass Road, Ranti, Madhubani, Bihar 847211",New Colony,26.3494375,86.08818749999999,ChIJs7leco7N7TkRyk57YXqQGL8,https://www.google.com/maps/place/?q=place_id:ChIJs7leco7N7TkRyk57YXqQGL8,part_397,2026-09-20 20:18:52
SN Sarraf Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 72095 67555,https://snsarrafhospital.com/,4.7,326.0,"DMCH Rd, behind Hanuman Mandir, DMCH Campus, Laheriasarai, Darbhanga, Bihar 846001","DMCH Campus, Laheriasarai",26.1325227,85.8972153,ChIJGTVMlRe57TkRB6Zf52M1uks,https://www.google.com/maps/place/?q=place_id:ChIJGTVMlRe57TkRB6Zf52M1uks,part_397,2026-09-20 20:18:52
I.B Smriti Arogya Sadan,Nursing Home and Maternity Hospital,Hospital,"Hospital, Children's hospital, Doctor",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80109 04443,N/A,3.5,151.0,"Ib Smriti Arogya Sadan, near Digghi Pkhar Digghi, Ward 17, Darbhanga, Bihar 846004",Ward 17,26.148058499999998,85.9033445,ChIJq6qqake47TkRW6aC9K99UNM,https://www.google.com/maps/place/?q=place_id:ChIJq6qqake47TkRW6aC9K99UNM,part_397,2026-09-20 20:18:52
MADHUBANI NURSING HOME,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 95769 83455,N/A,4.2,,"85C9+FRG, Bhagwatipur, Parsa, Bihar 847236",847409,26.321187499999997,86.1695781,ChIJQZVlWwDT7TkRKiQ2l1rr4X4,https://www.google.com/maps/place/?q=place_id:ChIJQZVlWwDT7TkRKiQ2l1rr4X4,part_397,2026-09-20 20:18:53
Oxford Emergency Hospital,Nursing Home and Maternity Hospital,Nursing home,Nursing home,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 82716 40769,https://www.oxfordhospital.in/,5.0,,"13 No Gumti, Lakshmi Nagar Colony, Ranti, Madhubani, Bihar 847211",Lakshmi Nagar Colony,26.3487917,86.0873383,ChIJW7Z_bAvT7TkRHj-k_MPfOOs,https://www.google.com/maps/place/?q=place_id:ChIJW7Z_bAvT7TkRHj-k_MPfOOs,part_397,2026-09-20 20:18:53
New Binod Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91229 41286,N/A,5.0,,"1, Nazirpur - Kaluahi Rd, Madhubani, Haripur South, Bihar 847229",847409,26.4603817,86.0672262,ChIJs7UMIAAx7DkRV6NttIhQKXM,https://www.google.com/maps/place/?q=place_id:ChIJs7UMIAAx7DkRV6NttIhQKXM,part_397,2026-09-20 20:18:53
Ganpati Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,,"WQGW+4QG, Birpur - Madhepura - Bihpur Rd, Madhepura, Bihar 852113",847409,25.9253163,86.7969507,ChIJhZ_6HDc37jkRyW5YjgKHQsg,https://www.google.com/maps/place/?q=place_id:ChIJhZ_6HDc37jkRyW5YjgKHQsg,part_397,2026-09-20 20:18:53
Bihar maternity nursing home,Nursing Home and Maternity Hospital,Hospital department,Hospital department,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,,"VGHP+XM2, Islam Nagar, Nawada, Bihar 805112",Islam Nagar,24.8798796,85.53662949999999,ChIJHa7izSb_8jkRx88ldX7pSts,https://www.google.com/maps/place/?q=place_id:ChIJHa7izSb_8jkRx88ldX7pSts,part_397,2026-09-20 20:18:53
Shri Ganga nursing home and maternity Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.8,,"VGQV+VP3, Nawada, Bihar 805110",847409,24.8895838,85.54429879999999,ChIJjdoLGQD_8jkRc5WYrngpd08,https://www.google.com/maps/place/?q=place_id:ChIJjdoLGQD_8jkRc5WYrngpd08,part_397,2026-09-20 20:18:53
NRS Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 83405 51397,N/A,5.0,,"Premangan, Near, Jaldhari Chowk, Pragati Nagar, Bhoop Narayan Singh Colony, Madhubani, Bihar 847211","Pragati Nagar, Bhoop Narayan Singh Colony",26.3383096,86.07148509999999,ChIJSZcpV_3N7TkRas3ngzHkAJo,https://www.google.com/maps/place/?q=place_id:ChIJSZcpV_3N7TkRas3ngzHkAJo,part_397,2026-09-20 20:18:53
Madhuri Health Care Hospital Private,Nursing Home and Maternity Hospital,Hospital,Hospital,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,3.9,,"83RF+F5P, Tirhut Colony, Madhubani, Bihar 847211",Tirhut Colony,26.3412154,86.07294259999999,ChIJA021TRXN7TkRlj5RYvDub0s,https://www.google.com/maps/place/?q=place_id:ChIJA021TRXN7TkRlj5RYvDub0s,part_397,2026-09-20 20:18:53
Life Line Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,3.6,,"83MF+F4G, Madhubani - Belahi Rd, Pragati Nagar, Bhoop Narayan Singh Colony, Madhubani, Bihar 847212","Pragati Nagar, Bhoop Narayan Singh Colony",26.333686,86.0728393,ChIJ2SLqKBPN7TkRmzH9AWPCiFk,https://www.google.com/maps/place/?q=place_id:ChIJ2SLqKBPN7TkRmzH9AWPCiFk,part_397,2026-09-20 20:18:53
