business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Watch Palace,Watch Showroom and Repair,Watch store,Watch store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",N/A,N/A,3.9,94.0,"DB Rd, Ward Number 10, Police Line, Saharsa, Bihar 852201","Ward Number 10, Police Line",25.8805414,86.5929434,ChIJVz4DT5I97jkR5k27jzzObI8,https://www.google.com/maps/place/?q=place_id:ChIJVz4DT5I97jkR5k27jzzObI8,part_397,2026-09-20 20:19:26
Samay Vatika,Watch Showroom and Repair,Watch store,"Watch store, Clock and watch maker, Luggage store, Luggage wholesaler, Watch repair service",847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 6243 401 536,N/A,4.2,123.0,"Agrasen Marg, Vishnupur, Sarvodaya Nagar, Begusarai, Bihar 851101","Vishnupur, Sarvodaya Nagar",25.4158291,86.13165049999999,ChIJtzYJiNYa8jkR9fhuJP_l3Ls,https://www.google.com/maps/place/?q=place_id:ChIJtzYJiNYa8jkR9fhuJP_l3Ls,part_397,2026-09-20 20:19:26
SHYAM WATCH,Watch Showroom and Repair,Electronics store,Electronics store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 90061 76436,N/A,4.8,86.0,"Maharajganj Main Rd, Jamui, Bihar 811307",847410,24.9259158,86.2258538,ChIJK1sp-gYr8jkR4d68a62Saok,https://www.google.com/maps/place/?q=place_id:ChIJK1sp-gYr8jkR4d68a62Saok,part_397,2026-09-20 20:19:26
Watch Emporium,Watch Showroom and Repair,Watch store,Watch store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 70044 60342,https://sites.google.com/view/werosera/home,3.8,35.0,"Mahaveer Chawk, Towards Gandhi Chawk, opposite to Hanuman Vastralaya, Rosera, Bihar 848210",847410,25.7488212,86.02925429999999,ChIJ9W7jC1Lx7TkRS8l4ZHqVqJs,https://www.google.com/maps/place/?q=place_id:ChIJ9W7jC1Lx7TkRS8l4ZHqVqJs,part_397,2026-09-20 20:19:26
Kashish watch centre,Watch Showroom and Repair,Watch store,Watch store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",N/A,N/A,3.9,19.0,"Asgar Market, JHANDA CHOWK, Bhatta Bazar, Purnia, Bihar 854301","Bhatta Bazar, Mehboob Khan Tola",25.771185199999998,87.4782384,ChIJb9EulXH57zkRaGZeznHmRfo,https://www.google.com/maps/place/?q=place_id:ChIJb9EulXH57zkRaGZeznHmRfo,part_397,2026-09-20 20:19:26
Smart watch repairing,Watch Showroom and Repair,Watch repair service,"Watch repair service, Clock and watch maker",847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 72778 36893,https://youtube.com/@Smartwatchrep.?si=P3xq9k-uI9I4VJqO,4.3,98.0,"Infront of baldeo inter school gate, Bibiganj, Sadar Bazar, Danapur Cantonment, Patna, Bihar 801503","Bibiganj, Sadar Bazar, Danapur Cantonment",25.6375435,85.04576349999999,ChIJ3Rz90bpX7TkR2zh-ydei4gk,https://www.google.com/maps/place/?q=place_id:ChIJ3Rz90bpX7TkR2zh-ydei4gk,part_397,2026-09-20 20:19:26
Vijay Watch Centre,Watch Showroom and Repair,Watch store,Watch store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 89864 48664,N/A,4.4,10.0,"Lohapatti Rd, Noneadih, Raxaul, Bihar 845305",Noneadih,26.983461499999997,84.8513725,ChIJsdYji8lRkzkRiIXU4ytaSaY,https://www.google.com/maps/place/?q=place_id:ChIJsdYji8lRkzkRiIXU4ytaSaY,part_397,2026-09-20 20:19:26
KAMLESH JI WATCH CENTER,Watch Showroom and Repair,Watch repair service,Watch repair service,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",N/A,N/A,5.0,2.0,"6HVW+422, Khaira, Bihar 802208",847410,25.2427521,84.594978,ChIJ22ERKABrjTkRE-8XvzT-zxU,https://www.google.com/maps/place/?q=place_id:ChIJ22ERKABrjTkRE-8XvzT-zxU,part_397,2026-09-20 20:19:26
New Avinash Watch,Watch Showroom and Repair,Watch store,Watch store,847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 93089 64489,N/A,4.4,52.0,"Street No. 7, Gola Rd, Patna, Bihar 801503",Ramjaipal Nagar,25.6142525,85.0568978,ChIJu8GgwDZX7TkRT3ygwDqdI84,https://www.google.com/maps/place/?q=place_id:ChIJu8GgwDZX7TkRT3ygwDqdI84,part_397,2026-09-20 20:19:26
"Fastrack store - Gudari Bazar, Samastipur",Watch Showroom and Repair,Watch store,"Watch store, Bag shop, Handbags shop, Perfume store, Sunglasses store",847410,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Tamuria SO, Berma BO, Kachhua BO",+91 93345 00009,https://www.fastrack.in/,4.4,36.0,"Ground Floor, Welcome Point, Arya Samaj Road, near Khemka Ply, Ward No - 17, Gudari Bazar, Samastipur, Bihar 848101","Ward No-17, Gudari Bazar",25.864632399999998,85.7824892,ChIJYVnrwWiR7TkRaaPBLw_AZCA,https://www.google.com/maps/place/?q=place_id:ChIJYVnrwWiR7TkRaaPBLw_AZCA,part_397,2026-09-20 20:19:26
