business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Ceiling Guys Inc,False Ceiling Contractor,Contractor,"Contractor, Acoustical consultant, Real Estate Builders & Construction Company, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,http://www.theceilingguys.net/,4.9,57.0,"The Ceiling Guys Inc, 847422, India",847422,42.6379544,-87.506119,ChIJWdldMW3LD4gRpFKcGg32zRE,https://www.google.com/maps/place/?q=place_id:ChIJWdldMW3LD4gRpFKcGg32zRE,part_397,2026-09-20 20:21:26
R & S Construction & Renovation,False Ceiling Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",+91 94722 13669,N/A,5.0,7.0,"House No.73, Ground Floor, VIP Rd, near Sharma Diagnostic, Benta, Laheriasarai, Darbhanga, Bihar 846001","Benta, Laheriasarai",26.1181098,85.90022789999999,ChIJo7eHo_C47TkRJQ8g9Z90SQ8,https://www.google.com/maps/place/?q=place_id:ChIJo7eHo_C47TkRJQ8g9Z90SQ8,part_397,2026-09-20 20:21:26
New Interior,False Ceiling Contractor,Interior designer,"Interior designer, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",+91 81696 36403,N/A,5.0,9.0,"New Interior, 847422, India",847422,21.0680074,82.7525294,ChIJm1nVgVG_5zsRI0EswoWpqvg,https://www.google.com/maps/place/?q=place_id:ChIJm1nVgVG_5zsRI0EswoWpqvg,part_397,2026-09-20 20:21:26
FALSE CEILING U.H.A interior design,False Ceiling Contractor,Interior designer,"Interior designer, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",0317 4877899,N/A,,,"FALSE CEILING U.H.A interior design, 847422, India",847422,30.3629572,68.9966984,ChIJzRzJ6eQ9sz4RV9pVXgA67Is,https://www.google.com/maps/place/?q=place_id:ChIJzRzJ6eQ9sz4RV9pVXgA67Is,part_397,2026-09-20 20:21:26
Brad Watson Plastering,False Ceiling Contractor,Dry wall contractor,"Dry wall contractor, Contractor, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,N/A,5.0,1.0,"Brad Watson Plastering, 847422, India",847422,-18.482266199999998,133.5008379,ChIJ7T9uo-WjwCwRD2SwDk9zuac,https://www.google.com/maps/place/?q=place_id:ChIJ7T9uo-WjwCwRD2SwDk9zuac,part_397,2026-09-20 20:21:26
Artistic Ceilings,False Ceiling Contractor,General contractor,"General contractor, Ceiling supplier, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,N/A,5.0,2.0,"Artistic Ceilings, 847422, India",847422,46.423669,-129.9427086,ChIJPeYCsMhRwokRFjmFLNKvolQ,https://www.google.com/maps/place/?q=place_id:ChIJPeYCsMhRwokRFjmFLNKvolQ,part_397,2026-09-20 20:21:26
Cannon Drywall Inc.,False Ceiling Contractor,Dry wall contractor,"Dry wall contractor, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,N/A,5.0,2.0,"Cannon Drywall Inc., 847422, India",847422,46.423669,-129.9427086,ChIJT1J_RP35xokRIM_0gOaT3m4,https://www.google.com/maps/place/?q=place_id:ChIJT1J_RP35xokRIM_0gOaT3m4,part_397,2026-09-20 20:21:26
LC Ceilings,False Ceiling Contractor,Contractor,"Contractor, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,https://lcceilings.com/,3.4,5.0,"LC Ceilings, 847422, India",847422,34.211754,-84.56575149999999,ChIJr51NrHkE9YgRRXQDA7WYQQM,https://www.google.com/maps/place/?q=place_id:ChIJr51NrHkE9YgRRXQDA7WYQQM,part_397,2026-09-20 20:21:26
False Ceiling Contractors in Mumbai,False Ceiling Contractor,Interior designer,"Interior designer, Contractor, Electrician, Interior architect office, Interior Decorator, Painting",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",+91 90045 63596,http://falseceilingcontractors.in/,4.9,,"Gul Hassan Housing Complex, Kurla West, Kurla, Mumbai, Maharashtra 400070","Vinobha Bhave Nagar, Kurla West, Kurla",19.0697713,72.8811389,ChIJ0yUCRlvJ5zsRqrdnLpemhYw,https://www.google.com/maps/place/?q=place_id:ChIJ0yUCRlvJ5zsRqrdnLpemhYw,part_397,2026-09-20 20:21:27
Suspended Ceilings Atlanta,False Ceiling Contractor,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,https://suspendedceilingsatlanta.com/,3.9,,"Suspended Ceilings Atlanta, 847422, India",847422,33.907672999999996,-84.75032089999999,ChIJ1-TatGN89YgRLvm_3hNArrw,https://www.google.com/maps/place/?q=place_id:ChIJ1-TatGN89YgRLvm_3hNArrw,part_397,2026-09-20 20:21:27
All-Phase Drywall Inc.,False Ceiling Contractor,Dry wall contractor,"Dry wall contractor, Service establishment, Handyman/Handywoman/Handyperson",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,http://www.drywall911.com/,5.0,,"All-Phase Drywall Inc., 847422, India",847422,28.112828999999998,-82.538186,ChIJD9J4qlvEwogRigRABahnUaY,https://www.google.com/maps/place/?q=place_id:ChIJD9J4qlvEwogRigRABahnUaY,part_397,2026-09-20 20:21:27
Interior Solutions,False Ceiling Contractor,Contractor,"Contractor, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,https://www.intsolcolorado.net/,5.0,,"Interior Solutions, 847422, India",847422,46.423669,-129.9427086,ChIJOxNE1xaZbIcR8SVTzQX4LWI,https://www.google.com/maps/place/?q=place_id:ChIJOxNE1xaZbIcR8SVTzQX4LWI,part_397,2026-09-20 20:21:27
BRIGHT INTERIORS,False Ceiling Contractor,Ceiling supplier,"Ceiling supplier, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,N/A,,,"BRIGHT INTERIORS, 847422, India",847422,21.0680074,82.7525294,ChIJ23cwGam9BTsRG7w9KQ3ZJ78,https://www.google.com/maps/place/?q=place_id:ChIJ23cwGam9BTsRG7w9KQ3ZJ78,part_397,2026-09-20 20:21:27
FHD Drywall Finisher LLC,False Ceiling Contractor,Dry wall contractor,"Dry wall contractor, Service establishment",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",N/A,https://drywallcontractorbuckeyeaz.com/,5.0,,"FHD Drywall Finisher LLC, 847422, India",847422,33.485838,-112.094617,ChIJadVCe30PK4cRHmJ7k3vS_6E,https://www.google.com/maps/place/?q=place_id:ChIJadVCe30PK4cRHmJ7k3vS_6E,part_397,2026-09-20 20:21:27
Golden interior & false ceiling contractor,False Ceiling Contractor,Contractor,"Contractor, Service establishment, Interior fitting contractor",847422,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Manigachi SO, Baghant BO, Balour BO",+91 93800 01274,N/A,5.0,,"Golden interior & false ceiling contractor, 847422, India",847422,27.8083846,78.9466908,ChIJGRxjm-gnJkARoJhnpv4zzOQ,https://www.google.com/maps/place/?q=place_id:ChIJGRxjm-gnJkARoJhnpv4zzOQ,part_397,2026-09-20 20:21:28
