business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NUT BOLT HOUSE,Industrial Hardware and Fasteners,Tool store,Tool store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 94312 07055,N/A,4.6,53.0,"4VXV+X9R, Infront of Indianoil petrol pump, Mirzapur Road, Mirzapur, Darbhanga, Bihar 846004",Mirzapur,26.1524249,85.8983485,ChIJOy7aPze47TkRi3UilJOJxRs,https://www.google.com/maps/place/?q=place_id:ChIJOy7aPze47TkRi3UilJOJxRs,part_397,2026-09-20 20:22:17
Aayat hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 79799 27447,N/A,5.0,2.0,"Gangwala wad no 2, Darbhanga - Sakri Rd, near of braham asthan, Darbhanga, Bihar 846005",Gangwara,26.1703291,85.91725319999999,ChIJZ3qdt6G57TkRvFnfC9rTogg,https://www.google.com/maps/place/?q=place_id:ChIJZ3qdt6G57TkRvFnfC9rTogg,part_397,2026-09-20 20:22:17
Hindustan Hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 86039 90645,N/A,5.0,1.0,"Indra Colony, Bhairopatti Village, Darbhanga, Rasulpur Kalan, Bihar 846003","Indra Colony, Bhairopatti Village",26.131920299999997,85.9149649,ChIJQ3rab6e57TkRzJ5ZDgzRv5Y,https://www.google.com/maps/place/?q=place_id:ChIJQ3rab6e57TkRzJ5ZDgzRv5Y,part_397,2026-09-20 20:22:17
SUPER HARDWARE,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 70500 57459,N/A,4.2,5.0,"5VGV+2XG, Parmeshwar chowk Industrial Area, Bela Dullah Rd, Darbhanga, Bihar 846004",Sundarpur,26.175068699999997,85.8949411,ChIJ5WBMoY637TkRYWgrcRbBkuA,https://www.google.com/maps/place/?q=place_id:ChIJ5WBMoY637TkRYWgrcRbBkuA,part_397,2026-09-20 20:22:17
Hira Hardware,Industrial Hardware and Fasteners,Wholesaler,"Wholesaler, Aluminum window",847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 91355 84147,N/A,4.7,3.0,"GM Road, opposite Radio Station, near Akashvani Gate, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.157610299999998,85.9028762,ChIJp9uGRMG57TkR6dRCRjMU6e0,https://www.google.com/maps/place/?q=place_id:ChIJp9uGRMG57TkR6dRCRjMU6e0,part_397,2026-09-20 20:22:17
Anil hardware & machinery parts,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 90069 72964,N/A,5.0,2.0,"Govt. Middle school, Mairwa Darauli Rd, Don, Don Bujurg, Bihar 841235",847423,26.1319815,84.14504149999999,ChIJm8keBU9RkjkRqVYGM2xX35k,https://www.google.com/maps/place/?q=place_id:ChIJm8keBU9RkjkRqVYGM2xX35k,part_397,2026-09-20 20:22:17
VIJAY HARDWARE,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 76328 62689,N/A,5.0,1.0,"PVWR+J6R, धनौरा बाजार, सारण, Dumari, Bihar 841216",सारण,25.746617699999998,84.8905308,ChIJ9xmQSpqtkjkR5i4pcc89NPo,https://www.google.com/maps/place/?q=place_id:ChIJ9xmQSpqtkjkR5i4pcc89NPo,part_397,2026-09-20 20:22:17
Dev Hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 77628 48379,N/A,5.0,6.0,"SH90, Dighwa, Bihar 841409",847423,26.2479336,84.7663567,ChIJtxoFCpvZkjkRhNyAvkpCW9Q,https://www.google.com/maps/place/?q=place_id:ChIJtxoFCpvZkjkRhNyAvkpCW9Q,part_397,2026-09-20 20:22:17
Shree Shakti Hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",+91 62079 82403,N/A,5.0,,"005, Hayaghat, Gumti Road, near Railway Station, Darbhanga, East Bilaspur, Bihar 847301",847423,26.0189655,85.87887909999999,ChIJFY7erlq-7TkRaOt_T5hKQqI,https://www.google.com/maps/place/?q=place_id:ChIJFY7erlq-7TkRaOt_T5hKQqI,part_397,2026-09-20 20:22:17
Arif Hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,847423,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Putai SO, Bathia BO, Bauharwa BO",N/A,N/A,4.0,,"5W53+223, GM Road, Rajkumarganj, Kathalbari, Darbhanga, Bihar 846004","Rajkumarganj, Kathalbari",26.1575193,85.90254759999999,ChIJCaMePQC57TkRaGwKusEAUhY,https://www.google.com/maps/place/?q=place_id:ChIJCaMePQC57TkRaGwKusEAUhY,part_397,2026-09-20 20:22:17
