business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amit Motor Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 96616 14180,N/A,5.0,8.0,"Bheja, Bihar 847408",847427,26.101437699999998,86.39478129999999,ChIJXzdaeWZx7jkR43i4UGC7je0,https://www.google.com/maps/place/?q=place_id:ChIJXzdaeWZx7jkR43i4UGC7je0,part_397,2026-09-20 20:23:09
Sanjeet Motor Garage,Car Repair Workshop and Garage,Auto parts store,Auto parts store,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 91629 93967,N/A,5.0,1.0,"Sanjeet Motor Garage, Kalyana Road, Kiratpur, Bihar 847427",847427,26.0184495,86.3720759,ChIJHz_3nyJz7jkRWue7ASDAwa4,https://www.google.com/maps/place/?q=place_id:ChIJHz_3nyJz7jkRWue7ASDAwa4,part_397,2026-09-20 20:23:09
SHAMSHE ALAM WORKSHOP,Car Repair Workshop and Garage,Garage,Garage,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 80515 54044,N/A,,,"Shop08 Jagso Jagso, near Mitoo Chowk, Jamalpur, Darbhanga, Bihar 847427",847427,25.9625679,86.35560079999999,ChIJ_ebSxWwN7jkRy04ZgrLsm0w,https://www.google.com/maps/place/?q=place_id:ChIJ_ebSxWwN7jkRy04ZgrLsm0w,part_397,2026-09-20 20:23:09
Sonu Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 84099 61542,N/A,,,"Daldal, Bihar 847427",847427,26.091268,86.39452299999999,ChIJK50hIXlx7jkRw6LjCtU9LDU,https://www.google.com/maps/place/?q=place_id:ChIJK50hIXlx7jkRw6LjCtU9LDU,part_397,2026-09-20 20:23:09
Sanjay auto garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",N/A,N/A,,,"00, Shivnagar, Kortho West, Sonbihat, Bihar 846010",Shivnagar,26.0137093,86.2088186,ChIJK4gUCQDf7TkR2my_169hx8s,https://www.google.com/maps/place/?q=place_id:ChIJK4gUCQDf7TkR2my_169hx8s,part_397,2026-09-20 20:23:09
Lalbabu Motercycle Garage,Car Repair Workshop and Garage,Auto parts store,Auto parts store,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 74881 06775,N/A,5.0,1.0,"Sonwarsha Chok, Musapur, Biraul, Bihar 847203",Musapur,25.939361299999998,86.24627699999999,ChIJg14Njhzh7TkRIpo7eJ_QdZg,https://www.google.com/maps/place/?q=place_id:ChIJg14Njhzh7TkRIpo7eJ_QdZg,part_397,2026-09-20 20:23:09
Pappu motorcycle workshop,Car Repair Workshop and Garage,Garage,Garage,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 95085 47399,N/A,3.5,2.0,"Biraul Supaul Afzala Station Road Afzala tole, Road, Ballia, Bihar 847203",847427,25.9432685,86.2438233,ChIJadVGG_fh7TkRGJ5wzSZxHLk,https://www.google.com/maps/place/?q=place_id:ChIJadVGG_fh7TkRGJ5wzSZxHLk,part_397,2026-09-20 20:23:09
Jahid Motor Garage,Car Repair Workshop and Garage,Auto parts store,"Auto parts store, Motorcycle shop",847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",+91 99557 52188,N/A,5.0,1.0,"Bazar Master Chowk, Supaul, Patna, Bihar 847203",847427,25.946349299999998,86.2473505,ChIJpUeVUZbh7TkRkg_ozZfEgpg,https://www.google.com/maps/place/?q=place_id:ChIJpUeVUZbh7TkRkg_ozZfEgpg,part_397,2026-09-20 20:23:09
DELHI CAR WORKSHOP,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",N/A,N/A,5.0,,"Parasi, Uttar Pradesh 231224",847427,24.189638,82.77161869999999,ChIJS21gYgwljzkRArdOmEcNgRE,https://www.google.com/maps/place/?q=place_id:ChIJS21gYgwljzkRArdOmEcNgRE,part_397,2026-09-20 20:23:10
Pandey Chevrolet,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",N/A,https://www.chevrolet.co.in/locate-authorized-service-operation.html,3.6,,"More, near Raj Resort, Kurji, Patna, Bihar 800010",Kurji,25.639751099999998,85.1107997,ChIJl2UeR0dY7TkRobq8V9DVl_U,https://www.google.com/maps/place/?q=place_id:ChIJl2UeR0dY7TkRobq8V9DVl_U,part_397,2026-09-20 20:23:10
Hanuman tractor workshop and JCB,Car Repair Workshop and Garage,Garage,Garage,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",N/A,N/A,5.0,1.0,"36CQ+V75, Ashapur - Alinagar Rd, Mahthaur - Garaul, Kathara, Mohiudinpur Pakri, Bihar 847103","Mahthaur - Garaul, Kathara",26.0721557,86.2389989,ChIJC3E1QgDf7TkRnD11UMCXD3A,https://www.google.com/maps/place/?q=place_id:ChIJC3E1QgDf7TkRnD11UMCXD3A,part_397,2026-09-20 20:23:10
बिनोद garage,Car Repair Workshop and Garage,Garage,Garage,847427,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Ghanshyampur SO Darbhanga, Adharpur BO, Baghras BO",N/A,N/A,1.0,1.0,"3F72+MVF, Kathuaar, Kaithwar, Bihar 847408",847427,26.0641875,86.4521719,ChIJ4dRsaQBt7jkR6qsSIiJy7aI,https://www.google.com/maps/place/?q=place_id:ChIJ4dRsaQBt7jkR6qsSIiJy7aI,part_397,2026-09-20 20:23:10
