business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
IFKA Resturant and Cafe,Family Restaurant,Family restaurant,Family restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",N/A,N/A,4.2,,"5RGH+QPJ, Sobhan, Kansi Part, Bihar 846005",847428,26.176970999999998,85.82927289999999,ChIJ_3W0EQCx7TkRA5V0fkfHi4k,https://www.google.com/maps/place/?q=place_id:ChIJ_3W0EQCx7TkRA5V0fkfHi4k,part_397,2026-09-20 20:23:38
Lala Ji Rasoi Da Dhaba & Open Garden Restaurant,Family Restaurant,Family restaurant,Family restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",N/A,N/A,4.0,,"5Q57+C5Q, NH 27, Simri, Misrauli, Bihar 847106",847428,26.158320999999997,85.763661,ChIJI-KEEQCl7TkRrK0sgRrZ_80,https://www.google.com/maps/place/?q=place_id:ChIJI-KEEQCl7TkRrK0sgRrZ_80,part_397,2026-09-20 20:23:38
Chhavi restaurant,Family Restaurant,Family restaurant,Family restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",+91 96619 21929,N/A,4.1,,"5P6X+4M9, Bithauli, Bihar 847106",847428,26.160266,85.74922649999999,ChIJgQhJDQCl7TkRnYxw9t6ZtBE,https://www.google.com/maps/place/?q=place_id:ChIJgQhJDQCl7TkRnYxw9t6ZtBE,part_397,2026-09-20 20:23:38
ASHIRWAD HOTEL AND FAMILY RESTURANT,Family Restaurant,Restaurant,Restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",N/A,N/A,3.0,,"01,shobhan Near Darbhanga Darwar Nh 57, Darbhanga, Bihar 846005",847428,26.177434299999998,85.8283469,ChIJb44wSUKx7TkRnjGFfC46jvI,https://www.google.com/maps/place/?q=place_id:ChIJb44wSUKx7TkRnjGFfC46jvI,part_397,2026-09-20 20:23:38
Royal Rasoi Family Restaurant,Family Restaurant,Restaurant,Restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",+91 92634 54552,N/A,4.7,255.0,"NH-27, Darbhanga - Sakri Rd, Muria, Kakarghatti, Bihar 847115",847428,26.198435099999998,86.0170033,ChIJL4STneTP7TkRVA0_oL3vV2E,https://www.google.com/maps/place/?q=place_id:ChIJL4STneTP7TkRVA0_oL3vV2E,part_397,2026-09-20 20:23:39
Shayama Food Corner,Family Restaurant,Family restaurant,Family restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",+91 83209 94335,N/A,5.0,,"chook, Ekmi Rd, Friends Colony, Baquar Gunj, Sobhan, Darbhanga, Bihar 846001","Friends Colony, Baquar Gunj",26.1197338,85.8859374,ChIJBRf-i6G57TkRniWZAX73JoA,https://www.google.com/maps/place/?q=place_id:ChIJBRf-i6G57TkRniWZAX73JoA,part_397,2026-09-20 20:23:39
RG FAMILY RESTAURANT SINGHWARA DARBHANGA,Family Restaurant,Restaurant,Restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",N/A,N/A,4.9,,"Block & Lalpur Chowk, Near, Singhwara, Lalpur, Bihar 847123",847428,26.1835423,85.7343911,ChIJQbTCYxyv7TkRVCUIay97Q-w,https://www.google.com/maps/place/?q=place_id:ChIJQbTCYxyv7TkRVCUIay97Q-w,part_397,2026-09-20 20:23:39
Raja Babu Line hotel,Family Restaurant,Family restaurant,Family restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",N/A,N/A,4.7,,"4VG8+3J5, Ekmi, Gorhiyari, Bihar 846003",847428,26.1251377,85.86661869999999,ChIJT1RsGXW57TkRmmchPE1Tlpw,https://www.google.com/maps/place/?q=place_id:ChIJT1RsGXW57TkRmmchPE1Tlpw,part_397,2026-09-20 20:23:39
Daya Green Hotel,Family Restaurant,North Indian restaurant,North Indian restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",+91 87574 09569,N/A,4.0,,"ward no 1, Maula Ganj Rd, near Mahindra showroom, Alinagar, Sundarpur, Chak Jamal, Bihar 846004","Alinagar, Sundarpur",26.184278,85.883354,ChIJMS_9sVK37TkROuYiTyNm7Y4,https://www.google.com/maps/place/?q=place_id:ChIJMS_9sVK37TkROuYiTyNm7Y4,part_397,2026-09-20 20:23:39
Anushka family restaurant,Family Restaurant,Restaurant,Restaurant,847428,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Bharathi SO, Banauli BO, Basatwara BO",+91 76749 72090,N/A,5.0,,"Mabbi Belauna, Bastauli, Bihar 846005",847428,26.1793917,85.8615906,ChIJr84OGAC37TkRrbE-wOv9o-c,https://www.google.com/maps/place/?q=place_id:ChIJr84OGAC37TkRrbE-wOv9o-c,part_397,2026-09-20 20:23:39
