business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dhaba Lane,Dhaba and Highway Restaurant,Restaurant,"Restaurant, Indian restaurant",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 92131 31311,N/A,4.6,10,"Shp No 1, 4JP9+GFV Ward O3, Supaul, Kishanpur West, Bihar 852134",847451,26.1354641,86.6183989,ChIJy22CcQBD7jkR4iiA5ovmw8w,https://www.google.com/maps/place/?q=place_id:ChIJy22CcQBD7jkR4iiA5ovmw8w,part_397,2026-09-20 20:24:48
YADAV DHABA,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,4.6,15,"85HJ+4QR, Panjarkatta St, Panjarkatta, Badhepara, Bihar 854335",Panjarkatta,26.3278528,87.1818899,ChIJm9IMWeah7zkRj0Kange0hEY,https://www.google.com/maps/place/?q=place_id:ChIJm9IMWeah7zkRj0Kange0hEY,part_397,2026-09-20 20:24:48
Himgiri dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 70040 28782,https://www.himgiri.com/,5.0,13,"Highway, Roadside, Muzaffarpur, Guwahati (NH-57 Highway Roadside, near Forbesganj, Bihar 854318",847451,26.3243977,87.221228,ChIJSfEYvb-f7zkRCKT6xZWoJWY,https://www.google.com/maps/place/?q=place_id:ChIJSfEYvb-f7zkRCKT6xZWoJWY,part_397,2026-09-20 20:24:48
Nand Dhaba and Line Hotel,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Non Vegetarian Restaurant, Vegetarian restaurant",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,3.9,210,"Bhimpur Thana Chawk, near, NH 57, Bhimpur, Bihar 852125",847451,26.340515399999997,87.0439789,ChIJEfBik4qo7zkRapGcFwxgDQ8,https://www.google.com/maps/place/?q=place_id:ChIJEfBik4qo7zkRapGcFwxgDQ8,part_397,2026-09-20 20:24:48
Apna Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,3.9,74,"85GV+W55, NH 27, Badhepara, Bihar 854335",847451,26.3272583,87.1929727,ChIJWwNOHB6h7zkRmmXEtAqbYkA,https://www.google.com/maps/place/?q=place_id:ChIJWwNOHB6h7zkRmmXEtAqbYkA,part_397,2026-09-20 20:24:48
Mukesh Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,3.4,23,"35GX+H42, SH 76, Rampuraadi, Mannulah Patti, Bihar 854334",847451,26.0763802,87.19775229999999,ChIJR9S06bm_7zkRURB6kKeUYOQ,https://www.google.com/maps/place/?q=place_id:ChIJR9S06bm_7zkRURB6kKeUYOQ,part_397,2026-09-20 20:24:48
Highway Dhaba,Dhaba and Highway Restaurant,Indian restaurant,"Indian restaurant, Chinese restaurant",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 92040 65756,N/A,4.0,333,"Patna - Sitamarhi Rd, Turki, Muzaffarpur, Bihar 844127",847451,26.0421859,85.3476407,ChIJrdR_0eUV7TkR_fWtMAytR8E,https://www.google.com/maps/place/?q=place_id:ChIJrdR_0eUV7TkR_fWtMAytR8E,part_397,2026-09-20 20:24:48
Saptkoshi Hotel & Lodge,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,4.7,11,"Kosi Barrage, Bhardaha, Madhesh Province 56400, Nepal",847451,26.531590299999998,86.9210378,ChIJ47U-Oo0D7zkRvPlWTuHLUck,https://www.google.com/maps/place/?q=place_id:ChIJ47U-Oo0D7zkRvPlWTuHLUck,part_397,2026-09-20 20:24:48
Rajasthani hotel CTC,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 63534 53445,N/A,4.0,142,"NH 27, Khaira, Bihar 854335",847451,26.3294279,87.167994,ChIJX7JXQieh7zkRX8Oql5jBdKo,https://www.google.com/maps/place/?q=place_id:ChIJX7JXQieh7zkRX8Oql5jBdKo,part_397,2026-09-20 20:24:48
Dhabha Relax,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,3.7,40,"84PC+3MG, NH 27, Madhura North, Bihar 854335",847451,26.335189099999997,87.12170239999999,ChIJeQbq1VKn7zkRSfzJRSz_l1I,https://www.google.com/maps/place/?q=place_id:ChIJeQbq1VKn7zkRSfzJRSz_l1I,part_397,2026-09-20 20:24:48
Yadav hotel,Dhaba and Highway Restaurant,Dhaba,Dhaba,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 80847 96365,N/A,4.5,2,"4JG7+82V, NH 327, Supaul, Bihar 852131",847451,26.125866499999997,86.6125441,ChIJiXCxMk9C7jkRFUv_vxYnyoA,https://www.google.com/maps/place/?q=place_id:ChIJiXCxMk9C7jkRFUv_vxYnyoA,part_397,2026-09-20 20:24:48
Baba k dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 84070 91071,N/A,4.0,15,"SH 76, Bhargaon, Bihar 854334",847451,26.0599943,87.1512369,ChIJcc_ML6i_7zkR-ocLTu_TU2A,https://www.google.com/maps/place/?q=place_id:ChIJcc_ML6i_7zkR-ocLTu_TU2A,part_397,2026-09-20 20:24:48
Khula Aangan Family Restaurant And Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,https://www.facebook.com/share/1CxNRHeBKp/,5.0,43,"opposite of BJP Office, Sikariya, Jehanabad, Bihar 804417",847451,25.2065156,84.9517651,ChIJaZqBFgC18jkRKegVcSxdXBk,https://www.google.com/maps/place/?q=place_id:ChIJaZqBFgC18jkRKegVcSxdXBk,part_397,2026-09-20 20:24:49
Highway Restaurant,Dhaba and Highway Restaurant,Indian restaurant,Indian restaurant,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,4.0,118,"WX3Q+WQH, National Highway, 83, Belaganj, Bihar 804404",847451,24.9054584,84.9893017,ChIJOZ2sGwDV8jkRyDduKYmMD1g,https://www.google.com/maps/place/?q=place_id:ChIJOZ2sGwDV8jkRyDduKYmMD1g,part_397,2026-09-20 20:24:49
