business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dainik Bhaskar Purnea,Media and Event,Media company,Media company,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,http://epaper.bhaskar.com/purnea/purnea-bhaskar/523/02032018/bihar/1/,3.8,68.0,"Ground and First Floor, Hotel Shree Nayak, Verdhaman Hata, NH-31, Sarvoday Nagar, Purnia, Bihar 854301",Sarvoday Nagar,25.774199199999998,87.4737859,ChIJkUlHp3H57zkRNTCQ3TFQB3E,https://www.google.com/maps/place/?q=place_id:ChIJkUlHp3H57zkRNTCQ3TFQB3E,part_397,2026-09-20 20:25:08
Parayag Yadav Niwas(Shiv Kumar),Media and Event,Media house,Media house,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 94718 29618,N/A,3.5,6.0,"Piprahinag, Bihar 854340",847451,26.507269599999997,87.0405238,ChIJcXlqICAF7zkRBYJYWZv5gI0,https://www.google.com/maps/place/?q=place_id:ChIJcXlqICAF7zkRBYJYWZv5gI0,part_397,2026-09-20 20:25:08
Cosmic Light Entertainment,Media and Event,Wedding planner,"Wedding planner, Banquet hall, Entertainment agency, Event management company, Event planner, Event venue, Party planner, Wedding service, Wedding venue",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 87084 30066,http://theluxuryevents.com/,4.9,196.0,"CDR Chowk, Metro Station, 2/2, opp. Chattarpur, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110074","Dr Ambedkar Colony, Chhatarpur",28.505792,77.1745949,ChIJDQvoZt0fDTkRSDAnvc33ixA,https://www.google.com/maps/place/?q=place_id:ChIJDQvoZt0fDTkRSDAnvc33ixA,part_397,2026-09-20 20:25:08
X-Plosiv Events & Promotions,Media and Event,Event management company,"Event management company, Catering food and drink supplier, Caterer, DJ service, Event planner, Event venue, Photographer, Wedding planner, Wedding venue",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 92500 70433,https://x-plosiv.in/,4.9,712.0,"714, 718 D Block, Noor Nagar, Pocket 11, Okhla, New Delhi, Delhi 110025","Noor Nagar, Pocket 11, Okhla",28.5535246,77.28963949999999,ChIJw15BKu3jDDkRoaVM2LmycAI,https://www.google.com/maps/place/?q=place_id:ChIJw15BKu3jDDkRoaVM2LmycAI,part_397,2026-09-20 20:25:08
Sai Events & Advertisements Pvt. Ltd,Media and Event,Event management company,Event management company,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 99900 87269,https://thesaievents.com/,4.5,50.0,"B06 , A, 43, A Block, Sector 63, Noida, Uttar Pradesh 201301","A Block, Sector 63",28.628738,77.381515,ChIJf1OlYWLvDDkRGtkmxiV5f3o,https://www.google.com/maps/place/?q=place_id:ChIJf1OlYWLvDDkRGtkmxiV5f3o,part_397,2026-09-20 20:25:08
Advents Events & Research,Media and Event,Event management company,Event management company,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 88267 47278,http://www.adventsear.com/,5.0,200.0,"Dharampal Colony, E-111, Aali Vihar, Sarita Vihar, New Delhi, Delhi 110076","Aali Vihar, Sarita Vihar",28.523100099999997,77.3026896,ChIJ97hR5ADnDDkRDOq7corMZ_4,https://www.google.com/maps/place/?q=place_id:ChIJ97hR5ADnDDkRDOq7corMZ_4,part_397,2026-09-20 20:25:08
ON EVENTS & PROMOTIONS PVT LTD,Media and Event,Event management company,Event management company,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 11 4568 0732,N/A,4.2,39.0,"2nd Floor, 416, Nangloi Saiyed Rd, Bhera Enclave, Paschim Vihar, Delhi, 110087","Bhera Enclave, Paschim Vihar",28.6695612,77.0911127,ChIJGxC4HXAEDTkRYhSTMw5s9C8,https://www.google.com/maps/place/?q=place_id:ChIJGxC4HXAEDTkRYhSTMw5s9C8,part_397,2026-09-20 20:25:08
Wow Events Pvt Ltd,Media and Event,Event management company,Event management company,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 11 4248 8720,http://www.wowevents.in/,4.7,94.0,"11th Floor, Imperia Mindspace, Sector 62, Gurugram, Haryana 122098",Sector 62,28.4023416,77.0856754,ChIJwTYR-ZQCDTkRnKFPrfn20cI,https://www.google.com/maps/place/?q=place_id:ChIJwTYR-ZQCDTkRnKFPrfn20cI,part_397,2026-09-20 20:25:08
Eventales Designs Pvt. Ltd. | Luxury and Corporate Event Management Company in Delhi NCR,Media and Event,Event management company,Event management company,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 99100 74464,https://eventales.com/,5.0,76.0,"Khasra No. 401, Second Floor, Kaluram Market, Mehrauli-Gurgaon Rd, Ghitorni, New Delhi, Delhi 110030",Ghitorni,28.4933728,77.1457819,ChIJ5ZIcao4fDTkRLoS_sA2d_rM,https://www.google.com/maps/place/?q=place_id:ChIJ5ZIcao4fDTkRLoS_sA2d_rM,part_397,2026-09-20 20:25:08
Nirakar Advertising & Entertainment India,Media and Event,Event management company,"Event management company, Digital printing service, Event planner",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 78278 89074,N/A,5.0,5.0,"DSIDC Shed, 1 block, 1/8, Resettlement Colony, Khichripur, New Delhi, Delhi, 110091","Resettlement Colony, Khichripur",28.6172337,77.3200203,ChIJ83fDz1TlDDkRFjXWM6QRxdY,https://www.google.com/maps/place/?q=place_id:ChIJ83fDz1TlDDkRFjXWM6QRxdY,part_397,2026-09-20 20:25:08
