business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sabji Mandi,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,4.1,,"G287+FWG, Birpur, Bihar 854340",847451,26.5161818,87.01482469999999,ChIJy0enMcgF7zkRTeQq93JFKBw,https://www.google.com/maps/place/?q=place_id:ChIJy0enMcgF7zkRTeQq93JFKBw,part_397,2026-09-20 20:25:19
HAQUE MARKETPLACE,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 80029 26926,N/A,4.6,,"Ward no02, Balbhadarpur, Bihar 854339",847451,26.461008999999997,87.0375162,ChIJrdxTTykH7zkRM3Tmrmw6oFw,https://www.google.com/maps/place/?q=place_id:ChIJrdxTTykH7zkRM3Tmrmw6oFw,part_397,2026-09-20 20:25:20
Nunu Baba Bajar Pratappur,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,4.2,,"Unnamed Road, Barhakurba, Daparkha, Bihar 852139",847451,26.1490211,86.9022052,ChIJLW4vhSxN7jkRgD9z0lQFHJA,https://www.google.com/maps/place/?q=place_id:ChIJLW4vhSxN7jkRgD9z0lQFHJA,part_397,2026-09-20 20:25:20
Quarter Chowk Madhubani,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 62069 12408,N/A,4.2,,"82Q4+78J, Madhubani, Dodra, Bihar 852125",847451,26.3382008,87.0057787,ChIJqf1rS0ap7zkRvCPBGqEgWKw,https://www.google.com/maps/place/?q=place_id:ChIJqf1rS0ap7zkRvCPBGqEgWKw,part_397,2026-09-20 20:25:20
Sabji Mandi,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,5.0,,"H84W+V6W, Bansgaon, Balua Urf Gopalpur, Uttar Pradesh 273403",847451,26.557258299999997,83.3458387,ChIJY_YHYwBpkTkRqsZF1-CRCso,https://www.google.com/maps/place/?q=place_id:ChIJY_YHYwBpkTkRqsZF1-CRCso,part_397,2026-09-20 20:25:20
Parayahi village market,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,3.6,,"72G5+XGH, Pratapganj, Bihar 852137",847451,26.2774359,87.0088652,ChIJc7qma8Su7zkRG5UeKVbDm-Y,https://www.google.com/maps/place/?q=place_id:ChIJc7qma8Su7zkRG5UeKVbDm-Y,part_397,2026-09-20 20:25:21
AKBARI MANDI TARDERS,Wholesale Market / Mandi,Spices Wholesaler,Spices Wholesaler,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",0321 7534923,N/A,4.1,,"Circular Rd, Akbari Mandi Walled City of Lahore, Lahore, 54000, Pakistan",Akbari Mandi Walled City of Lahore,31.5789442,74.3247318,ChIJsWeTiD8bGTkRTQ6IYF5PnnI,https://www.google.com/maps/place/?q=place_id:ChIJsWeTiD8bGTkRTQ6IYF5PnnI,part_397,2026-09-20 20:25:21
Simrahi Zeromile,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 74808 57314,N/A,4.0,,"Birpur - Madhepura - Bihpur Rd, Simrahi Bazar, Bihar 852111",847451,26.3097304,86.84479879999999,ChIJNX6uoWtU7jkRxKZoJMaaglo,https://www.google.com/maps/place/?q=place_id:ChIJNX6uoWtU7jkRxKZoJMaaglo,part_397,2026-09-20 20:25:21
Rampara Chowk Market AR,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,3.8,,"GHQC+6QJ, Rajendra Prasad Path, Hariganj Mohalla, Rampara, Katihar, Bihar 854105",Hariganj Mohalla,25.5372998,87.5795462,ChIJry4nD3ip-jkRj5EkpZPYTls,https://www.google.com/maps/place/?q=place_id:ChIJry4nD3ip-jkRj5EkpZPYTls,part_397,2026-09-20 20:25:21
Fruits mandi manigram,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,,,"JFFF+8XG, Tilottama, Lumbini Province 32903, Nepal",Manigram,27.6233185,83.47495459999999,ChIJSxh5dACFljkRJbThWOJCHaQ,https://www.google.com/maps/place/?q=place_id:ChIJSxh5dACFljkRJbThWOJCHaQ,part_397,2026-09-20 20:25:21
Pappu Trading Company,Wholesale Market / Mandi,Fruit and vegetable store,"Fruit and vegetable store, Vegetable wholesale market",847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 94152 06678,N/A,5.0,,"Kachhawa Rd, Thathra, Domaila, Thatra, Uttar Pradesh 221313",Thathra,25.2692493,82.7156668,ChIJJRTRL3rFjzkR2IvlUQYUCD8,https://www.google.com/maps/place/?q=place_id:ChIJJRTRL3rFjzkR2IvlUQYUCD8,part_397,2026-09-20 20:25:21
Panapur Bazaar,Wholesale Market / Mandi,Market,Market,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",+91 95259 47016,https://www.krnitesh.xyz/,4.0,,"Turki, Bihar 841417",847451,26.127315199999998,84.8558312,ChIJQWuM5QbOkjkRahmtsD4dxvA,https://www.google.com/maps/place/?q=place_id:ChIJQWuM5QbOkjkRahmtsD4dxvA,part_397,2026-09-20 20:25:21
Vegetable mandi,Wholesale Market / Mandi,Grocery store,Grocery store,847451,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"KUNAUALI BAZAR SO, Dagmara, KAMALPUR",N/A,N/A,5.0,,"W57M+JHX, Jakhi Bigha, Dehri, Bihar 821305",Jakhi Bigha,24.9141101,84.1839974,ChIJS6r8ZACvjTkRsCUnsbBBEw0,https://www.google.com/maps/place/?q=place_id:ChIJS6r8ZACvjTkRsCUnsbBBEw0,part_397,2026-09-20 20:25:21
