business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kanhaiya bhaiya Fitness centre,Gym and Fitness Center,Gym,Gym,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",N/A,N/A,,,"4JF3+8RR, Supaul, Bihar 852131",847452,26.123371799999997,86.6045134,ChIJu-OUWQBD7jkRGwO1xaCS7rM,https://www.google.com/maps/place/?q=place_id:ChIJu-OUWQBD7jkRGwO1xaCS7rM,part_397,2026-09-20 20:25:31
Guru Kumar,Gym and Fitness Center,Fitness center,Fitness center,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",+91 90314 59665,N/A,5.0,1.0,"Guru Kumar, Majari, Bihar 847452",847452,26.3149934,86.6211599,ChIJn36VAclf7jkRBGhknWKChdw,https://www.google.com/maps/place/?q=place_id:ChIJn36VAclf7jkRBGhknWKChdw,part_397,2026-09-20 20:25:31
Dk dance studio (supaul)💃bihar,Gym and Fitness Center,Fitness center,Fitness center,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",N/A,N/A,4.3,3.0,"Station Rd, Bankers Colony, Supaul, Bihar 852131",Bankers Colony,26.1158795,86.6018612,ChIJ6XJMzsRD7jkRHEYDqZNDxoY,https://www.google.com/maps/place/?q=place_id:ChIJ6XJMzsRD7jkRHEYDqZNDxoY,part_397,2026-09-20 20:25:31
DRAGON KARATE ACADEMY SUPAUL,Gym and Fitness Center,Karate club,Karate club,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",+91 92413 06312,https://www.instagram.com/dragon_karate_academy_supaul/,4.9,44.0,"ward no-07, Chakla Nirmali, near SBI bank, Supaul, Bihar 852131",847452,26.1181171,86.60473119999999,ChIJXfxZ--RD7jkR7fyOVKbs2HE,https://www.google.com/maps/place/?q=place_id:ChIJXfxZ--RD7jkR7fyOVKbs2HE,part_397,2026-09-20 20:25:31
NITISH KUMAR,Gym and Fitness Center,Fitness center,Fitness center,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",+91 86175 33917,N/A,,,"Bhaptiyahi, Garhia, Bihar 852105",847452,26.301878,86.734248,ChIJebLHQdJZ7jkRTsCpDu5Wnkg,https://www.google.com/maps/place/?q=place_id:ChIJebLHQdJZ7jkRTsCpDu5Wnkg,part_397,2026-09-20 20:25:31
Vijay Prasad Gupta,Gym and Fitness Center,Fitness center,Fitness center,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",+91 99347 12690,N/A,3.0,2.0,"Bhaptiyahi, Garhia, Bihar 852105",847452,26.297706599999998,86.736023,ChIJt3d0Kv9Z7jkRJzZMIoEv9Ik,https://www.google.com/maps/place/?q=place_id:ChIJt3d0Kv9Z7jkRJzZMIoEv9Ik,part_397,2026-09-20 20:25:31
The Top gym,Gym and Fitness Center,Fitness center,Fitness center,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",N/A,N/A,4.7,10.0,"CVW7+W3J, Bikram, Khuraitha, Bihar 801104",847452,25.4473396,84.8626488,ChIJ_aKz2e9TjTkRKR23Yqqw_bI,https://www.google.com/maps/place/?q=place_id:ChIJ_aKz2e9TjTkRKR23Yqqw_bI,part_397,2026-09-20 20:25:31
STRENGTH ZONE(GYM),Gym and Fitness Center,Gym,Gym,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",N/A,N/A,4.8,29.0,"BARA, PO+PS, Guraru, Bihar 824118",847452,24.807451699999998,84.7955047,ChIJaQEljb_XjDkRkEapyIgjdaY,https://www.google.com/maps/place/?q=place_id:ChIJaQEljb_XjDkRkEapyIgjdaY,part_397,2026-09-20 20:25:31
HS FITNESS GYM,Gym and Fitness Center,Fitness center,Fitness center,847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",+91 83401 20347,N/A,4.2,58.0,"Basant Road, VIP Chowk, Garkha, Bibipur, Bihar 841311",VIP Chowk,25.8315894,84.8751668,ChIJ_xxA4KWzkjkRyHEKkkIemdY,https://www.google.com/maps/place/?q=place_id:ChIJ_xxA4KWzkjkRyHEKkkIemdY,part_397,2026-09-20 20:25:32
Sai Sports Corporation | Gym Equipment Wholesaler,Gym and Fitness Center,Fitness Equipment Wholesaler,"Fitness Equipment Wholesaler, Vitamin & supplements store",847452,Bihar circle,"East Region, Bhagalpur",Saharsa Division,"Sarojabela, Nirmali SO, Parikonch",+91 91629 04555,N/A,4.7,29.0,"Plot No. 1613, Sita Nandan, Gola Rd, opp. Shekhar Super Market, near ICICI Bank, Patna, Bihar 801503","Shashwat Vihar, Vivek Vihar Colony",25.6203421,85.0557468,ChIJbW5TjdtX7TkR_d77hsoGLi8,https://www.google.com/maps/place/?q=place_id:ChIJbW5TjdtX7TkR_d77hsoGLi8,part_397,2026-09-20 20:25:33
