business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The umdaah biryani shop,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.7,19.0,"Railway Station Approach Rd, Bangali Tola, Samastipur, Bihar 848101",Bangali Tola,25.8599954,85.7869517,ChIJu8M-hx2R7TkRQQhNaIvqE2w,https://www.google.com/maps/place/?q=place_id:ChIJu8M-hx2R7TkRQQhNaIvqE2w,part_397,2026-09-20 20:25:59
Biryani Junction & Shawarma Hut,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Chinese restaurant, Hamburger restaurant, Momo restaurant, North Indian restaurant, Sandwich shop, Shawarma restaurant",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 89864 06004,N/A,4.2,149.0,"C/o- Sitaram Mishra, Commerce Centre, Tirhut Academy Rd, Kashipur, Samastipur, Bihar 848101",Kashipur,25.8585346,85.7730401,ChIJP1bvhk-R7TkR0ActjhN3ErY,https://www.google.com/maps/place/?q=place_id:ChIJP1bvhk-R7TkR0ActjhN3ErY,part_397,2026-09-20 20:25:59
Delhi Darbar Chicken Biryani,Non-Veg Biryani Restaurant,Restaurant,Restaurant,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 81910 14931,N/A,4.7,3.0,"Shop No. 01, Station Gate Number 02, Bangali Tola, Samastipur, Bihar 848101",Bangali Tola,25.8545128,85.7806099,ChIJAesv9j2R7TkRwP2Ig5j5u_s,https://www.google.com/maps/place/?q=place_id:ChIJAesv9j2R7TkRwP2Ig5j5u_s,part_397,2026-09-20 20:25:59
Biryani darbar,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 80924 04018,N/A,4.0,143.0,"Samastipur-Hansa-Manwara Rd, Ramnagar, Bihar 848102",Ramnagar,25.867569999999997,85.78712829999999,ChIJyRbgDReR7TkR482nZUh9qXM,https://www.google.com/maps/place/?q=place_id:ChIJyRbgDReR7TkR482nZUh9qXM,part_397,2026-09-20 20:25:59
New Zaika Restaurant,Non-Veg Biryani Restaurant,Family restaurant,"Family restaurant, Restaurant",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 99391 31161,N/A,3.8,330.0,"Tajpur Rd, infront of, Proffessor Colony, Kashipur, Samastipur, Bihar 848101","infront of, Proffessor Colony, Kashipur",25.8655182,85.77435799999999,ChIJVZwdyJSR7TkRFEa71sVHgOU,https://www.google.com/maps/place/?q=place_id:ChIJVZwdyJSR7TkRFEa71sVHgOU,part_397,2026-09-20 20:25:59
Biryanibaaz,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,5.0,6.0,"VQ7H+CWW, Kashipur, Samastipur, Bihar 848101",Kashipur,25.8640586,85.7794217,ChIJ99KFCwCR7TkRBk91onULg-8,https://www.google.com/maps/place/?q=place_id:ChIJ99KFCwCR7TkRBk91onULg-8,part_397,2026-09-20 20:25:59
Mezbani restaurant,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.6,93.0,"santhaliya Complex, Gola Rd, Gudari Bazar, Samastipur, Bihar 848101",Gudari Bazar,25.862902199999997,85.7872058,ChIJAUp4BwCR7TkRBnDV8vbNGOs,https://www.google.com/maps/place/?q=place_id:ChIJAUp4BwCR7TkRBnDV8vbNGOs,part_397,2026-09-20 20:25:59
Manoj Mutton House,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Dhaba",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 72776 90692,N/A,4.2,74.0,"Vishwakarma Chowk, Samastipur Road, Mohanpur, Samastipur, Bihar 848103",848101,25.8312913,85.7583372,ChIJ5XkyNgCb7TkRsGUrnIExpKM,https://www.google.com/maps/place/?q=place_id:ChIJ5XkyNgCb7TkRsGUrnIExpKM,part_397,2026-09-20 20:25:59
"Amarpali hotel, Samastipur",Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Dhaba, Takeout restaurant",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.4,,"Station chowk, Bengali Tola Rd, near Gandhi murti, Samastipur, Bihar 848101",Bangali Tola,25.8598327,85.78732819999999,ChIJp82LLjWR7TkRXq3zCcLtcPI,https://www.google.com/maps/place/?q=place_id:ChIJp82LLjWR7TkRXq3zCcLtcPI,part_397,2026-09-20 20:26:01
Biryani Mahal,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,3.0,,"Nayanagar - Dudhpura Rd, Uttarayan, Nayanager, Samastipur, Bihar 848101","Uttarayan, Nayanager",25.8595521,85.7797154,ChIJqZMMkRWR7TkRfNNWE6CN42c,https://www.google.com/maps/place/?q=place_id:ChIJqZMMkRWR7TkRfNNWE6CN42c,part_397,2026-09-20 20:26:01
