business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Chandra Mani(Child Specialist),Pediatrician and Child Clinic,Pediatrician,Pediatrician,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.7,13.0,"WEST OF, RNAR College Rd, Srikrishnapuri, Samastipur, Musa Pur, Bihar 848101",Srikrishnapuri,25.8602147,85.768954,ChIJSdGhiCib7TkRRipAhMDyk8c,https://www.google.com/maps/place/?q=place_id:ChIJSdGhiCib7TkRRipAhMDyk8c,part_397,2026-09-20 20:26:05
Samastipur child care samastipur dr Sonali supriya,Pediatrician and Child Clinic,Neonatal physician,Neonatal physician,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,5.0,4.0,"VQ4F+3QC, Vivek Vihar Rd, Vivek Vihar Colony, Samastipur, Bihar 848101",Vivek Vihar Colony,25.8551766,85.7743869,ChIJSTKndgKR7TkRcYYlVpoqFyY,https://www.google.com/maps/place/?q=place_id:ChIJSTKndgKR7TkRcYYlVpoqFyY,part_397,2026-09-20 20:26:05
samastipur child care samastipur,Pediatrician and Child Clinic,Neonatal physician,Neonatal physician,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,5.0,3.0,"VQ4F+3Q6, Vivek Vihar Rd, Vivek Vihar Colony, Samastipur, Bihar 848101",Vivek Vihar Colony,25.855166099999998,85.7743836,ChIJGwGK76iR7TkRi420Vi-GTdQ,https://www.google.com/maps/place/?q=place_id:ChIJGwGK76iR7TkRi420Vi-GTdQ,part_397,2026-09-20 20:26:05
Dr. Anil Kumar,Pediatrician and Child Clinic,Child health care center,Child health care center,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 88090 87790,N/A,4.6,10.0,"Bal Gopal Hospital, Adarsh Nagar, Samastipur, Bihar 848101",Adarsh Nagar,25.8516598,85.7721751,ChIJu4mboxWR7TkRmuqbA3I_cH4,https://www.google.com/maps/place/?q=place_id:ChIJu4mboxWR7TkRmuqbA3I_cH4,part_397,2026-09-20 20:26:05
Shekhar Hospital & Child Care,Pediatrician and Child Clinic,Pediatrician,Pediatrician,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,5.0,2.0,"SH 50,Azad Nagar, Near Ujjiwan Bank,Singhia Khurd,Bhamrupur,Bihar,848101,India SH 50, Azad Nagar Rd, near Ujjiwan Bank, Singhia Khurd, Bhamrupur, Bihar 848101","Ashok Vihar, Singhia Khurd",25.8521729,85.773822,ChIJT4ukGpuQ7TkRENRlhACUqdY,https://www.google.com/maps/place/?q=place_id:ChIJT4ukGpuQ7TkRENRlhACUqdY,part_397,2026-09-20 20:26:05
Child Hospital Dr. A K Shahu,Pediatrician and Child Clinic,Children's hospital,Children's hospital,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,3.8,6.0,"VQ4H+C77, Ward Number 14, Uttarayan, Kashipur, Samastipur, Bihar 848101","Ward Number 14, Uttarayan, Kashipur",25.8565902,85.77874349999999,ChIJbRR3EgCR7TkRDU3Xu8SjjGU,https://www.google.com/maps/place/?q=place_id:ChIJbRR3EgCR7TkRDU3Xu8SjjGU,part_397,2026-09-20 20:26:05
Muskan Children Care & Immunization Centre,Pediatrician and Child Clinic,Children's hospital,Children's hospital,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 93043 17482,N/A,4.0,10.0,"VQ5C+GMC, Srikrishnapuri, Samastipur, Musa Pur, Bihar 848101",Srikrishnapuri,25.8588161,85.7716339,ChIJ87-GKp-Q7TkR93iDCDVIjuo,https://www.google.com/maps/place/?q=place_id:ChIJ87-GKp-Q7TkR93iDCDVIjuo,part_397,2026-09-20 20:26:05
Shyam Shishu Sadan. Dr. Hemant Thakur,Pediatrician and Child Clinic,Private hospital,Private hospital,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.1,19.0,"Adarsh Nagar, Samastipur, Bihar 848101",Adarsh Nagar,25.8519249,85.770185,ChIJJTGb7pyQ7TkRZJU4H8-QC9E,https://www.google.com/maps/place/?q=place_id:ChIJJTGb7pyQ7TkRZJU4H8-QC9E,part_397,2026-09-20 20:26:05
Sriram hospital and child care,Pediatrician and Child Clinic,Pediatrician,Pediatrician,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,,,"VQ4G+9X7, Dr RP Mishra Rd, Ward Number 13, Uttarayan, Kashipur, Samastipur, Bihar 848101","Ward Number 13, Uttarayan, Kashipur",25.855908799999998,85.7774152,ChIJg8U5OQCR7TkRYGqveRyrZtM,https://www.google.com/maps/place/?q=place_id:ChIJg8U5OQCR7TkRYGqveRyrZtM,part_397,2026-09-20 20:26:05
Aayush Bachcha (Kids) Hospital,Pediatrician and Child Clinic,Hospital,Hospital,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 70709 20235,https://ayushbacchahospital.com/,5.0,3.0,"VQ4G+QR8, Ward Number 14, Uttarayan, Kashipur, Samastipur, Bihar 848101","Ward Number 14, Uttarayan, Kashipur",25.8569143,85.7770926,ChIJO-JxRACR7TkR6eKKBVU08oY,https://www.google.com/maps/place/?q=place_id:ChIJO-JxRACR7TkR6eKKBVU08oY,part_397,2026-09-20 20:26:05
Dr Soumendu Mukherjee Clinic,Pediatrician and Child Clinic,Doctor,Doctor,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 72578 05914,N/A,4.3,44.0,"Ward No - 17, Gudari Bazar, Samastipur, Bihar 848101","Ward No-17, Gudari Bazar",25.8627197,85.78422049999999,ChIJ9e5hLr6Q7TkRtKJTMABuB8U,https://www.google.com/maps/place/?q=place_id:ChIJ9e5hLr6Q7TkRtKJTMABuB8U,part_397,2026-09-20 20:26:05
