business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ridhi sidhi plastic,Plastic Molding Manufacturer,Plastic Products Supplier,Plastic Products Supplier,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,5.0,1.0,"Suraj Market, Gudri Bazar Rd, Ward No - 17, Gudari Bazar, Samastipur, Bihar 848101","Ward No-17, Gudari Bazar",25.8629824,85.784999,ChIJKRZ1rHiR7TkRkz5Vvdclb7Q,https://www.google.com/maps/place/?q=place_id:ChIJKRZ1rHiR7TkRkz5Vvdclb7Q,part_397,2026-09-20 20:26:26
Shaining star electric and awork shop,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,,,"Samastipur-Shivajinagar-Baheri Rd, Daudpur, Manipur, Bihar 848104",848101,25.8670464,85.80517929999999,ChIJcUytQXqR7TkRe2Ky5CBVRyE,https://www.google.com/maps/place/?q=place_id:ChIJcUytQXqR7TkRe2Ky5CBVRyE,part_397,2026-09-20 20:26:26
Kamal plastic,Plastic Molding Manufacturer,Home goods store,Home goods store,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,,,"VQ6M+32Q, Railway Colony, Samastipur, Bihar 848101",Railway Colony,25.8601632,85.78254679999999,ChIJ-3xyawCR7TkRNw4JUlQwOrI,https://www.google.com/maps/place/?q=place_id:ChIJ-3xyawCR7TkRNw4JUlQwOrI,part_397,2026-09-20 20:26:26
Rajshri Plastiwood,Plastic Molding Manufacturer,Door manufacturer,Door manufacturer,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.0,,"Bazar Samiti Rd, Mathurapur, Samastipur, Bihar 848102",Mathurapur,25.874454999999998,85.79118729999999,ChIJpxunqm2R7TkRkxJFmPwD2nU,https://www.google.com/maps/place/?q=place_id:ChIJpxunqm2R7TkRkxJFmPwD2nU,part_397,2026-09-20 20:26:27
Dayajee industries,Plastic Molding Manufacturer,Plastic resin manufacturer,Plastic resin manufacturer,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 90318 96281,N/A,4.9,,"Jagdawndih, Bihar 821305",848101,24.9623955,84.091777,ChIJG1DUPqCxjTkRlYr-bieZW3w,https://www.google.com/maps/place/?q=place_id:ChIJG1DUPqCxjTkRlYr-bieZW3w,part_397,2026-09-20 20:26:27
DEEP PLASTICS,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 253 660 2055,http://deepplastics.in/,4.1,,"K-25, MIDC Ambad, Nashik, Maharashtra 422010",MIDC Ambad,19.9576436,73.7529347,ChIJI5jSt0yT3TsRTN_CNaGe8cI,https://www.google.com/maps/place/?q=place_id:ChIJI5jSt0yT3TsRTN_CNaGe8cI,part_397,2026-09-20 20:26:27
Deep Plastics Industries,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Mold maker, Toolroom",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 92251 19070,https://www.deepplastic.com/,4.7,,"Unit No. 3-6, Building No. 2, Jai Chamundeshwari Industrial Complex Naik Pada, Near Ganesh Mandir Waliv, Vasai East, Palghar, Maharashtra 401208","Waliv, Golani Naka, Vasai East",19.4159415,72.8666877,ChIJu89J4Iip5zsRSZNojw6UBno,https://www.google.com/maps/place/?q=place_id:ChIJu89J4Iip5zsRSZNojw6UBno,part_397,2026-09-20 20:26:27
JJ Plastic Pvt Ltd,Plastic Molding Manufacturer,Manufacturer,Manufacturer,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,5.0,,"W284+2M, Puspalpur, Madhesh Province 45600, Nepal",848101,26.915007,86.006727,ChIJtWh7YwAT7DkRXHJjaDlfZzk,https://www.google.com/maps/place/?q=place_id:ChIJtWh7YwAT7DkRXHJjaDlfZzk,part_397,2026-09-20 20:26:27
Utkarsh Industries,Plastic Molding Manufacturer,Plastic resin manufacturer,"Plastic resin manufacturer, Plastic Products Supplier",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 99901 20899,N/A,5.0,,"RG3C+Q7F, NH727, Motihari - Bettiah Rd, near Tata Motors, Bettiah, Bihar 845438",Banuchapar,26.8019,84.5384404,ChIJ52pdk7RukzkRCuvr0-VWatQ,https://www.google.com/maps/place/?q=place_id:ChIJ52pdk7RukzkRCuvr0-VWatQ,part_397,2026-09-20 20:26:27
Kruger Industries,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Plastic fabrication company, Plastic Products Supplier",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 81233 42780,https://www.kruger.industries/,4.4,,"2nd Phase, 42, E1 - E4, 2nd Main Rd, 2nd Phase, Peenya Ind Area, Bengaluru, Karnataka 560058","2nd Phase, Peenya Ind Area",13.0302236,77.5156153,ChIJLcgFXxk9rjsRF3RbY-mptNg,https://www.google.com/maps/place/?q=place_id:ChIJLcgFXxk9rjsRF3RbY-mptNg,part_397,2026-09-20 20:26:27
