business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hassan enterprises (Johnson tiles),Tile and Marble Showroom,Marble supplier,Marble supplier,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 96937 13368,N/A,4.5,,"VQ99+GW3 Fiya colony, Pusa faram road, Dharampur, Samastipur, Bihar 848101",Dharampur,25.8688288,85.7699136,ChIJV_ixnVGR7TkRfGdF-_tZsaw,https://www.google.com/maps/place/?q=place_id:ChIJV_ixnVGR7TkRfGdF-_tZsaw,part_397,2026-09-20 20:26:11
P.M.Marbles,Tile and Marble Showroom,Home goods store,Home goods store,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 93860 75678,N/A,4.6,,"Bazar Samiti, Samastipur, Bihar 848102",Bazar Samiti,25.874927099999997,85.7909559,ChIJ3zDxl8iQ7TkRzSU0opvzxwU,https://www.google.com/maps/place/?q=place_id:ChIJ3zDxl8iQ7TkRzSU0opvzxwU,part_397,2026-09-20 20:26:11
Anshu Hardware And Gautam Marble Tiles,Tile and Marble Showroom,Hardware store,Hardware store,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 78707 98242,N/A,5.0,,"Shiv Mandir, Tajpur Road Samastipur Dudhpura, Samastipur, Bihar 848101",Sant Nagar,25.8668552,85.7611553,ChIJ7y3MAd-b7TkR0GqcL710zQA,https://www.google.com/maps/place/?q=place_id:ChIJ7y3MAd-b7TkR0GqcL710zQA,part_397,2026-09-20 20:26:11
Ashirwad Furnishing Stores,Tile and Marble Showroom,Tile store,Tile store,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.6,,"By pass road, ghat, Magardahi, Samastipur, Bihar 848101",Magardahi,25.8642385,85.7871509,ChIJpRFlr1CR7TkRsgYvIjg-fNs,https://www.google.com/maps/place/?q=place_id:ChIJpRFlr1CR7TkRsgYvIjg-fNs,part_397,2026-09-20 20:26:11
Orientbell Tiles Boutique - Shiv Parwati Tiles & Sanitory Ent.,Tile and Marble Showroom,Tile store,"Tile store, Home improvement store, Tile contractor, Tile manufacturer",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 88793 46792,https://stores.orientbell.com/orientbell-tiles-boutique-shiv-parwati-tiles-sanitory-ent-shiv-parwati-tiles-sanitory-ent-tile-shop-mohanpur-chowk-samastipur-125205/Home,4.9,,"Ground Floor Jitwarpur, Mohanpur Chowk, near Shiv Mandir, Samastipur, Bihar 848134","Jitwarpur Railway Colony, Jitwarpur",25.8524,85.80382,ChIJlx8MImSR7TkRRknRI-CBJ4w,https://www.google.com/maps/place/?q=place_id:ChIJlx8MImSR7TkRRknRI-CBJ4w,part_397,2026-09-20 20:26:11
GALAXY MARBLE TILES,Tile and Marble Showroom,Marble supplier,Marble supplier,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 87894 45464,N/A,3.7,,"Samastipur-Shivajinagar-Baheri Rd, Ramnagar, ILMASNAGAR, Akbarpur Pitaunjia, Bihar 848102",Ramnagar,25.867811,85.7934207,ChIJuYtDTKeR7TkR1NHFuaQ3Pck,https://www.google.com/maps/place/?q=place_id:ChIJuYtDTKeR7TkR1NHFuaQ3Pck,part_397,2026-09-20 20:26:11
"Balaji Marble, Tajpur Road",Tile and Marble Showroom,Tile store,Tile store,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 75491 11222,N/A,,,"Tajpur Rd, Samastipur, Dudhpura, Bihar 848104",848101,25.8658391,85.7483428,ChIJ35Eah-Sb7TkRWcDwgy6cG_k,https://www.google.com/maps/place/?q=place_id:ChIJ35Eah-Sb7TkRWcDwgy6cG_k,part_397,2026-09-20 20:26:11
"Gresbond by Kajaria - Tile Adhesives, Grouts And Cleaners",Tile and Marble Showroom,Tile store,"Tile store, Building materials supplier, Flooring store, Adhesives & Glue Supplier",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 75491 11222,https://dealers.gresbondbykajaria.com/gresbond-in-bihar-samastipur-jail-chowk-59610,,,"Balaji Marbles, Jail Chowk, Railway Colony, Bajopur, Samastipur, Bihar 848104",Railway Colony,25.858610799999997,85.7852995,ChIJeyW_DSqR7TkR61AAv-U7s5E,https://www.google.com/maps/place/?q=place_id:ChIJeyW_DSqR7TkR61AAv-U7s5E,part_397,2026-09-20 20:26:11
Triloki Tiles And Marble,Tile and Marble Showroom,Hardware store,Hardware store,848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",+91 87090 84628,N/A,4.4,,"Dalsinghsarai, Danichowk, Bihar 848114",848101,25.6694043,85.8221336,ChIJWftZSr6J7TkRu4bOkU7oi6Q,https://www.google.com/maps/place/?q=place_id:ChIJWftZSr6J7TkRu4bOkU7oi6Q,part_397,2026-09-20 20:26:11
Shree marble world,Tile and Marble Showroom,Marble supplier,"Marble supplier, Home goods store",848101,Bihar Circle,"East Region, Bhagalpur",Samastipur Division,"Samastipur HO, BAiloth BO, Begampur BO",N/A,N/A,4.7,,"Q26J+6M4, Panchupur, Rosera, Bihar 848210",Panchupur,25.7605148,86.0317038,ChIJu1KXCXjx7TkRqp3awiyBsCA,https://www.google.com/maps/place/?q=place_id:ChIJu1KXCXjx7TkRqp3awiyBsCA,part_397,2026-09-20 20:26:11
