business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Devansh Child Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",N/A,N/A,4.2,9.0,"Dalsinghsarai, Bihar 848114",848114,25.670267,85.84604209999999,ChIJMbFQsQzx7TkR1S8SwMKMDoA,https://www.google.com/maps/place/?q=place_id:ChIJMbFQsQzx7TkR1S8SwMKMDoA,part_397,2026-09-20 20:27:53
Laxmi Hospital,Multispeciality Hospital,Private hospital,Private hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",+91 91027 30057,N/A,5.0,141.0,"दलसिंह सराय - शाहपुर - संजात रोड, Dalsinghsarai, Dalsingh Sarai, Bihar 848114",848114,25.6700241,85.8453756,ChIJT7oZBViJ7TkR2ysyV8s6Mcc,https://www.google.com/maps/place/?q=place_id:ChIJT7oZBViJ7TkR2ysyV8s6Mcc,part_397,2026-09-20 20:27:53
Life line Hospital (multi-speciality) chakbiduliya,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",N/A,N/A,5.0,2.0,"MW3M+CGX, Khas Tabhaka South, Bihar 848114",848114,25.6536147,85.93386129999999,ChIJOQ6oHgD17TkRVCoQJjKr3_A,https://www.google.com/maps/place/?q=place_id:ChIJOQ6oHgD17TkRVCoQJjKr3_A,part_397,2026-09-20 20:27:53
Getwell hospital,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",+91 72500 66636,N/A,3.7,3.0,"near manokamna mandir, near Sahay sah thakurwadi, Dalsinghsarai, Bihar 848114",848114,25.669076999999998,85.8301621,ChIJx7AhMuKJ7TkRT6VO-0LWMwE,https://www.google.com/maps/place/?q=place_id:ChIJx7AhMuKJ7TkRT6VO-0LWMwE,part_397,2026-09-20 20:27:53
DEORAJ Multispeciality Hospital and Trauma Centre,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",N/A,N/A,,,"NH 28, near Coldstore, DM Chalk, Satan Pur, Ujiarpur, Bihar 848132",DM Chalk,25.7454149,85.78760869999999,ChIJM3UoJ9CP7TkRxl7MxEdwflU,https://www.google.com/maps/place/?q=place_id:ChIJM3UoJ9CP7TkRxl7MxEdwflU,part_397,2026-09-20 20:27:53
Ganga hospital,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",+91 85216 79101,N/A,3.4,51.0,"Hospital Rd, Dalsinghsarai, Gauspur Inaet, Bihar 848114",848114,25.6705942,85.8467048,ChIJ_9dMvWGJ7TkRGv8RJpS0MzU,https://www.google.com/maps/place/?q=place_id:ChIJ_9dMvWGJ7TkRGv8RJpS0MzU,part_397,2026-09-20 20:27:53
Rachna Hospital,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",+91 6278 295 118,N/A,3.6,11.0,"khutti gudam, Mansurchak Rd, Dalsinghsarai, Bihar 848114",848114,25.6678003,85.8405198,ChIJb88yyWWJ7TkRPynKqJ9E8yw,https://www.google.com/maps/place/?q=place_id:ChIJb88yyWWJ7TkRPynKqJ9E8yw,part_397,2026-09-20 20:27:53
Shri Hospital Dalsingsarai,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",+91 95724 63389,N/A,5.0,3.0,"Block Road, Dalsinghsarai, Bihar 848114",848114,25.671096,85.842114,ChIJXyAK5B-J7TkRKS-tBsVC9JE,https://www.google.com/maps/place/?q=place_id:ChIJXyAK5B-J7TkRKS-tBsVC9JE,part_397,2026-09-20 20:27:53
Aradhya Health Care,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",+91 79038 99810,N/A,5.0,10.0,"Anandi Bhavan, near Sail Ultrasound, Royal Colony, Dalsinghsarai, Bihar 848114",Royal Colony,25.669542699999997,85.83933619999999,ChIJ-8mccYKJ7TkRD35gB9bgA_o,https://www.google.com/maps/place/?q=place_id:ChIJ-8mccYKJ7TkRD35gB9bgA_o,part_397,2026-09-20 20:27:53
Sub Divisional Hospital Dalsinghsarai,Multispeciality Hospital,Hospital,Hospital,848114,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Akhtiarpur Khajuri BO, Ashinchak BO, BChaksekhu BO",N/A,N/A,3.0,17.0,"MRCV+4JF, Dalsinghsarai, Bihar 848114",848114,25.6703111,85.8440461,ChIJdZFdSGGJ7TkRzvoqhiOTA28,https://www.google.com/maps/place/?q=place_id:ChIJdZFdSGGJ7TkRzvoqhiOTA28,part_397,2026-09-20 20:27:53
