business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Meena Bhavan,Educational Consultant,Educational consultant,Educational consultant,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,N/A,,,"C/O Dhanraj Sah, rumali sah ka tola, near maa janki mandir, Ghoghraha, Bihar 848302",848125,26.0301603,85.7794878,ChIJ3fKPraO97TkRpPP22nbPEtE,https://www.google.com/maps/place/?q=place_id:ChIJ3fKPraO97TkRpPP22nbPEtE,part_397,2026-09-20 20:31:07
navmangalam global education,Educational Consultant,Educational consultant,"Educational consultant, Coaching Center, Education center, Educational institution",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 94700 69211,N/A,4.7,3.0,"Lakshmi market, Station Rd, Sujawalpur, Sakra, Bihar 843105",848125,25.9695988,85.565556,ChIJx7cwDeV17TkRCx7ihyTts00,https://www.google.com/maps/place/?q=place_id:ChIJx7cwDeV17TkRCx7ihyTts00,part_397,2026-09-20 20:31:07
PARIMILA GROUP OF EDUCATION,Educational Consultant,Educational consultant,"Educational consultant, Service establishment",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,N/A,,,"PARIMILA GROUP OF EDUCATION, 848125, India",848125,25.8904328,85.8070058,ChIJUw5xeGDLGa4RnnTmUk-FphQ,https://www.google.com/maps/place/?q=place_id:ChIJUw5xeGDLGa4RnnTmUk-FphQ,part_397,2026-09-20 20:31:07
मुफ्त शिक्षा,Educational Consultant,Educational consultant,Educational consultant,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 82947 76295,N/A,,,"राजेश्वरपुरम्, मुरौल, सादिकपुर, Basantpur Bakhari, Bihar 848125","राजेश्वरपुरम्, मुरौल, सादिकपुर",25.987544699999997,85.63320929999999,ChIJCWGEupOh7TkR2i2SLy6doIA,https://www.google.com/maps/place/?q=place_id:ChIJCWGEupOh7TkR2i2SLy6doIA,part_397,2026-09-20 20:31:07
Server Consultancy (Education/Jobs) pvt. ltd.,Educational Consultant,Educational consultant,"Educational consultant, Consultant",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 95345 35666,N/A,,,"North-East Corner of R.C.College, Sakra, Bihar 843104",848125,25.9713764,85.56816889999999,ChIJy_1lhix17TkR8c5mA9rLLg4,https://www.google.com/maps/place/?q=place_id:ChIJy_1lhix17TkR8c5mA9rLLg4,part_397,2026-09-20 20:31:07
Shiv Kumar,Educational Consultant,Educational consultant,"Educational consultant, Service establishment",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,N/A,,,"Shiv Kumar, 848125, India",848125,25.902053,85.59693759999999,ChIJpQb1OgV17TkRJG8po4vXoHk,https://www.google.com/maps/place/?q=place_id:ChIJpQb1OgV17TkRJG8po4vXoHk,part_397,2026-09-20 20:31:07
DeepGunj,Educational Consultant,Educational consultant,Educational consultant,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,https://deepgunj.com/,5.0,1.0,"At Kamal Market, Tola, Gayghat, Jarang East, Bihar 847107",Gayghat,26.133686599999997,85.6539554,ChIJB_PfLz6n7TkRCLcuGYJfzYQ,https://www.google.com/maps/place/?q=place_id:ChIJB_PfLz6n7TkRCLcuGYJfzYQ,part_397,2026-09-20 20:31:07
The Admission Hub,Educational Consultant,Educational consultant,Educational consultant,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 97719 15002,N/A,5.0,,"Army cantt road ,Circuit House Road, Railway Gumati, near Gobarsahi, Muzaffarpur, Bihar 842001",Shrirampuri,26.1160107,85.3626838,ChIJJ74T7vkR7TkR8VdWZ9h1UJs,https://www.google.com/maps/place/?q=place_id:ChIJJ74T7vkR7TkR8VdWZ9h1UJs,part_397,2026-09-20 20:31:08
कल्प एकेडमी,Educational Consultant,Educational consultant,"Educational consultant, Coaching Center, Education center, Social welfare center, Educational institution, Youth social services organization",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 91535 96715,N/A,3.6,8.0,"near MS Lautan Lautan, Harsinghpur, Bihar 843121",848125,25.9876769,85.58717999999999,ChIJHaXWHroK7TkRoQMCILp_6Dk,https://www.google.com/maps/place/?q=place_id:ChIJHaXWHroK7TkRoQMCILp_6Dk,part_397,2026-09-20 20:31:08
Moment Career Academy - Admission Consultants in Patna | Engineering | MBBS | BBOSE | B. Ed | B.Tech | BBA | BCA,Educational Consultant,Educational consultant,"Educational consultant, Education Councils & Boards Office, Consultant, Education, Employment center, Engineering consultant, Higher secondary school, Management school, Medical group",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 97987 00700,http://www.momentcareeracademy.com/,3.9,,"Park, J477+PF Patna, Bihar 48-B,Sahdeo Mahto Marg, Boring Rd, near Sk Puri, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.614297999999998,85.11374699999999,ChIJXzJBfiZZ7TkRMw1S2XHNjis,https://www.google.com/maps/place/?q=place_id:ChIJXzJBfiZZ7TkRMw1S2XHNjis,part_397,2026-09-20 20:31:08
