business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DILEEP STUDIOS🎙️,Photographers,Photography studio,Photography studio,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,N/A,5.0,1.0,"2M58+JF7, Sahuri, Bihar 848125",848125,26.0097669,85.6663844,ChIJe3-xWwCh7TkR2FEcIlBHWk0,https://www.google.com/maps/place/?q=place_id:ChIJe3-xWwCh7TkR2FEcIlBHWk0,part_397,2026-09-20 20:31:04
आदर्श प्रिंटिंग प्रेस & वीडियोग्राफी,Photographers,Photography studio,Photography studio,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,N/A,5.0,1.0,"XJGM+WQH, Rampur Bakhri, Bihar 848125",848125,25.977303799999998,85.63449059999999,ChIJP7eMVACh7TkRuRPWTqgFHIs,https://www.google.com/maps/place/?q=place_id:ChIJP7eMVACh7TkRuRPWTqgFHIs,part_397,2026-09-20 20:31:04
Happy Wedding Photography,Photographers,Photography studio,Photography studio,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 70794 77075,N/A,,,"POST OFFICE, VILLAGE, PS PIAR, MATLUPUR BLOCK, Bandra, Bihar 843115",MATLUPUR BLOCK,26.0363908,85.6236291,ChIJU0K8iASh7TkRoYmlGyAp6l8,https://www.google.com/maps/place/?q=place_id:ChIJU0K8iASh7TkRoYmlGyAp6l8,part_397,2026-09-20 20:31:04
Sangam Digital Studio,Photographers,Wedding photographer,Wedding photographer,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,N/A,,,"Pusa - Samastipur Rd, Saidpur, Bihar 848125",848125,26.0034483,85.6717405,ChIJfTnjOK-h7TkRIZ6njqyQAU8,https://www.google.com/maps/place/?q=place_id:ChIJfTnjOK-h7TkRIZ6njqyQAU8,part_397,2026-09-20 20:31:04
Photo Stat,Photographers,Photographer,Photographer,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 85818 93034,N/A,5.0,2.0,"01, Road, near Block, Kalyanpur, Samastipur, Bihar 848302",848125,25.9616105,85.78813819999999,ChIJfVyOn4GX7TkRDGp9ldEUQfg,https://www.google.com/maps/place/?q=place_id:ChIJfVyOn4GX7TkRDGp9ldEUQfg,part_397,2026-09-20 20:31:04
Ahan Video graphar,Photographers,Photography studio,Photography studio,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,http://www.youtube.com/c/AhanSharma,4.8,6.0,"Road, Madhopur, Kishanpur, Bihar 848133",848125,25.938180199999998,85.84577379999999,ChIJ1UahckCX7TkRTibnA_51NTY,https://www.google.com/maps/place/?q=place_id:ChIJ1UahckCX7TkRTibnA_51NTY,part_397,2026-09-20 20:31:04
Vivah Studio,Photographers,Photography service,"Photography service, Service establishment",848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 62040 67055,N/A,4.8,29.0,"Vivah Studio, 848125, India",848125,26.2555752,85.3181129,ChIJby0YnY797DkR-V5XK9E8Hjg,https://www.google.com/maps/place/?q=place_id:ChIJby0YnY797DkR-V5XK9E8Hjg,part_397,2026-09-20 20:31:04
Chitra Digital Communications,Photographers,Photography studio,Photography studio,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 82948 45100,N/A,,,"Ward-2, Hanuman Mandir, Sarmastpur, Bihar 843104",848125,25.958418299999998,85.5707154,ChIJlUPRxz917TkR8Mrf5MfHV6U,https://www.google.com/maps/place/?q=place_id:ChIJlUPRxz917TkR8Mrf5MfHV6U,part_397,2026-09-20 20:31:04
Studio Swaraj Palace,Photographers,Photographer,Photographer,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",N/A,https://www.justdial.com/Samastipur/Studio-Swaraj-Palace-Near-Hathi-Chowk-Pusa/9999P6274-6274-171201175307-Y1T1_BZDET?xid=U2FtYXN0aXB1ciBTdHVkaW8gU3dhcmFqIFBhbGFjZSBQdXNh,1.0,2.0,"near Hathi Chowk, Pusa Bazar, Madapur Chhapra, Bihar 848125",Pusa Bazar,25.994159,85.6621804,ChIJY1F-KMKh7TkRGYSlQcmt7Dc,https://www.google.com/maps/place/?q=place_id:ChIJY1F-KMKh7TkRGYSlQcmt7Dc,part_397,2026-09-20 20:31:04
Studio Chhaya Chhawi,Photographers,Photography studio,Photography studio,848125,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Balhajainarain BO, Dhobgama BO, Hajpurwa Karua BO",+91 97984 05140,N/A,4.7,12.0,"Station Rd, Sujawalpur, Majhaulia, Bihar 843104",848125,25.965109899999998,85.5649115,ChIJxRxPHyl17TkRKh-86BK59yc,https://www.google.com/maps/place/?q=place_id:ChIJxRxPHyl17TkRKh-86BK59yc,part_397,2026-09-20 20:31:04
