business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Rama Palace Guest House & Banquet Hall,Banquet Hall,Hotel,Hotel,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,4.3,26.0,"Tuna Babu Plaza, near Bihar Gramin Bank, Bakhri Bazar, Bihar 848201",Bakhri Bazar,25.5971121,86.2616784,ChIJwXHiqIn_8TkRnKFBtHGLBVs,https://www.google.com/maps/place/?q=place_id:ChIJwXHiqIn_8TkRnKFBtHGLBVs,part_397,2026-09-20 20:36:23
VEDIC GRAM,Banquet Hall,Banquet hall,"Banquet hall, Resort hotel",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 91624 87181,"https://youtube.com/@vedicgram533%20,%20www.vedikgram.com",4.6,14.0,"Village -Babhangama, po -Pahsara Bhabhangama Manjhual, North of Chatimaya Chock, Bakhari road, Begusarai, Bihar 851127",848201,25.5524879,86.1613871,ChIJTfJm14kH8jkRgDEC7efzll0,https://www.google.com/maps/place/?q=place_id:ChIJTfJm14kH8jkRgDEC7efzll0,part_397,2026-09-20 20:36:23
Hotel Shivay Inn,Banquet Hall,Banquet hall,"Banquet hall, Fast food restaurant, Restaurant",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 62025 13349,N/A,4.1,208.0,"Oppo Sahu Petrol Pump, Near, NH 28, Teghra, Bihar 851133",848201,25.498585499999997,85.9370421,ChIJhygXKuQN8jkR7ebm2c7GAyw,https://www.google.com/maps/place/?q=place_id:ChIJhygXKuQN8jkR7ebm2c7GAyw,part_397,2026-09-20 20:36:23
Tahiti Resort | Best Hotel in Begusarai,Banquet Hall,Hotel,"Hotel, Resort hotel",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 76317 00200,http://www.tahitiresorts.in/,3.9,1436.0,"NH 31, Singhaul Dih, Begusarai, Bihar 851134",Singhaul Dih,25.426340099999997,86.0999034,ChIJeVZZ6lMF8jkRnRpMzZs4FYY,https://www.google.com/maps/place/?q=place_id:ChIJeVZZ6lMF8jkRnRpMzZs4FYY,part_397,2026-09-20 20:36:23
Mohiuddinpur,Banquet Hall,Village hall,Village hall,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,4.2,20.0,"G6FW+QGJ, Bihar 848201",848201,25.5244663,86.24626889999999,ChIJ21IdXxAB8jkRP-l3St8ibdc,https://www.google.com/maps/place/?q=place_id:ChIJ21IdXxAB8jkRP-l3St8ibdc,part_397,2026-09-20 20:36:23
Hotel delight deluxe,Banquet Hall,Banquet hall,"Banquet hall, Hotel, Conference center, Event venue, Family restaurant, North Indian restaurant, Restaurant",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 62057 16800,https://www.hoteldelightdeluxe.com/,4.0,592.0,"Bus Stop, Zero Mile, opp. to dinkar golambar, Bihat, Bihar 851115",848201,25.446373899999998,86.0273824,ChIJ2dRopYAP8jkRod9MopwByAc,https://www.google.com/maps/place/?q=place_id:ChIJ2dRopYAP8jkRod9MopwByAc,part_397,2026-09-20 20:36:24
Maskara Vivah Bhawan,Banquet Hall,Event venue,Event venue,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,3.0,12.0,"C48H+9JX, Main Rd, Nirala Nagar, Begusarai, Bihar 851101",Nirala Nagar,25.415982999999997,86.12910629999999,ChIJ8Tbqytsb8jkRn7Qzkp8XEtA,https://www.google.com/maps/place/?q=place_id:ChIJ8Tbqytsb8jkRn7Qzkp8XEtA,part_397,2026-09-20 20:36:24
Shangri-La Palace,Banquet Hall,Banquet hall,Banquet hall,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 99340 80808,http://shangrilapalace.com/,4.7,902.0,"Bailey Rd, opp. CISRO Hospital, near Saguna More, Shri Krishna Puram, Patna, Bihar 801503",Shri Krishna Puram,25.622188899999998,85.0458238,ChIJK1w-09xX7TkRPTSE3IiJPaI,https://www.google.com/maps/place/?q=place_id:ChIJK1w-09xX7TkRPTSE3IiJPaI,part_397,2026-09-20 20:36:24
Sumedha vivah Bhawan,Banquet Hall,Banquet hall,Banquet hall,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,5.0,3.0,"HVHV+F8J, Bachhawara, Bihar 851111",848201,25.578706099999998,85.8932573,ChIJE7dlSAB18jkRAzRU7YUP9VQ,https://www.google.com/maps/place/?q=place_id:ChIJE7dlSAB18jkRAzRU7YUP9VQ,part_397,2026-09-20 20:36:24
Shiv Girija Utsav Hall jail gate sa phale,Banquet Hall,Event management company,"Event management company, Hotel",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 70040 44404,N/A,3.8,,"C4CX+2JC, New Chanakya Nagar Rd, near Dr Sangita Sinha, New Chanakya Nagar, Begusarai, Bihar 851101",New Chanakya Nagar,25.420057399999997,86.1490105,ChIJ26Snkaob8jkRjucuM28hjaQ,https://www.google.com/maps/place/?q=place_id:ChIJ26Snkaob8jkRjucuM28hjaQ,part_397,2026-09-20 20:36:25
