business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NERVY SUN DIGITAL ENTERPRISES,Courier and Cargo Service,Courier service,Courier service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 70500 18797,http://www.ndsgroups.co.in/,5.0,1.0,"Ward No 08, Lauchhe, Abhuar, Bihar 848201",848201,25.5867692,86.2398256,ChIJA7z3XwEB8jkRFZwG7O2y2TI,https://www.google.com/maps/place/?q=place_id:ChIJA7z3XwEB8jkRFZwG7O2y2TI,part_397,2026-09-20 20:36:32
Bakhri Bazar Sub Post Office,Courier and Cargo Service,Shipping and mailing service,Shipping and mailing service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,3.9,19.0,"1, Bakhri Bazar, Bakhri, Bihar 848201",Bakhri Bazar,25.5985124,86.2606345,ChIJl-xDqvL_8TkRnWgm1o3-a8A,https://www.google.com/maps/place/?q=place_id:ChIJl-xDqvL_8TkRnWgm1o3-a8A,part_397,2026-09-20 20:36:32
EKART LOGISTICS,Courier and Cargo Service,Courier service,Courier service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,3.5,49.0,"H7W7+795, Bakhri, Bihar 848201",848201,25.5956351,86.2634929,ChIJFfQ9PUz_8TkRC59qXJX8gI0,https://www.google.com/maps/place/?q=place_id:ChIJFfQ9PUz_8TkRC59qXJX8gI0,part_397,2026-09-20 20:36:32
Baba Enterprises(DTDC),Courier and Cargo Service,Courier service,Courier service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,4.7,14.0,"Infront of tower, At post-Naula, chowk, Begusarai, Bihar 851120",848201,25.5565009,86.06651529999999,ChIJS8axdK0J8jkRIHl2ZCKolf8,https://www.google.com/maps/place/?q=place_id:ChIJS8axdK0J8jkRIHl2ZCKolf8,part_397,2026-09-20 20:36:32
Post Office Bagar,Courier and Cargo Service,Shipping and mailing service,Shipping and mailing service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,4.4,13.0,"G6C5+48R, Hasanpur Bagar, Bihar 851130",848201,25.5203737,86.2082666,ChIJz_5y668B8jkRK8eVuqINBzk,https://www.google.com/maps/place/?q=place_id:ChIJz_5y668B8jkRK8eVuqINBzk,part_397,2026-09-20 20:36:32
Sushila Complex (Trackon Courier Head Office),Courier and Cargo Service,Courier service,Courier service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,http://trackoncourier.com/,3.0,72.0,"C4CP+J8M, Tilak Nagar, Vishnupur, Sarvodaya Nagar, Begusarai, Bihar 851101","Tilak Nagar, Vishnupur, Sarvodaya Nagar",25.42158,86.1358085,ChIJ152Sn50b8jkRSjE-Eh9qcmY,https://www.google.com/maps/place/?q=place_id:ChIJ152Sn50b8jkRSjE-Eh9qcmY,part_397,2026-09-20 20:36:32
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,https://www.bluedart.com/,3.3,387.0,"Durga Sthan, Pappu Cold Storage Campus, Marwari Mohalla Road, near Gaushala Road, Begusarai, Bihar 851101",Ratanpur,25.4132167,86.1296576,ChIJQy37u9Ya8jkR82vFPNZyrvM,https://www.google.com/maps/place/?q=place_id:ChIJQy37u9Ya8jkR82vFPNZyrvM,part_397,2026-09-20 20:36:32
TCI EXPRESS LTD - BEGUSARAI,Courier and Cargo Service,Logistics service,"Logistics service, Transportation service",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 1800 200 0977,https://www.tciexpress.in/,3.8,41.0,"TCI EXPRESS LTD, Ratanpur Rd, beside GD COLLEGE, near DURGA STAND, Nirala Nagar, Begusarai, Barauni IOC Twp, Bihar 851101",Nirala Nagar,25.4144717,86.12464489999999,ChIJ3Vwx2dEa8jkRP3uMbULs6rg,https://www.google.com/maps/place/?q=place_id:ChIJ3Vwx2dEa8jkRP3uMbULs6rg,part_397,2026-09-20 20:36:32
Blue dart Express Limited,Courier and Cargo Service,Courier service,Courier service,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 91626 36262,https://www.bluedart.com/,3.6,98.0,"Sunil Sadan, Nirala Nagar Road, Ratanpur, Begusarai, Bihar 851101",Ratanpur,25.413911499999998,86.12405319999999,ChIJXU_aHCgb8jkR5RjGdpzHfl0,https://www.google.com/maps/place/?q=place_id:ChIJXU_aHCgb8jkR5RjGdpzHfl0,part_397,2026-09-20 20:36:32
VRL Logistics Ltd - Begusarai,Courier and Cargo Service,Courier service,"Courier service, Logistics service, Freight Forwarding Agency, Transportation service, Trucking company",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 1800 599 7800,https://vrlgroup.in/vrl_logistics_service.aspx,4.0,22.0,"WARD No- 25, AR CHANA BIHAR COLONY, KHATA NO.79,KHESRA NO 452, 24, Chana Bihar Colony, Begusarai, Bihar 851218","Suhird Nagar, Subhash Nagar",25.429717,86.135215,ChIJvbxa_BMF8jkRbpJ6j31eYD4,https://www.google.com/maps/place/?q=place_id:ChIJvbxa_BMF8jkRbpJ6j31eYD4,part_397,2026-09-20 20:36:32
