business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mobile World,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,4.2,6,"C48P+V28, to day market, Kachahari Rd, Begusarai, Bihar 851101","Vishnupur, Sarvodaya Nagar",25.4171704,86.1350892,ChIJ-RDRWj0b8jkRACu6ZkR3oUc,https://www.google.com/maps/place/?q=place_id:ChIJ-RDRWj0b8jkRACu6ZkR3oUc,part_397,2026-09-20 20:36:29
shahzad mobile repairing,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 97099 11137,N/A,4.5,13,"Kapuri sathan, Vasant Vihar, Begusarai, Bihar 851101",Vasant Vihar,25.4166949,86.1303478,ChIJAYVxHOUb8jkREeU4EAELyn8,https://www.google.com/maps/place/?q=place_id:ChIJAYVxHOUb8jkREeU4EAELyn8,part_397,2026-09-20 20:36:29
MOBILE POINT,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 98352 68918,N/A,3.8,69,"NAURANGA MAIN ROAD, Begusarai, Bihar 851101",Nirala Nagar,25.4164796,86.1280898,ChIJ9_m8itYa8jkR8ewl6_x5SZQ,https://www.google.com/maps/place/?q=place_id:ChIJ9_m8itYa8jkR8ewl6_x5SZQ,part_397,2026-09-20 20:36:29
Jhankar Mobile Telecom,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 87975 16442,N/A,4.7,3,"GD College Rd, Nirala Nagar, Barauni IOC Twp, Begusarai, Bihar 851101",Nirala Nagar,25.4178778,86.1238006,ChIJMzrTF8Ib8jkRYJBBn_EZw7A,https://www.google.com/maps/place/?q=place_id:ChIJMzrTF8Ib8jkRYJBBn_EZw7A,part_397,2026-09-20 20:36:29
International Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 99390 70306,N/A,5.0,1,"Raj Mata Complex, Chitragupta Nagar, Dak Bunglow Rd, near V Bazaar, Dakroad, Begusarai, Bihar 851101",Dakroad,25.4131225,86.14112229999999,ChIJ7TjNrCsb8jkRx3IDtRRqavQ,https://www.google.com/maps/place/?q=place_id:ChIJ7TjNrCsb8jkRx3IDtRRqavQ,part_397,2026-09-20 20:36:29
S.K.Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 88253 54196,N/A,4.8,5,"C46V+GV5, Shanti Complex , Karpuri Asthan Road, Jama Masjid Chowk, Bihar 851129",Bishanpur,25.411265,86.14473869999999,ChIJMbvomNYa8jkRhFO0PwHhwSE,https://www.google.com/maps/place/?q=place_id:ChIJMbvomNYa8jkRhFO0PwHhwSE,part_397,2026-09-20 20:36:29
Hamza Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 95343 26713,N/A,4.4,12,"Collegiate Rd, Vasant Vihar, Begusarai, Bihar 851101",Vasant Vihar,25.4179259,86.1274297,ChIJT8E0vKkb8jkRiGwEWTLSKkE,https://www.google.com/maps/place/?q=place_id:ChIJT8E0vKkb8jkRiGwEWTLSKkE,part_397,2026-09-20 20:36:29
MOBILE DOT COM,Mobile Phone Sales and Repair,Electronics repair shop,Electronics repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 99344 60224,N/A,4.2,5,"Oppo Santi Complax, Karpuri Asthan Chowk, Begusarai, Bihar 851101",Sarvodaya Nagar,25.416405899999997,86.13064399999999,ChIJvbb_o9Ya8jkRWqMDULRaJEw,https://www.google.com/maps/place/?q=place_id:ChIJvbb_o9Ya8jkRWqMDULRaJEw,part_397,2026-09-20 20:36:29
Ravi Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Phone repair service",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 86760 56733,N/A,3.7,16,"VIP Rd, Vishnupur, Sarvodaya Nagar, Begusarai, Bihar 851101","Vishnupur, Sarvodaya Nagar",25.4195726,86.13715429999999,ChIJFZrQrCsb8jkR92ATmLHc10E,https://www.google.com/maps/place/?q=place_id:ChIJFZrQrCsb8jkR92ATmLHc10E,part_397,2026-09-20 20:36:29
Star Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 75495 08491,N/A,3.0,2,"10 Dhaboli, Road, Shahpur, Begusarai, Bihar 851129",848201,25.4098263,86.19130439999999,ChIJl1yAm7kc8jkRLaQ1UD0pcCM,https://www.google.com/maps/place/?q=place_id:ChIJl1yAm7kc8jkRLaQ1UD0pcCM,part_397,2026-09-20 20:36:29
