business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Century Plywood - India's No 1 Plywood Brand,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Wholesaler",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 94300 06635,http://www.centuryply.com/,5.0,,"Ritlal Singh Road, Ratanpur, Makhsaspur, Begusarai, Bihar 851101",Ratanpur,25.4144762,86.12560909999999,ChIJm_ZydYAb8jkRjoA9hBqyNmk,https://www.google.com/maps/place/?q=place_id:ChIJm_ZydYAb8jkRjoA9hBqyNmk,part_397,2026-09-20 20:36:19
Hanuman Saw Mill Ambay Plywood,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Furniture Manufacturer, Hardware store",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 95079 16703,N/A,5.0,,"Parmeshwari Market, GD College Rd, Vasant Vihar, Mirganj, Begusarai, Bihar 851101",Vasant Vihar,25.419696899999998,86.12012899999999,ChIJP-M_lbQb8jkRpwsAMKcLOk8,https://www.google.com/maps/place/?q=place_id:ChIJP-M_lbQb8jkRpwsAMKcLOk8,part_397,2026-09-20 20:36:19
"Greenply Plywood (Radhe Krishna Hardware) - Best Plywood Shop And Dealer In Bajrang Chowk, Begusarai",Plywood and Timber Merchant,Plywood supplier,Plywood supplier,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 99342 62276,https://www.greenply.com/store/greenply-plywood-radhe-krishna-hardware-best-plywood-shop-and-dealer-in-bajrang-chowk-begusarai_150,4.5,,"Bajrang Chowk, Meerganj, near G D College, Begusarai, Bihar 851129",Bishanpur,25.411265,86.14473869999999,ChIJtd5dUrkb8jkRB0yacIgcl18,https://www.google.com/maps/place/?q=place_id:ChIJtd5dUrkb8jkRB0yacIgcl18,part_397,2026-09-20 20:36:19
Bharat Timber Works (Pine wood dealer and distributor),Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store, Wood supplier",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 87093 20036,N/A,5.0,11.0,"Back side of Mamta Hotel, near Har-har, Mahadev Chowk, Barauni IOC Twp, Bihar 851117","Vishwanath Nagar, Mahadev Chowk",25.4184259,86.1206888,ChIJ0w5EAw0b8jkRvj_o3uSJjng,https://www.google.com/maps/place/?q=place_id:ChIJ0w5EAw0b8jkRvj_o3uSJjng,part_397,2026-09-20 20:36:19
MAURYA BUILDWELL- Plywood shop in Begusarai,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,5.0,21.0,"C47G+Q78, RTS Vidyapeeth Rd, Ratanpur, Begusarai, Makhsaspur, Bihar 851101",Ratanpur,25.4144197,86.1256971,ChIJGSM1uNEa8jkRi14LBxJoZro,https://www.google.com/maps/place/?q=place_id:ChIJGSM1uNEa8jkRi14LBxJoZro,part_397,2026-09-20 20:36:19
Shri Vishnu Enterprises - Best Wood Size | Best Ply | Best Particle Board Dealer in Begusarai,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store",848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 99396 58313,N/A,5.0,9.0,"Meerganj near sumitra nursery, near dhriti jeevan hospital, Begusarai, Bihar 851101",Vasant Vihar,25.4196158,86.1214207,ChIJZ9__Y7Mb8jkR2eeRfscLvDs,https://www.google.com/maps/place/?q=place_id:ChIJZ9__Y7Mb8jkR2eeRfscLvDs,part_397,2026-09-20 20:36:19
shagun international,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",N/A,N/A,4.8,4.0,"chowk, Pipra, Begusarai, Bihar 851117",Pipra,25.4154751,86.1216523,ChIJE_SOz74b8jkRMctIB-440cg,https://www.google.com/maps/place/?q=place_id:ChIJE_SOz74b8jkRMctIB-440cg,part_397,2026-09-20 20:36:19
M/S BACHAN SAW MILL & Plywood Supplier,Plywood and Timber Merchant,Furniture store,Furniture store,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 79033 00964,N/A,4.0,1.0,"Bishanpur Bai Eghu Bari, Eghu, Begusarai, Bihar 851129","Eghu, Bishanpur",25.3966012,86.1439537,ChIJrcAqfJIb8jkRWr6wZMH1gL8,https://www.google.com/maps/place/?q=place_id:ChIJrcAqfJIb8jkRWr6wZMH1gL8,part_397,2026-09-20 20:36:19
Ply Park,Plywood and Timber Merchant,Hardware store,Hardware store,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 78709 12090,N/A,4.2,9.0,"काली स्थान रोड, Chitragupta Nagar, Begusarai, Bihar 851101",Chitragupta Nagar,25.4135679,86.1396942,ChIJNz9K0ygb8jkR9FXu3HmE2Hs,https://www.google.com/maps/place/?q=place_id:ChIJNz9K0ygb8jkR9FXu3HmE2Hs,part_397,2026-09-20 20:36:19
Wardhman Hardware & Ply House,Plywood and Timber Merchant,Hardware store,Hardware store,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 88640 71050,N/A,5.0,8.0,"mirchiya chowk, Barauni, Bihar 851112",mirchiya chowk,25.4697601,85.988907,ChIJ0VPRMjMN8jkR50WT4NAMcEk,https://www.google.com/maps/place/?q=place_id:ChIJ0VPRMjMN8jkR50WT4NAMcEk,part_397,2026-09-20 20:36:19
Tanmay Traders Tiles and Hardware,Plywood and Timber Merchant,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,848201,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BBazar SO, Bagras BO, Chak Hamid BO",+91 84069 02171,N/A,5.0,1.0,"Manjhaul - Parihara - Bakhri Rd, Begusarai, Bihar 851127",848201,25.5552147,86.1335513,ChIJaZRzPDcH8jkRt4dkWzdKB9w,https://www.google.com/maps/place/?q=place_id:ChIJaZRzPDcH8jkRt4dkWzdKB9w,part_397,2026-09-20 20:36:20
