business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 84098 99050,N/A,3.0,2.0,"Mukhya Dakghar, Ward N-2 Bahuara, Alauli Rd, Khagaria, Bihar 848201",848203,25.531541299999997,86.28895899999999,ChIJ-QyEyC7_8TkRaH5U6kWufrk,https://www.google.com/maps/place/?q=place_id:ChIJ-QyEyC7_8TkRaH5U6kWufrk,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 96939 17463,https://www.finobank.com/,3.7,3.0,"Ward No- 10 Naya Tola, Sahebpur Kamal East, Bihar 851217",848203,25.4303386,86.4024798,ChIJJwchTcr78TkRYgQgkEc-HCo,https://www.google.com/maps/place/?q=place_id:ChIJJwchTcr78TkRYgQgkEc-HCo,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 75498 70603,https://www.finobank.com/,,,"Massti Fatehpur, Bharwar, Cheria Bariarpur, Bhairwar, Bihar 851205",848203,25.550883799999998,86.51038659999999,ChIJW419Gdbh8TkR47V3ujxjxCk,https://www.google.com/maps/place/?q=place_id:ChIJW419Gdbh8TkR47V3ujxjxCk,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 72540 53111,https://www.finobank.com/,4.0,3.0,"Village.-Kharari Ward No.-14, P.O, Kharari, Bihar 848117",848203,25.9370904,85.9996032,ChIJqyS6N8zr7TkR5fQFyZ7Xetg,https://www.google.com/maps/place/?q=place_id:ChIJqyS6N8zr7TkR5fQFyZ7Xetg,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 87098 25324,https://www.finobank.com/,1.0,1.0,"Village-Khajuri, Post, Gayghat, Jata, Bihar 847107",Gayghat,26.099433299999998,85.6533462,ChIJsdDyUYyn7TkRRu_oQv8tDT0,https://www.google.com/maps/place/?q=place_id:ChIJsdDyUYyn7TkRRu_oQv8tDT0,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 89692 29193,https://www.finobank.com/,4.0,1.0,"Kharar Minapur, Raghai, Bihar 843128",848203,26.2721625,85.3160339,ChIJwXnD6AAf7TkRUuJAyp9spaA,https://www.google.com/maps/place/?q=place_id:ChIJwXnD6AAf7TkRUuJAyp9spaA,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 95703 52670,N/A,5.0,1.0,"475P+QX9, Gram - Khajuriya ,Thana - Sanokhar, Khajuria, Bihar 813204",848203,25.1094112,87.28748399999999,ChIJ62diED1p8DkRiuMyyH6lHeg,https://www.google.com/maps/place/?q=place_id:ChIJ62diED1p8DkRiuMyyH6lHeg,part_397,2026-09-20 20:37:42
Fino Payments Bank,Money Transfer and Forex,Money transfer service,"Money transfer service, ATM, Financial institution, Insurance agency",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 97711 29835,N/A,,,"Post- Khangraitha, Village-Aadharpur, Khagrahata, Bihar 848117",848203,25.949206099999998,86.0129358,ChIJi5_cyIzp7TkROPNUcUtpOco,https://www.google.com/maps/place/?q=place_id:ChIJi5_cyIzp7TkROPNUcUtpOco,part_397,2026-09-20 20:37:42
MoneeFlo,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 78910 89111,http://www.moneeflo.com/,5.0,121.0,"Somdutt Chamber 1, A-306, Bhikaji Cama Place, Rama Krishna Puram, New Delhi, Delhi 110066","Bhikaji Cama Place, Rama Krishna Puram",28.5677499,77.1886083,ChIJhSxe7Y0dDTkRUyqVW4m5Gxw,https://www.google.com/maps/place/?q=place_id:ChIJhSxe7Y0dDTkRUyqVW4m5Gxw,part_397,2026-09-20 20:37:42
Vikash Enterprises,Money Transfer and Forex,Money transfer service,Money transfer service,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 98015 82944,N/A,5.0,,"Kandh Gopi, Gopalganj, Bihar 841436",848203,26.4020661,84.30298169999999,ChIJRQARW-kHkzkR44GJwHcz_N0,https://www.google.com/maps/place/?q=place_id:ChIJRQARW-kHkzkR44GJwHcz_N0,part_397,2026-09-20 20:37:44
