business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jeeva Physiotherapy Care | Dr. Kajal Gupta | Physical Care | Physiotherapy in khagaria | | Best Physiotherapy Center,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 98187 03276,https://jeevaphysiocare.com/,5.0,,"Patel School Road, Keshav Chowk, Maheshkhunt, Khagaria, Bihar 851213",Keshav Chowk,25.465705699999997,86.6315642,ChIJR1zItPnd8TkRfhGmLasCksQ,https://www.google.com/maps/place/?q=place_id:ChIJR1zItPnd8TkRfhGmLasCksQ,part_397,2026-09-20 20:37:24
JANISHA REHAB & ORTHO CLINIC,Orthopedic and Physiotherapy Clinic,Hospital,Hospital,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,4.7,,"Tempo gali, near Domino’s, New Gayatri Nagar, Jamalpur, Bihar 811214",New Gayatri Nagar,25.3306199,86.4910591,ChIJl5NPFgzs8TkRElywI1Mmsb8,https://www.google.com/maps/place/?q=place_id:ChIJl5NPFgzs8TkRElywI1Mmsb8,part_397,2026-09-20 20:37:24
Bhavya Advance physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 78704 45388,N/A,5.0,,"Purbi kebin dhala ke pass, Reck point Road, Khagaria, Bihar 851204",848203,25.506805399999998,86.47190189999999,ChIJp3-YqFrl8TkRrBzuxmiylJo,https://www.google.com/maps/place/?q=place_id:ChIJp3-YqFrl8TkRrBzuxmiylJo,part_397,2026-09-20 20:37:24
Bihar Ortho and Neuro Physiotherapy and Rehabilitation centre,Orthopedic and Physiotherapy Clinic,Kinesiotherapist,Kinesiotherapist,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 86373 12284,N/A,5.0,,"कोर्ट के सामने, Gogri Jamalpur, Bihar 851203",848203,25.4151733,86.6475195,ChIJ9Vx10TTD8TkR1NciMO1eW34,https://www.google.com/maps/place/?q=place_id:ChIJ9Vx10TTD8TkR1NciMO1eW34,part_397,2026-09-20 20:37:24
No.1 physiotherapy center,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,,,"GF4C+RJR, Collectoriate Rd, Sanhouli, Bihar 851204",848203,25.506904199999997,86.4714922,ChIJ75W-NwDl8TkRZoNp1ieyk2k,https://www.google.com/maps/place/?q=place_id:ChIJ75W-NwDl8TkRZoNp1ieyk2k,part_397,2026-09-20 20:37:24
Lifecare orthopaedics and emergency hospital gogari jamalpur,Orthopedic and Physiotherapy Clinic,Orthopedic surgeon,Orthopedic surgeon,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 91556 68923,https://youtube.com/@orthocare409?si=xOSbMYQXi8H3MBs7,5.0,,"Bypass Rd, Gogri Jamalpur, Bihar 851203",848203,25.4104712,86.6564114,ChIJPagrAwDD8TkRsVTA7j_Oyew,https://www.google.com/maps/place/?q=place_id:ChIJPagrAwDD8TkRsVTA7j_Oyew,part_397,2026-09-20 20:37:24
ADVANCED PHYSIOTHERAPIST CENTRE KHAGARIA,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 85418 41231,N/A,5.0,,"GF4C+PQM, Khagaria, Bihar 851204",848203,25.506807799999997,86.4719022,ChIJ6XKBbwDl8TkRAIXXbR2xvYg,https://www.google.com/maps/place/?q=place_id:ChIJ6XKBbwDl8TkRAIXXbR2xvYg,part_397,2026-09-20 20:37:24
Ranjana Ortho Care (Dr. Yogesh Kumar),Orthopedic and Physiotherapy Clinic,Orthopedic clinic,"Orthopedic clinic, Doctor, Hospital, Medical clinic, Orthopedic surgeon, Surgeon",848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 91131 62679,N/A,4.9,,"Infront of Blood Bank, Shiv Shakti Complex, Behind Machli Ghar, Near Sadar Hospital, Hospital Rd, Khagaria, Bihar 851204",848203,25.508164599999997,86.4737423,ChIJkfVHM9vl8TkR6IojJjK2Dak,https://www.google.com/maps/place/?q=place_id:ChIJkfVHM9vl8TkR6IojJjK2Dak,part_397,2026-09-20 20:37:24
Koshi Physiotherapy Center,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 95708 15225,N/A,4.8,,"Dr. Kundan Kumar Ranjan, Near East Railway Cabin. North Hajipur Ward No 13, opposite to Inspector Office, Khagaria, Bihar 851204",848203,25.506856799999998,86.4722298,ChIJNdqC-ILl8TkRY_tgKOPC2c8,https://www.google.com/maps/place/?q=place_id:ChIJNdqC-ILl8TkRY_tgKOPC2c8,part_397,2026-09-20 20:37:24
Om Prakash Health Care Physiotherapy Center,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,3.4,,"Sadar Hospital Road Civil Surgeon Office Ke samne, Bihar 851204",848203,25.5072038,86.4767866,ChIJ_1ldeq7l8TkRejlMwVCbAwU,https://www.google.com/maps/place/?q=place_id:ChIJ_1ldeq7l8TkRejlMwVCbAwU,part_397,2026-09-20 20:37:24
"SRI GANESH ORTHOPAEDIC CENTER , Dr Santosh Kumar",Orthopedic and Physiotherapy Clinic,Hospital,Hospital,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 6244 356 023,N/A,5.0,,"Start of Overbridge, Gaushala Road, near BSNL Tower, Khagaria, Bihar 851204",848203,25.510289,86.47274759999999,ChIJo5TKFPrl8TkRTSvIT7CLbS8,https://www.google.com/maps/place/?q=place_id:ChIJo5TKFPrl8TkRTSvIT7CLbS8,part_397,2026-09-20 20:37:24
Pradeep Orthopedic(physiotherapy),Orthopedic and Physiotherapy Clinic,Orthopedic clinic,Orthopedic clinic,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,5.0,,"8JCX+G57 Korari, Bihar 801304 Korari, Harnaut, Bihar 803110",848203,25.3220146,85.64662349999999,ChIJOy33BVFj8jkRTCTnNQD5eZc,https://www.google.com/maps/place/?q=place_id:ChIJOy33BVFj8jkRTCTnNQD5eZc,part_397,2026-09-20 20:37:24
Ortho neuro & multi rehab clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,,,"holt, near karukhirhri, Naya Bazar, Saharsa, Bihar 852201",Naya Bazar,25.8773651,86.5927887,ChIJEWyy3Ug97jkRoNXKzVn43xw,https://www.google.com/maps/place/?q=place_id:ChIJEWyy3Ug97jkRoNXKzVn43xw,part_397,2026-09-20 20:37:24
