business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DD Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 77829 86265,N/A,4.7,6.0,"Main Road, Alauli, Tehsil, Sano Khar, Bihar 848207",Tehsil,25.703809699999997,86.3673428,ChIJQ3sYn4UD7jkRhhDI_w0skM8,https://www.google.com/maps/place/?q=place_id:ChIJQ3sYn4UD7jkRhhDI_w0skM8,part_397,2026-09-20 20:37:19
Shri gauri gopal jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,5.0,3.0,"JCR2+QXG, Dakshini Tola, Alauli, Bihar 851206",Dakshini Tola,25.641886,86.4025003,ChIJQRHLeAAD7jkRv9B9UihIlBE,https://www.google.com/maps/place/?q=place_id:ChIJQRHLeAAD7jkRv9B9UihIlBE,part_397,2026-09-20 20:37:19
GAHANA,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,5.0,19.0,"Thana Rd, Ward No 18, Khagaria, Bihar 851204",Ward No 18,25.5024435,86.4702894,ChIJDzfErL_l8TkRE76X90BTvCs,https://www.google.com/maps/place/?q=place_id:ChIJDzfErL_l8TkRE76X90BTvCs,part_397,2026-09-20 20:37:19
Annimesh jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,5.0,1.0,"Sanihar, Bihar 848201",848203,25.593023799999997,86.28812239999999,ChIJB24fTcL_8TkR9jJQAqaBTZo,https://www.google.com/maps/place/?q=place_id:ChIJB24fTcL_8TkR9jJQAqaBTZo,part_397,2026-09-20 20:37:19
Pramod Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 96086 27394,N/A,5.0,1.0,"Pramod Jewellers, Khagaria, Belasimri, Bihar 851204",848203,25.527718999999998,86.3062423,ChIJk-COgAT_8TkRNYLoLG8mssg,https://www.google.com/maps/place/?q=place_id:ChIJk-COgAT_8TkRNYLoLG8mssg,part_397,2026-09-20 20:37:19
M/S HIMANSHU JEWELLERS (JEWELLERY SHOP),Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 75449 88216,N/A,5.0,3.0,"Nagar Palika Rd, opposite Kali Mandir, inside Amantran Hotel Campus, Kalibari, Khagaria, Bihar 851204",Kalibari,25.5032829,86.46914679999999,ChIJdXz2c9nl8TkRU2UNh_dn4Ig,https://www.google.com/maps/place/?q=place_id:ChIJdXz2c9nl8TkRU2UNh_dn4Ig,part_397,2026-09-20 20:37:19
Vaishnavi Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,4.5,12.0,"Shasan, Bihar 848205",848203,25.7134671,86.18787069999999,ChIJEzlNhxz87TkRIfa45vWGrvo,https://www.google.com/maps/place/?q=place_id:ChIJEzlNhxz87TkRIfa45vWGrvo,part_397,2026-09-20 20:37:19
Raj jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,4.5,2.0,"Raj jewellers, Khachari road, Belasimri, Bihar 851204",848203,25.527902299999997,86.30671439999999,ChIJawC8lUL_8TkREY7EePzO_m4,https://www.google.com/maps/place/?q=place_id:ChIJawC8lUL_8TkREY7EePzO_m4,part_397,2026-09-20 20:37:19
Arun Alankar Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 76314 44455,N/A,3.7,19.0,"Shop No.51, Rosda, Hasanpur Rd, Machhua patti, Bihar 848205",Machhua patti,25.7153474,86.187061,ChIJtYsmExv87TkRb_LZJciPhNI,https://www.google.com/maps/place/?q=place_id:ChIJtYsmExv87TkRb_LZJciPhNI,part_397,2026-09-20 20:37:19
Bhagwati Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 89359 77983,N/A,,,"BAZAR Alauli Road, Haripur, Bihar 848203",848203,25.6536539,86.32885379999999,ChIJo29o3QIB7jkROp2ufW8K6bA,https://www.google.com/maps/place/?q=place_id:ChIJo29o3QIB7jkROp2ufW8K6bA,part_397,2026-09-20 20:37:19
आनंद बर्तन भंडार,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 99347 43487,N/A,5.0,3.0,"ग्रामीण बैंक के पास, Garhpura, Bihar 848204",848203,25.6620566,86.180841,ChIJJaPXC6j_7TkRLF2XTZFIutE,https://www.google.com/maps/place/?q=place_id:ChIJJaPXC6j_7TkRLF2XTZFIutE,part_397,2026-09-20 20:37:19
Santosh Jewellers and Steel House,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 98012 98965,N/A,5.0,4.0,"Hasanpur Rd, Shasan, Bihar 848205",848203,25.714185099999998,86.1877093,ChIJ5xCDcRz87TkRQLr1gRIzjcI,https://www.google.com/maps/place/?q=place_id:ChIJ5xCDcRz87TkRQLr1gRIzjcI,part_397,2026-09-20 20:37:20
THAKUR HALLMARK JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",N/A,N/A,5.0,,"HFFJ+CRM, Sonmankhi Rd, Uttar Marar, Supaul, Bihar 851205",848203,25.5735934,86.4820462,ChIJA5EZPgDj8TkR1e0NjhsJSUE,https://www.google.com/maps/place/?q=place_id:ChIJA5EZPgDj8TkR1e0NjhsJSUE,part_397,2026-09-20 20:37:20
S.S. KUBER JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 89358 22073,N/A,5.0,,"PETROL PUMP KE SAMNE, KALHUAAGHAT ROAD, DUDHPURA, Phulahra, Bihar 848208",DUDHPURA,25.7964852,86.12005429999999,ChIJCQc62AX77TkRGX6AogDz8s0,https://www.google.com/maps/place/?q=place_id:ChIJCQc62AX77TkRGX6AogDz8s0,part_397,2026-09-20 20:37:20
KANCHAN MANDIR JWELLERS,Silver Jewellery Shop,Jeweler,Jeweler,848203,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Sakarpura SO, Alauli BO, Amba BO",+91 87897 63341,https://kanchan-mandir-jwellers.grexa.site/,5.0,,"Main Rd, near Upasana dresses, Ram Bahadur Singh Bazar, Khagaria, Bihar 851204",Ram Bahadur Singh Bazar,25.5048235,86.47035059999999,ChIJYxqIhPHl8TkRj196Fmj3JTE,https://www.google.com/maps/place/?q=place_id:ChIJYxqIhPHl8TkRj196Fmj3JTE,part_397,2026-09-20 20:37:21
